review_tag,hotel_star,address,services,price_range,hotel_name,review_score
"All reviews,complimentary dinner,basketball court,garden inn,free breakfast,mon thurs,mickey mouse waffles,lake buena vista,full size fridge,palm parkway,evening reception,one bedroom suite,make your own waffles,breakfast each morning,hot breakfast,yogurt,the breakfast area,breakfast staff,downtown disney,small kitchen,disney world",3 star — Homewood Suites by Hilton Lake Buena Vista-Orlando 3*,"11428 Marbella Palm Court,Orlando,FL,32836-6234","
Wheelchair access ,
Pool,
Fitness Center with Gym / Workout Room,
Hot Tub,
Restaurant,
Bar/Lounge ,
Kitchenette,
Suites,
Non-Smoking Rooms,
Family Rooms ,
Free Internet,
Free High Speed Internet ( WiFi ),
Paid Wifi ,
Business Center with Internet Access,
Free Parking,
Free Breakfast,
Meeting Rooms,
Room Service,
Dry Cleaning,
Laundry Service,
Concierge,
Multilingual Staff,
Self-Serve Laundry ","
$109 - $189 (Based on Average Rates for a Standard Room)
","
,
Homewood Suites by Hilton Lake Buena Vista-Orlando
",4.5
"All reviews,free breakfast,steak and shake,disney parks,bunk beds,joe's crab shack,the breakfast area,extra sink,hotel is located,lake buena vista,king suite,yogurt,waffle maker,near disney,rooms were clean and comfortable,front desk staff,would stay here again,one night stay,c unit,the wi fi,parking pass",3 star — Fairfield Inn & Suites Orlando Lake Buena Vista 3*,"12191 S Apopka Vineland Rd,Orlando,FL,32836-6802","
Wheelchair access,
Non-Smoking Hotel ,
Pool,
Fitness Center with Gym / Workout Room ,
Suites,
Non-Smoking Rooms,
Family Rooms ,
Free Internet,
Free High Speed Internet ( WiFi ) ,
Free Parking,
Free Breakfast,
Self-Serve Laundry,
Dry Cleaning,
Meeting Rooms,
Business Center with Internet Access,
Laundry Service,
Concierge,
Multilingual Staff ","
$88 - $200 (Based on Average Rates for a Standard Room)
","
,
Fairfield Inn & Suites Orlando Lake Buena Vista
",4.5
"All reviews,alligator bayou,french quarter,royal room,magnolia bend,food court,oak manor,main pool,trundle bed,downtown disney,the bus,magnolia terrace,south depot,acadian house,main building,fishing hole,ol' man island,quiet pool,disney world,dining plan,dixie landings",3.5 star — Disney's Port Orleans Resort - Riverside 3.5*,"1251 Riverside Drive,Orlando,FL,32830-8514","
Wheelchair access,
Non-Smoking Hotel ,
Pool,
Restaurant,
Bar/Lounge,
Hot Tub ,
Non-Smoking Rooms,
Family Rooms ,
Air Conditioning ,
Free Internet,
Free High Speed Internet ( WiFi ) ,
Free Parking,
Room Service,
Shuttle Bus Service,
Children Activities (Kid / Family Friendly),
Laundry Service,
Airport Transportation,
Dry Cleaning,
Concierge,
Multilingual Staff,
Self-Serve Laundry ","
$209 - $332 (Based on Average Rates for a Standard Room)
","
,
Disney's Port Orleans Resort - Riverside
",4
"All reviews,parking pass,lazy river,time share,disney parks,bedroom deluxe,mini golf,sales pitch,timeshare presentation,parking lot view,fireworks view,full kitchen,epcot fireworks,putt putt,gift card,washer and dryer,multiple pools,ping pong,three bedroom,main building,pirate ship",3.5 star — Wyndham Bonnet Creek Resort 3.5*,"9560 Via Encinas,Orlando,FL,32830-8474","
Wheelchair access,
Non-Smoking Hotel ,
Pool,
Hot Tub,
Restaurant,
Bar/Lounge,
Spa,
Fitness Center with Gym / Workout Room ,
Kitchenette,
Suites,
Non-Smoking Rooms,
Family Rooms ,
Air Conditioning,
Refrigerator in room ,
Free Internet,
Free High Speed Internet ( WiFi ) ,
Free Parking,
Children Activities (Kid / Family Friendly),
Meeting Rooms,
Business Center with Internet Access,
Laundry Service,
Concierge,
Banquet Room,
Multilingual Staff,
Self-Serve Laundry,
Conference Facilities ","
$190 - $422 (Based on Average Rates for a Standard Room)
","
,
Wyndham Bonnet Creek Resort
",4
"All reviews,mini golf,downtown disney,full kitchen,winn dixie,living room,washer and dryer,new appliances,lake buena vista,twin beds,time share,home away from home,well equipped kitchen,heated pool,screened in porch,granite countertops,second bedroom,major attractions,fitness room,short drive,westgate",3 star — Blue Tree Resort at Lake Buena Vista 3*,"12007 Cypress Run Road,Orlando,FL,32836-6421","
Wheelchair access ,
Pool,
Fitness Center with Gym / Workout Room,
Tennis Court ,
Kitchenette,
Suites,
Non-Smoking Rooms,
Family Rooms ,
Free Internet,
Free High Speed Internet ( WiFi ),
Paid Wifi ,
Free Parking,
Children Activities (Kid / Family Friendly),
Shuttle Bus Service,
Meeting Rooms,
Laundry Service,
Self-Serve Laundry,
Business Center with Internet Access,
Concierge,
Multilingual Staff ","
$89 - $169 (Based on Average Rates for a Standard Room)
","
,
Blue Tree Resort at Lake Buena Vista
",4
"All reviews,congress park,turf club,bedroom villa,downtown disney,paddock pool,carriage house,main pool,artist's palette,bus stop,grandstand area,springs area,dvc members,disney vacation club,full kitchen,old key west,main building,community hall,welcome home,disney dining plan,disney world",4 star — Disney's Saratoga Springs Resort & Spa 4*,"1960 Broadway,Orlando,FL,32830-8446","
Wheelchair access,
Non-Smoking Hotel ,
Pool,
Restaurant,
Fitness Center with Gym / Workout Room,
Bar/Lounge,
Spa,
Hot Tub,
Golf course,
Tennis Court ,
Kitchenette,
Suites,
Non-Smoking Rooms,
Family Rooms,
Accessible rooms ,
Air Conditioning,
Refrigerator in room ,
Free Internet,
Free High Speed Internet ( WiFi ),
Paid Wifi ,
Free Parking,
Shuttle Bus Service,
Room Service,
Business Center with Internet Access,
Children Activities (Kid / Family Friendly),
Airport Transportation,
Dry Cleaning,
Laundry Service,
Concierge,
Self-Serve Laundry,
Meeting Rooms,
Banquet Room,
Multilingual Staff,
Babysitting ","
$357 - $1,084 (Based on Average Rates for a Standard Room)
","
,
Disney's Saratoga Springs Resort & Spa
",4.5
"All reviews,front desk,quick queue,walking distance to sea world,discovery cove,international drive,restaurant staff,convention center,breakfast buffet,great stay,clean hotel,pool and hot tub,free shuttle,fridge and microwave,shuttle service,nice pool,king bed,coffee maker,hgi,cvs,aquatica",3 star — Hilton Garden Inn Orlando at SeaWorld 3*,"6850 Westwood Blvd,Orlando,FL,32821-6008","
Non-Smoking Hotel,
Wheelchair access ,
Pool,
Restaurant,
Fitness Center with Gym / Workout Room,
Bar/Lounge,
Hot Tub ,
Suites,
Non-Smoking Rooms,
Family Rooms ,
Air Conditioning,
Microwave,
Refrigerator in room ,
Free Internet,
Free High Speed Internet ( WiFi ),
Public Wifi,
Paid Wifi ,
Free Parking,
Room Service,
Business Center with Internet Access,
Meeting Rooms,
Shuttle Bus Service,
Dry Cleaning,
Laundry Service,
Concierge,
Multilingual Staff,
Self-Serve Laundry,
Conference Facilities,
Banquet Room ","
$99 - $253 (Based on Average Rates for a Standard Room)
","
,
Hilton Garden Inn Orlando at SeaWorld
",4
"All reviews,international drive,pool area,orlando eye,walking distance,bahama breeze,poolside bar,hot tub,games room,olive garden,restaurants and bars,great pool,pointe orlando,concierge desk,resort fee,shuttle service,clean towels,large pool,recommend this resort,fitness center,shuttle bus",3 star — Avanti International Resort 3*,"8738 International Drive,Orlando,FL,32819-9317","
Wheelchair access,
Non-Smoking Hotel ,
Pool,
Hot Tub,
Restaurant,
Bar/Lounge,
Fitness Center with Gym / Workout Room ,
Non-Smoking Rooms,
Suites,
Family Rooms ,
Air Conditioning ,
Paid Wifi,
Free Internet,
Free High Speed Internet ( WiFi ) ,
Free Parking,
Shuttle Bus Service,
Meeting Rooms,
Business Center with Internet Access,
Laundry Service,
Concierge,
Multilingual Staff,
Self-Serve Laundry,
Conference Facilities ","
$73 - $145 (Based on Average Rates for a Standard Room)
","
,
Avanti International Resort
",4
"All reviews,deep blu,bunk beds,disney parks,lazy river,parking garage,epcot fireworks,per day,time share,multiple pools,mini golf,self park,pool area,beautiful property,family vacation,shuttle service,orlando area,fees,amenities,valet,housekeeping",4 star — Wyndham Grand Orlando Resort Bonnet Creek 4*,"14651 Chelonia Parkway,Orlando,FL,32821-4017","
Wheelchair access,
Non-Smoking Hotel ,
Spa,
Pool,
Fitness Center with Gym / Workout Room,
Bar/Lounge,
Restaurant,
Hot Tub ,
Suites,
Non-Smoking Rooms,
Family Rooms ,
Refrigerator in room ,
Free Internet,
Free High Speed Internet ( WiFi ),
Paid Wifi ,
Children Activities (Kid / Family Friendly),
Room Service,
Shuttle Bus Service,
Dry Cleaning,
Meeting Rooms,
Business Center with Internet Access,
Laundry Service,
Concierge,
Banquet Room,
Multilingual Staff,
Conference Facilities ","
$140 - $331 (Based on Average Rates for a Standard Room)
","
,
Wyndham Grand Orlando Resort Bonnet Creek
",4.5
"All reviews,hour cafe,water slide,pool area,beautiful pool,resort fee,spring break,disney parks,rooms are large,family vacation,nice resort,main building,housekeeping staff,full kitchen,mini fridge,tropicale,loft,cvs,tubs,cabana,fees",4 star — Caribe Royale All Suite Hotel & Convention Center 4*,"8101 World Center Drive,Orlando,FL,32821-5408","
Wheelchair access,
Non-Smoking Hotel ,
Pool,
Spa,
Hot Tub,
Restaurant,
Bar/Lounge,
Tennis Court,
Fitness Center with Gym / Workout Room ,
Non-Smoking Rooms,
Suites,
Kitchenette,
Family Rooms,
Accessible rooms ,
Air Conditioning,
Microwave,
Refrigerator in room ,
Free Internet,
Free High Speed Internet ( WiFi ),
Paid Wifi,
Public Wifi ,
Free Parking,
Shuttle Bus Service,
Room Service,
Dry Cleaning,
Meeting Rooms,
Business Center with Internet Access,
Laundry Service,
Concierge,
Banquet Room,
Multilingual Staff,
Self-Serve Laundry,
Conference Facilities ","
$136 - $241 (Based on Average Rates for a Standard Room)
","
,
Caribe Royale All Suite Hotel & Convention Center
",4.5
"All reviews,disney springs,marriott brand,self parking,marriott group,full service marriott,great hotel,front desk,canadian chain,newly refurbished hotel,booked a junior suite,contemporary furniture,breakfast server,hotel is located within walking distance,kids room,coffee shop in the lobby,large outdoor pool,the room was nicely decorated,disney resort area,previous hotel,order omelettes",4 star — Delta Orlando Lake Buena Vista 4*,"12490 Apopka Vineland Road,Orlando,FL,32836","
Wheelchair access,
Non-Smoking Hotel ,
Pool,
Fitness Center with Gym / Workout Room,
Restaurant,
Bar/Lounge ,
Non-Smoking Rooms,
Suites,
Family Rooms ,
Free Internet,
Free High Speed Internet ( WiFi ),
Public Wifi ,
Business Center with Internet Access,
Room Service,
Children Activities (Kid / Family Friendly),
Shuttle Bus Service,
Meeting Rooms,
Conference Facilities,
Dry Cleaning,
Laundry Service,
Concierge,
Banquet Room,
Multilingual Staff,
Self-Serve Laundry ","
$107 - $252 (Based on Average Rates for a Standard Room)
","
,
Delta Orlando Lake Buena Vista
",4.5
"All reviews,water taxi,beach pool,express pass,city walk,west wing,bay view,italian theme,the club lounge,beautiful hotel,boat ride,early admission,universal orlando,harry potter,royal pacific,fast passes,early access,hard rock,deluxe room,theme park,both parks",4 star — Loews Portofino Bay Hotel at Universal Orlando 4*,"5601 Universal Blvd.,Orlando,FL,32819-7880","
Pets Allowed ( Dog / Pet Friendly ),
Wheelchair access,
Non-Smoking Hotel ,
Pool,
Fitness Center with Gym / Workout Room,
Restaurant,
Bar/Lounge,
Spa,
Hot Tub ,
Suites,
Non-Smoking Rooms,
Family Rooms ,
Air Conditioning,
Minibar ,
Free Internet,
Free High Speed Internet ( WiFi ),
Paid Wifi ,
Room Service,
Business Center with Internet Access,
Children Activities (Kid / Family Friendly),
Shuttle Bus Service,
Airport Transportation,
Dry Cleaning,
Meeting Rooms,
Laundry Service,
Concierge,
Banquet Room,
Multilingual Staff,
Conference Facilities,
Babysitting ","
$269 - $563 (Based on Average Rates for a Standard Room)
","
,
Loews Portofino Bay Hotel at Universal Orlando
",4.5
"All reviews,front desk,port canaveral,stayed one night,an early morning flight,shuttle service is,business center,next morning,room was clean,restaurants within walking distance,rental car,long flight,breakfast buffet,would stay here again,other hotels,enjoyed my stay,excellent stay,great place to stay,mini fridge,hgi,hooters",3 star — Hilton Garden Inn Orlando Airport 3*,"7300 Augusta National Dr,Orlando,FL,32822-5031","
Wheelchair access,
Non-Smoking Hotel ,
Pool,
Fitness Center with Gym / Workout Room,
Restaurant,
Bar/Lounge,
Hot Tub ,
Suites,
Family Rooms,
Non-Smoking Rooms ,
Free Internet,
Free High Speed Internet ( WiFi ) ,
Free Parking,
Business Center with Internet Access,
Room Service,
Airport Transportation,
Dry Cleaning,
Meeting Rooms,
Multilingual Staff,
Conference Facilities,
Laundry Service,
Banquet Room,
Self-Serve Laundry ","
$100 - $281 (Based on Average Rates for a Standard Room)
","
,
Hilton Garden Inn Orlando Airport
",4.5
"All reviews,carlos vecco,front desk,indoor outdoor pool,the shuttle driver,spg points,next morning,suite hotel,free shuttle,separate bedroom,an early flight,the living room area,port canaveral,stayed one night,restaurant staff,rental car,starbucks coffee,breakfast buffet,sofa bed,fridge and microwave,nice size",3.5 star — Sheraton Suites Orlando Airport 3.5*,"7550 Augusta National Dr,Orlando,FL,32822-5020","
Wheelchair access,
Non-Smoking Hotel,
Pets Allowed ( Dog / Pet Friendly ) ,
Pool,
Restaurant,
Fitness Center with Gym / Workout Room,
Bar/Lounge,
Hot Tub ,
Suites,
Non-Smoking Rooms,
Accessible rooms ,
Air Conditioning,
Microwave,
Refrigerator in room ,
Free Internet,
Free High Speed Internet ( WiFi ),
Public Wifi,
Paid Wifi ,
Room Service,
Shuttle Bus Service,
Business Center with Internet Access,
Airport Transportation,
Meeting Rooms,
Banquet Room,
Multilingual Staff,
Conference Facilities,
Dry Cleaning,
Laundry Service,
Concierge,
Self-Serve Laundry ","
$103 - $232 (Based on Average Rates for a Standard Room)
","
,
Sheraton Suites Orlando Airport
",4
"All reviews,full kitchen,time share,discovery cove,bonefish grill,screened balcony,bedroom suite,washer dryer,international drive,activity center,main pool,pool area,ping pong,whirlpool tub,close to sea world,timeshare presentation,main building,dvd player,vacation club,parc soleil,starbucks coffee",3.5 star — Hilton Grand Vacations at SeaWorld 3.5*,"6924 Grand Vacations Way,Orlando,FL,32821-8080","
Wheelchair access,
Non-Smoking Hotel ,
Pool,
Restaurant,
Fitness Center with Gym / Workout Room,
Bar/Lounge,
Hot Tub,
Tennis Court ,
Kitchenette,
Suites,
Non-Smoking Rooms,
Family Rooms,
Accessible rooms ,
Air Conditioning,
Microwave,
Refrigerator in room ,
Free Internet,
Free High Speed Internet ( WiFi ),
Paid Wifi ,
Free Parking,
Business Center with Internet Access,
Children Activities (Kid / Family Friendly),
Shuttle Bus Service,
Room Service,
Meeting Rooms,
Laundry Service,
Concierge,
Banquet Room,
Multilingual Staff,
Self-Serve Laundry,
Conference Facilities,
Dry Cleaning ","
$115 - $231 (Based on Average Rates for a Standard Room)
","
,
Hilton Grand Vacations at SeaWorld
",4.5
"All reviews,free breakfast,great hotel,great stay,breakfast staff,room was clean,hot breakfast,free shuttle,the breakfast area,universal orlando,would stay here again,fresh fruit,each morning,business center,shuttle service,one night stay,hotel staff,easy access,theme park,city walk,inns",2.5 star — Hampton Inn closest to Universal Orlando 2.5*,"5621 Windhover Dr,Orlando,FL,32819-7936","
Wheelchair access,
Non-Smoking Hotel ,
Pool,
Fitness Center with Gym / Workout Room ,
Family Rooms,
Non-Smoking Rooms ,
Air Conditioning ,
Free Internet,
Free High Speed Internet ( WiFi ) ,
Free Parking,
Business Center with Internet Access,
Free Breakfast,
Shuttle Bus Service,
Meeting Rooms,
Dry Cleaning,
Laundry Service,
Multilingual Staff ","
$103 - $207 (Based on Average Rates for a Standard Room)
","
,
Hampton Inn closest to Universal Orlando
",4
