City,Year,Category_staff,Number_staff,Category_of_beds,%_bed_occupied,Number_of_beds,Category_patient,Number_Patient
Yilan County,2006,RN/LPN,1790,Specialty,49.8,847,Surgery ,55715
Miaoli County,2006,RN/LPN,1249,Specialty,57,855,Surgery ,27179
Changhua County,2006,RN/LPN,4123,Specialty,55.9,1932,Surgery ,83691
Nantou County,2006,RN/LPN,1295,Specialty,55,636,Surgery ,30389
Yunlin County,2006,RN/LPN,1310,Specialty,52.7,777,Surgery ,27791
Chiayi County,2006,RN/LPN,1788,Specialty,56,737,Surgery ,33131
Pingtung County,2006,RN/LPN,2895,Specialty,56.3,1308,Surgery ,46298
Penghu County,2006,RN/LPN,200,Specialty,29.4,109,Surgery ,2800
Hualien County,2006,RN/LPN,2035,Specialty,61.2,723,Surgery ,29645
Taitung County,2006,RN/LPN,699,Specialty,52.8,383,Surgery ,12983
Kinmen County,2006,RN/LPN,93,Specialty,31.3,51,Surgery ,1066
Lienchiang County,2006,RN/LPN,17,Specialty,0,4,Surgery ,56
Taipei City,2007,Total,27462,Total,,20502,Clinic,20434565
Taichung City,2007,Total,16409,Total,,17093,Clinic,11923649
Tainan City,2007,Total,9211,Total,,9721,Clinic,6551180
Kaohsiung City,2007,Total,16737,Total,,17271,Clinic,13253950
Keelung City,2007,Total,1998,Total,,2231,Clinic,1624654
Hsinchu City,2007,Total,2139,Total,,2194,Clinic,1942525
Chiayi City,2007,Total,3238,Total,,3349,Clinic,2300008
New Taipei City,2007,Total,9972,Total,,11348,Clinic,7929827
Taoyuan City,2007,Total,11556,Total,,12177,Clinic,7816197
Hsinchu County,2007,Total,1321,Total,,2005,Clinic,982408
Yilan County,2007,Total,2789,Total,,3863,Clinic,2031163
Miaoli County,2007,Total,1939,Total,,3017,Clinic,1889614
Changhua County,2007,Total,6623,Total,,6531,Clinic,5198760
Nantou County,2007,Total,1947,Total,,2994,Clinic,1734167
Yunlin County,2007,Total,2354,Total,,2884,Clinic,1880315
Chiayi County,2007,Total,2670,Total,,3123,Clinic,1816399
Pingtung County,2007,Total,4198,Total,,5243,Clinic,2912999
Penghu County,2007,Total,322,Total,,452,Clinic,279667
Hualien County,2007,Total,3136,Total,,4173,Clinic,1583887
Taitung County,2007,Total,1063,Total,,1279,Clinic,798101
Kinmen County,2007,Total,185,Total,,288,Clinic,193153
Lienchiang County,2007,Total,36,Total,,38,Clinic,66172
Taipei City,2007,Doctor,5882,General,74.8,15308,Emergency,1062583
Taichung City,2007,Doctor,2832,General,63.9,12372,Emergency,756126
Tainan City,2007,Doctor,1600,General,68.1,7057,Emergency,513019
Kaohsiung City,2007,Doctor,3051,General,67.8,12710,Emergency,817898
Keelung City,2007,Doctor,374,General,67.6,1651,Emergency,144773
Hsinchu City,2007,Doctor,330,General,57.5,1519,Emergency,225515
Chiayi City,2007,Doctor,437,General,66.6,2347,Emergency,162443
New Taipei City,2007,Doctor,1660,General,73.9,8395,Emergency,701126
Taoyuan City,2007,Doctor,2051,General,67.5,9091,Emergency,620773
Hsinchu County,2007,Doctor,171,General,60.2,1410,Emergency,105481
Yilan County,2007,Doctor,364,General,71.5,2954,Emergency,173420
Miaoli County,2007,Doctor,258,General,61.7,2164,Emergency,124124
Changhua County,2007,Doctor,1049,General,67.8,4674,Emergency,335073
Nantou County,2007,Doctor,254,General,74.2,2341,Emergency,129272
Yunlin County,2007,Doctor,343,General,57.5,2048,Emergency,158795
Chiayi County,2007,Doctor,438,General,66.8,2423,Emergency,127641
Pingtung County,2007,Doctor,544,General,66.1,3926,Emergency,262141
Penghu County,2007,Doctor,53,General,58.9,343,Emergency,38911
Hualien County,2007,Doctor,559,General,83.6,3427,Emergency,137207
Taitung County,2007,Doctor,136,General,61,907,Emergency,91636
Kinmen County,2007,Doctor,23,General,35.5,234,Emergency,17700
Lienchiang County,2007,Doctor,6,General,21.1,34,Emergency,7060
Taipei City,2007,RN/LPN,16450,Specialty,59.5,5194,Surgery ,366032
Taichung City,2007,RN/LPN,10372,Specialty,65.8,4721,Surgery ,211111
Tainan City,2007,RN/LPN,5839,Specialty,66.3,2664,Surgery ,116037
Kaohsiung City,2007,RN/LPN,10697,Specialty,61.3,4561,Surgery ,217030
Keelung City,2007,RN/LPN,1247,Specialty,69.8,580,Surgery ,24144
Hsinchu City,2007,RN/LPN,1430,Specialty,62.8,675,Surgery ,37834
Chiayi City,2007,RN/LPN,2199,Specialty,62.6,1002,Surgery ,40419
New Taipei City,2007,RN/LPN,6475,Specialty,71.5,2953,Surgery ,138871
Taoyuan City,2007,RN/LPN,7511,Specialty,62.4,3086,Surgery ,165340
Hsinchu County,2007,RN/LPN,903,Specialty,63.5,595,Surgery ,13145
Yilan County,2007,RN/LPN,1918,Specialty,48.6,909,Surgery ,51853
Miaoli County,2007,RN/LPN,1260,Specialty,57.7,853,Surgery ,28013
Changhua County,2007,RN/LPN,4368,Specialty,64.1,1857,Surgery ,90323
Nantou County,2007,RN/LPN,1313,Specialty,57.7,653,Surgery ,22221
Yunlin County,2007,RN/LPN,1526,Specialty,54.1,836,Surgery ,28086
Chiayi County,2007,RN/LPN,1772,Specialty,61.3,700,Surgery ,34972
Pingtung County,2007,RN/LPN,2911,Specialty,61.1,1317,Surgery ,42227
Penghu County,2007,RN/LPN,199,Specialty,31.1,109,Surgery ,2885
Hualien County,2007,RN/LPN,2016,Specialty,60.8,746,Surgery ,30010
Taitung County,2007,RN/LPN,734,Specialty,51.2,372,Surgery ,11702
Kinmen County,2007,RN/LPN,117,Specialty,33.9,54,Surgery ,1468
Lienchiang County,2007,RN/LPN,17,Specialty,0,4,Surgery ,60
Taipei City,2008,Total,28655,Total,,21053,Clinic,20252270
Taichung City,2008,Total,16887,Total,,16873,Clinic,12249496
Tainan City,2008,Total,9338,Total,,9642,Clinic,6605717
Kaohsiung City,2008,Total,17461,Total,,17186,Clinic,13304540
Keelung City,2008,Total,2062,Total,,2215,Clinic,1643106
Hsinchu City,2008,Total,2273,Total,,2086,Clinic,1980052
Chiayi City,2008,Total,3430,Total,,3477,Clinic,2415136
New Taipei City,2008,Total,11301,Total,,12154,Clinic,8333069
Taoyuan City,2008,Total,11974,Total,,12163,Clinic,7388873
Hsinchu County,2008,Total,1276,Total,,2005,Clinic,948823
Yilan County,2008,Total,2889,Total,,3773,Clinic,2097345
Miaoli County,2008,Total,1978,Total,,3232,Clinic,1825759
Changhua County,2008,Total,6974,Total,,7237,Clinic,5560332
Nantou County,2008,Total,2023,Total,,3012,Clinic,1850866
Yunlin County,2008,Total,2558,Total,,2997,Clinic,1998594
Chiayi County,2008,Total,2517,Total,,2519,Clinic,1635736
Pingtung County,2008,Total,4137,Total,,5125,Clinic,2843499
Penghu County,2008,Total,331,Total,,451,Clinic,277341
Hualien County,2008,Total,3106,Total,,4153,Clinic,1581542
Taitung County,2008,Total,1116,Total,,1352,Clinic,795942
Kinmen County,2008,Total,210,Total,,288,Clinic,219581
Lienchiang County,2008,Total,37,Total,,27,Clinic,77233
Taipei City,2008,Doctor,6001,General,72.5,15689,Emergency,1035743
Taichung City,2008,Doctor,2954,General,67.1,12241,Emergency,754009
Tainan City,2008,Doctor,1645,General,69.8,7011,Emergency,509503
Kaohsiung City,2008,Doctor,3193,General,69.2,12523,Emergency,806469
Keelung City,2008,Doctor,387,General,69.1,1623,Emergency,137036
Hsinchu City,2008,Doctor,358,General,63,1398,Emergency,219608
Chiayi City,2008,Doctor,471,General,68,2381,Emergency,161178
New Taipei City,2008,Doctor,1902,General,72.5,8810,Emergency,704100
Taoyuan City,2008,Doctor,2113,General,68.9,9084,Emergency,618283
Hsinchu County,2008,Doctor,169,General,63,1410,Emergency,102328
Yilan County,2008,Doctor,376,General,77.5,2904,Emergency,175017
Miaoli County,2008,Doctor,263,General,61.5,2357,Emergency,123695
Changhua County,2008,Doctor,1142,General,63,5325,Emergency,336449
Nantou County,2008,Doctor,266,General,77.5,2341,Emergency,127276
Yunlin County,2008,Doctor,399,General,58.7,2127,Emergency,158236
Chiayi County,2008,Doctor,435,General,73,1926,Emergency,113651
Pingtung County,2008,Doctor,532,General,65,3845,Emergency,251506
Penghu County,2008,Doctor,52,General,59.4,342,Emergency,34042
Hualien County,2008,Doctor,523,General,82.2,3407,Emergency,132869
Taitung County,2008,Doctor,145,General,67.1,955,Emergency,84463
Kinmen County,2008,Doctor,29,General,44.4,234,Emergency,20667
Lienchiang County,2008,Doctor,7,General,34.2,25,Emergency,6388
Taipei City,2008,RN/LPN,17211,Specialty,59.5,5364,Surgery ,357668
Taichung City,2008,RN/LPN,10561,Specialty,70.5,4632,Surgery ,218756
Tainan City,2008,RN/LPN,5866,Specialty,67.6,2631,Surgery ,122562
Kaohsiung City,2008,RN/LPN,11109,Specialty,61.4,4663,Surgery ,220583
Keelung City,2008,RN/LPN,1274,Specialty,64.4,592,Surgery ,25471
Hsinchu City,2008,RN/LPN,1509,Specialty,64.7,688,Surgery ,38259
Chiayi City,2008,RN/LPN,2310,Specialty,60.7,1096,Surgery ,40315
New Taipei City,2008,RN/LPN,7251,Specialty,69,3344,Surgery ,147148
Taoyuan City,2008,RN/LPN,7820,Specialty,63.4,3079,Surgery ,158647
Hsinchu County,2008,RN/LPN,866,Specialty,62.8,595,Surgery ,12295
Yilan County,2008,RN/LPN,1995,Specialty,54,869,Surgery ,49938
Miaoli County,2008,RN/LPN,1262,Specialty,50.7,875,Surgery ,28463
Changhua County,2008,RN/LPN,4540,Specialty,61.1,1912,Surgery ,93301
Nantou County,2008,RN/LPN,1345,Specialty,54.7,671,Surgery ,25324
Yunlin County,2008,RN/LPN,1638,Specialty,56.2,870,Surgery ,28664
Chiayi County,2008,RN/LPN,1647,Specialty,68.7,593,Surgery ,34834
Pingtung County,2008,RN/LPN,2861,Specialty,63,1280,Surgery ,42143
Penghu County,2008,RN/LPN,209,Specialty,27.4,109,Surgery ,3117
Hualien County,2008,RN/LPN,2001,Specialty,59.8,746,Surgery ,30357
Taitung County,2008,RN/LPN,759,Specialty,48.5,397,Surgery ,12394
Kinmen County,2008,RN/LPN,131,Specialty,30.8,54,Surgery ,1476
Lienchiang County,2008,RN/LPN,18,Specialty,0,2,Surgery ,85
Taipei City,2009,Total,29582,Total,,21210,Clinic,21346253
Taichung City,2009,Total,17406,Total,,17232,Clinic,12505069
Tainan City,2009,Total,9603,Total,,9669,Clinic,6664909
Kaohsiung City,2009,Total,18044,Total,,17383,Clinic,13519457
Keelung City,2009,Total,2151,Total,,2204,Clinic,1673632
Hsinchu City,2009,Total,2434,Total,,2130,Clinic,2063658
Chiayi City,2009,Total,3577,Total,,3530,Clinic,2541194
New Taipei City,2009,Total,12346,Total,,12405,Clinic,9054375
Taoyuan City,2009,Total,12229,Total,,12094,Clinic,8129002
Hsinchu County,2009,Total,1329,Total,,2122,Clinic,945339
Yilan County,2009,Total,2950,Total,,3712,Clinic,2055649
Miaoli County,2009,Total,2052,Total,,3244,Clinic,1959948
Changhua County,2009,Total,7101,Total,,7081,Clinic,4865743
Nantou County,2009,Total,2131,Total,,3043,Clinic,1956723
Yunlin County,2009,Total,2737,Total,,3220,Clinic,2074774
Chiayi County,2009,Total,2878,Total,,2956,Clinic,1708396
Pingtung County,2009,Total,4329,Total,,5198,Clinic,3240440
Penghu County,2009,Total,353,Total,,448,Clinic,278592
Hualien County,2009,Total,3217,Total,,4170,Clinic,1599978
Taitung County,2009,Total,1128,Total,,1393,Clinic,816565
Kinmen County,2009,Total,236,Total,,245,Clinic,242010
Lienchiang County,2009,Total,42,Total,,27,Clinic,81830
Taipei City,2009,Doctor,6092,General,71.9,15788,Emergency,1152358
Taichung City,2009,Doctor,3024,General,64.9,12490,Emergency,814857
Tainan City,2009,Doctor,1724,General,68.4,7019,Emergency,548047
Kaohsiung City,2009,Doctor,3243,General,68.5,12425,Emergency,880503
Keelung City,2009,Doctor,403,General,70.4,1603,Emergency,151653
Hsinchu City,2009,Doctor,362,General,58.1,1487,Emergency,234868
Chiayi City,2009,Doctor,477,General,66.6,2401,Emergency,179617
New Taipei City,2009,Doctor,2023,General,75.1,8862,Emergency,817167
Taoyuan City,2009,Doctor,2137,General,67.9,9059,Emergency,642899
Hsinchu County,2009,Doctor,181,General,57.6,1527,Emergency,105956
Yilan County,2009,Doctor,377,General,78.2,2876,Emergency,194569
Miaoli County,2009,Doctor,264,General,61,2370,Emergency,130229
Changhua County,2009,Doctor,1122,General,64.7,5241,Emergency,360396
Nantou County,2009,Doctor,279,General,75.2,2361,Emergency,146511
Yunlin County,2009,Doctor,415,General,58,2260,Emergency,170813
Chiayi County,2009,Doctor,447,General,63.6,2327,Emergency,119953
Pingtung County,2009,Doctor,560,General,67.4,3862,Emergency,285994
Penghu County,2009,Doctor,51,General,62.9,337,Emergency,41571
Hualien County,2009,Doctor,553,General,80.7,3432,Emergency,149465
Taitung County,2009,Doctor,151,General,70.4,935,Emergency,94246
Kinmen County,2009,Doctor,25,General,56.8,188,Emergency,25392
Lienchiang County,2009,Doctor,8,General,30.2,25,Emergency,7045
Taipei City,2009,RN/LPN,17850,Specialty,60.1,5422,Surgery ,372166
Taichung City,2009,RN/LPN,10884,Specialty,68.1,4742,Surgery ,224557
Tainan City,2009,RN/LPN,5996,Specialty,68.6,2650,Surgery ,126892
Kaohsiung City,2009,RN/LPN,11498,Specialty,60.4,4958,Surgery ,217472
Keelung City,2009,RN/LPN,1323,Specialty,62.8,601,Surgery ,27041
Hsinchu City,2009,RN/LPN,1639,Specialty,63.8,643,Surgery ,37571
Chiayi City,2009,RN/LPN,2414,Specialty,59.3,1129,Surgery ,42144
New Taipei City,2009,RN/LPN,7949,Specialty,70.5,3543,Surgery ,158669
Taoyuan City,2009,RN/LPN,7976,Specialty,61.4,3035,Surgery ,166962
Hsinchu County,2009,RN/LPN,891,Specialty,61.5,595,Surgery ,13332
Yilan County,2009,RN/LPN,2051,Specialty,59.2,836,Surgery ,49571
Miaoli County,2009,RN/LPN,1325,Specialty,51.4,874,Surgery ,27632
Changhua County,2009,RN/LPN,4638,Specialty,63.6,1840,Surgery ,92226
Nantou County,2009,RN/LPN,1405,Specialty,54.2,682,Surgery ,26147
Yunlin County,2009,RN/LPN,1773,Specialty,54.3,960,Surgery ,29571
Chiayi County,2009,RN/LPN,1910,Specialty,59.9,629,Surgery ,35272
Pingtung County,2009,RN/LPN,2995,Specialty,57.8,1336,Surgery ,44376
Penghu County,2009,RN/LPN,229,Specialty,28.8,111,Surgery ,3084
Hualien County,2009,RN/LPN,2050,Specialty,61.4,738,Surgery ,32209
Taitung County,2009,RN/LPN,765,Specialty,43.2,458,Surgery ,9783
Kinmen County,2009,RN/LPN,152,Specialty,34.2,57,Surgery ,2445
Lienchiang County,2009,RN/LPN,19,Specialty,0,2,Surgery ,80
Taipei City,2010,Total,30064,Total,,21216,Clinic,21637451
Taichung City,2010,Total,17979,Total,,17207,Clinic,12794833
Tainan City,2010,Total,9893,Total,,9496,Clinic,6584162
Kaohsiung City,2010,Total,18968,Total,,17429,Clinic,13500356
Keelung City,2010,Total,2187,Total,,2152,Clinic,1677968
Hsinchu City,2010,Total,2541,Total,,2193,Clinic,2126793
Chiayi City,2010,Total,3725,Total,,3514,Clinic,2605811
New Taipei City,2010,Total,12843,Total,,12457,Clinic,9054351
Taoyuan City,2010,Total,12526,Total,,12219,Clinic,8267650
Hsinchu County,2010,Total,1327,Total,,2123,Clinic,962494
Yilan County,2010,Total,2986,Total,,3728,Clinic,2137982
Miaoli County,2010,Total,2047,Total,,3221,Clinic,1983052
Changhua County,2010,Total,7309,Total,,7130,Clinic,5414663
Nantou County,2010,Total,2209,Total,,3148,Clinic,2008251
Yunlin County,2010,Total,2967,Total,,3381,Clinic,2121099
Chiayi County,2010,Total,2977,Total,,3066,Clinic,1745725
Pingtung County,2010,Total,4380,Total,,5298,Clinic,3055533
Penghu County,2010,Total,365,Total,,455,Clinic,321759
Hualien County,2010,Total,3294,Total,,4294,Clinic,1634851
Taitung County,2010,Total,1174,Total,,1383,Clinic,802225
Kinmen County,2010,Total,245,Total,,251,Clinic,248466
Lienchiang County,2010,Total,39,Total,,40,Clinic,83226
Taipei City,2010,Doctor,6206,General,73.6,15742,Emergency,1131035
Taichung City,2010,Doctor,3117,General,66.6,12442,Emergency,830766
Tainan City,2010,Doctor,1739,General,70.2,6906,Emergency,553133
Kaohsiung City,2010,Doctor,3342,General,68.7,12472,Emergency,876869
Keelung City,2010,Doctor,429,General,75,1542,Emergency,144310
Hsinchu City,2010,Doctor,374,General,62.8,1499,Emergency,239768
Chiayi City,2010,Doctor,502,General,67.2,2401,Emergency,178808
New Taipei City,2010,Doctor,2078,General,77.2,8838,Emergency,768887
Taoyuan City,2010,Doctor,2150,General,69,9101,Emergency,653808
Hsinchu County,2010,Doctor,181,General,62.9,1523,Emergency,105497
Yilan County,2010,Doctor,384,General,75.4,2880,Emergency,193305
Miaoli County,2010,Doctor,259,General,61.3,2350,Emergency,140071
Changhua County,2010,Doctor,1143,General,65.3,5341,Emergency,366145
Nantou County,2010,Doctor,279,General,75.4,2427,Emergency,157166
Yunlin County,2010,Doctor,460,General,58.4,2335,Emergency,176210
Chiayi County,2010,Doctor,456,General,70.8,2367,Emergency,118138
Pingtung County,2010,Doctor,569,General,65.2,3957,Emergency,276106
Penghu County,2010,Doctor,59,General,67.2,337,Emergency,42072
Hualien County,2010,Doctor,558,General,81.1,3556,Emergency,150448
Taitung County,2010,Doctor,147,General,63.9,935,Emergency,93160
Kinmen County,2010,Doctor,29,General,61.8,188,Emergency,26869
Lienchiang County,2010,Doctor,8,General,17.8,38,Emergency,6866
Taipei City,2010,RN/LPN,18019,Specialty,62.5,5474,Surgery ,383527
Taichung City,2010,RN/LPN,11190,Specialty,69.1,4765,Surgery ,226455
Tainan City,2010,RN/LPN,6152,Specialty,72,2590,Surgery ,130185
Kaohsiung City,2010,RN/LPN,12199,Specialty,62.8,4957,Surgery ,215785
Keelung City,2010,RN/LPN,1316,Specialty,65.7,610,Surgery ,26725
Hsinchu City,2010,RN/LPN,1716,Specialty,65.3,694,Surgery ,39817
Chiayi City,2010,RN/LPN,2477,Specialty,66.4,1113,Surgery ,40959
New Taipei City,2010,RN/LPN,8215,Specialty,71.7,3619,Surgery ,162073
Taoyuan City,2010,RN/LPN,8116,Specialty,58.1,3118,Surgery ,161420
Hsinchu County,2010,RN/LPN,874,Specialty,61.7,600,Surgery ,13104
Yilan County,2010,RN/LPN,2049,Specialty,55.9,848,Surgery ,32268
Miaoli County,2010,RN/LPN,1311,Specialty,54.1,871,Surgery ,27887
Changhua County,2010,RN/LPN,4706,Specialty,64.6,1789,Surgery ,92482
Nantou County,2010,RN/LPN,1447,Specialty,56.6,721,Surgery ,26421
Yunlin County,2010,RN/LPN,1902,Specialty,52.2,1046,Surgery ,32093
Chiayi County,2010,RN/LPN,1963,Specialty,60.8,699,Surgery ,34914
Pingtung County,2010,RN/LPN,3009,Specialty,61.5,1341,Surgery ,43659
Penghu County,2010,RN/LPN,231,Specialty,29.3,118,Surgery ,3645
Hualien County,2010,RN/LPN,2085,Specialty,61.5,738,Surgery ,32674
Taitung County,2010,RN/LPN,804,Specialty,56.9,448,Surgery ,10090
Kinmen County,2010,RN/LPN,150,Specialty,30.8,63,Surgery ,2020
Lienchiang County,2010,RN/LPN,18,Specialty,0,2,Surgery ,86
Taipei City,2011,Total,30656,Total,,21082,Clinic,21727215
Taichung City,2011,Total,18691,Total,,17725,Clinic,13096561
Tainan City,2011,Total,10062,Total,,9211,Clinic,6596911
Kaohsiung City,2011,Total,19683,Total,,17287,Clinic,13607922
Keelung City,2011,Total,2176,Total,,2150,Clinic,1665464
Hsinchu City,2011,Total,2689,Total,,2238,Clinic,2209386
Chiayi City,2011,Total,3835,Total,,3599,Clinic,2679673
New Taipei City,2011,Total,13126,Total,,12634,Clinic,9278396
Taoyuan City,2011,Total,12731,Total,,12187,Clinic,8329991
Hsinchu County,2011,Total,1374,Total,,2042,Clinic,955499
Yilan County,2011,Total,3063,Total,,3785,Clinic,2236100
Miaoli County,2011,Total,2103,Total,,3179,Clinic,1954100
Changhua County,2011,Total,7416,Total,,7090,Clinic,5464906
Nantou County,2011,Total,2299,Total,,3093,Clinic,2029208
Yunlin County,2011,Total,3041,Total,,3337,Clinic,2152353
Chiayi County,2011,Total,2929,Total,,3055,Clinic,1757661
Pingtung County,2011,Total,4608,Total,,5346,Clinic,3115245
Penghu County,2011,Total,366,Total,,455,Clinic,325798
Hualien County,2011,Total,3298,Total,,4239,Clinic,1659235
Taitung County,2011,Total,1202,Total,,1400,Clinic,770709
Kinmen County,2011,Total,249,Total,,251,Clinic,246988
Lienchiang County,2011,Total,35,Total,,46,Clinic,85699
Taipei City,2011,Doctor,6369,General,75.8,15673,Emergency,1170145
Taichung City,2011,Doctor,3220,General,64.9,12927,Emergency,849114
Tainan City,2011,Doctor,1734,General,71.3,6743,Emergency,572303
Kaohsiung City,2011,Doctor,3385,General,71.6,12244,Emergency,887087
Keelung City,2011,Doctor,425,General,77.3,1539,Emergency,145852
Hsinchu City,2011,Doctor,426,General,65.1,1555,Emergency,253492
Chiayi City,2011,Doctor,521,General,67.7,2442,Emergency,183555
New Taipei City,2011,Doctor,2139,General,78.5,8961,Emergency,838716
Taoyuan City,2011,Doctor,2175,General,69.6,9098,Emergency,663053
Hsinchu County,2011,Doctor,175,General,65.1,1484,Emergency,108209
Yilan County,2011,Doctor,392,General,75.6,2930,Emergency,201487
Miaoli County,2011,Doctor,253,General,59.8,2334,Emergency,143680
Changhua County,2011,Doctor,1165,General,66.6,5282,Emergency,375877
Nantou County,2011,Doctor,305,General,77.3,2377,Emergency,155678
Yunlin County,2011,Doctor,466,General,58.2,2317,Emergency,180257
Chiayi County,2011,Doctor,432,General,69.7,2367,Emergency,124651
Pingtung County,2011,Doctor,603,General,65.5,4002,Emergency,290695
Penghu County,2011,Doctor,57,General,61.7,337,Emergency,42530
Hualien County,2011,Doctor,564,General,82.8,3520,Emergency,151405
Taitung County,2011,Doctor,154,General,65.3,946,Emergency,101346
Kinmen County,2011,Doctor,28,General,58.3,188,Emergency,27197
Lienchiang County,2011,Doctor,5,General,20.6,40,Emergency,7298
Taipei City,2011,RN/LPN,18248,Specialty,66,5409,Surgery ,395337
Taichung City,2011,RN/LPN,11634,Specialty,70,4798,Surgery ,227017
Tainan City,2011,RN/LPN,6312,Specialty,73.8,2468,Surgery ,125968
Kaohsiung City,2011,RN/LPN,12661,Specialty,63.9,5043,Surgery ,222260
Keelung City,2011,RN/LPN,1302,Specialty,64.6,611,Surgery ,25691
Hsinchu City,2011,RN/LPN,1787,Specialty,72,683,Surgery ,41339
Chiayi City,2011,RN/LPN,2526,Specialty,68.2,1157,Surgery ,41580
New Taipei City,2011,RN/LPN,8298,Specialty,74.9,3673,Surgery ,162593
Taoyuan City,2011,RN/LPN,8219,Specialty,65.3,3089,Surgery ,163627
Hsinchu County,2011,RN/LPN,924,Specialty,70.8,558,Surgery ,12999
Yilan County,2011,RN/LPN,2091,Specialty,55.7,855,Surgery ,35173
Miaoli County,2011,RN/LPN,1349,Specialty,53.9,845,Surgery ,27554
Changhua County,2011,RN/LPN,4750,Specialty,66,1808,Surgery ,92981
Nantou County,2011,RN/LPN,1476,Specialty,59.8,716,Surgery ,25372
Yunlin County,2011,RN/LPN,1943,Specialty,55.1,1020,Surgery ,32902
Chiayi County,2011,RN/LPN,1949,Specialty,60.7,688,Surgery ,33536
Pingtung County,2011,RN/LPN,3123,Specialty,62.2,1344,Surgery ,42870
Penghu County,2011,RN/LPN,231,Specialty,29.9,118,Surgery ,3648
Hualien County,2011,RN/LPN,2039,Specialty,65,719,Surgery ,32371
Taitung County,2011,RN/LPN,808,Specialty,54.3,454,Surgery ,10051
Kinmen County,2011,RN/LPN,157,Specialty,35.5,63,Surgery ,1840
Lienchiang County,2011,RN/LPN,18,Specialty,9.9,6,Surgery ,73
Taipei City,2012,Total,31067,Total,,20819,Clinic,22855610
Taichung City,2012,Total,19204,Total,,17646,Clinic,13540291
