title;main_story_length;mainextra_length;completionist_length;combined_length;platform
Teenage Mutant Ninja Turtles II: The Arcade Game;1;1.5;1;1;Arcade
Battletoads (Arcade);1;;1;1;Arcade
Dead or Alive 2;0.5333333333333333;3.5;6;2;Arcade
Golden Axe;0.7833333333333333;0.7333333333333333;1.5;0.8333333333333334;Arcade
Golden Axe II;1;;2;1;Arcade
Metal Slug 2;1;2;2;1.5;Arcade
Teenage Mutant Ninja Turtles: Turtles in Time;2;3;3.5;2.5;Arcade
Narc (1988);0.6166666666666667;0.3333333333333333;;0.5;Arcade
Contra;0.9666666666666667;1.5;1;1;Arcade
Double Dragon;1;2.5;2.5;1.5;Arcade
Golden Axe: The Revenge of Death Adder;1;1.5;1.5;1;Arcade
Strider 2;0.7666666666666667;0.8666666666666667;1;0.7833333333333333;Arcade
The King of Fighters 2000;0.6;2;12.5;3.5;Arcade
The Simpsons Arcade Game;0.85;0.9666666666666667;1;0.9666666666666667;Arcade
X-Men (Arcade/PSN/XBLA);0.75;2.5;8;1.5;Arcade
X-Men vs. Street Fighter;0.6;10;7.5;2;Arcade
Cadillacs and Dinosaurs;1;1;0.6666666666666666;1;Arcade
DonPachi;0.8833333333333333;;1;0.9333333333333333;Arcade
Dragon's Lair;0.85;;2.5;1;Arcade
Marvel Super Heroes vs. Street Fighter;0.7333333333333333;;5;1;Arcade
Marvel vs. Capcom: Clash of Super Heroes;1.5;4;9.5;4;Arcade
Mega Twins;0.6333333333333333;;0.6;0.6166666666666667;Arcade
Mortal Kombat 3;2.5;7.5;20;4.5;Arcade
Mortal Kombat II;2;8.5;10;3;Arcade
Soul Blade;1.5;9.5;;3.5;Arcade
Street Fighter II;2;21;10.5;3.5;Arcade
Sunset Riders;2.5;;3.5;2.5;Arcade
The House of the Dead 2;1;2.5;2;2;Arcade
The King of Fighters '94;2.5;3;2;2.5;Arcade
The King of Fighters '97;7.5;3.5;13;6.5;Arcade
Mushihime-sama;1.5;11.5;;2.5;Arcade
PuLiRuLa;;;0.6666666666666666;0.6666666666666666;Arcade
Bionic Commando (1988);2.5;3;1.5;2.5;Arcade
Darkstalkers: The Night Warriors;0.8333333333333334;;;0.8333333333333334;Arcade
Donkey Kong;0.4666666666666667;1;3.5;0.6333333333333333;Arcade
Dungeons & Dragons: Tower of Doom;1;;3.5;1.5;Arcade
Metal Slug 6;1.5;;;1.5;Arcade
Samurai Shodown III: Blades of Blood;2;2;2;2;Arcade
Strider (Arcade/GEN/MD/68k);0.9333333333333333;2;2;1;Arcade
The King of Fighters '99;0.95;2;10;3;Arcade
Ultimate Mortal Kombat 3;1;7;12;3;Arcade
Samurai Shodown II;0.9166666666666666;;;0.9166666666666666;Arcade
Alien 3: The Gun;0.4166666666666667;;;0.4166666666666667;Arcade
Alien vs. Predator (Arcade);0.9;;0.9;0.9;Arcade
Area 51 (1995);0.6666666666666666;0.5;;0.5833333333333334;Arcade
Arkanoid;2;;;2;Arcade
Armed Police Batrider;10;;5;7.5;Arcade
Art of Fighting;0.6166666666666667;0.95;0.8;0.7833333333333333;Arcade
Battlezone (1980);;;;;Arcade
Cabal;;;1.5;1.5;Arcade
Captain America and The Avengers;1;;3;1.5;Arcade
Cyberbots: Full Metal Madness;0.7666666666666667;2;1.5;1;Arcade
Darkstalkers 3;1.5;;;1.5;Arcade
Defender;;;;;Arcade
Die Hard Arcade;0.7333333333333333;;1;0.8166666666666667;Arcade
Double Dragon II: The Revenge;1.5;;2;1.5;Arcade
Fatal Fury: King of Fighters;1;1;20;3;Arcade
Final Fight;1.5;0.8333333333333334;1;1.5;Arcade
Fist of the North Star (2005);2.5;12.5;;6.5;Arcade
Garou: Mark of the Wolves;0.7166666666666667;;6.5;2;Arcade
Ghouls 'n Ghosts;3;;3.5;3;Arcade
Giga Wing;0.6;;;0.6;Arcade
Gradius II;0.6833333333333333;1.5;;0.8333333333333334;Arcade
Killer Instinct (Arcade/SNES);0.9666666666666667;;1;0.9833333333333333;Arcade
Knights of the Round;1.5;;;1.5;Arcade
Kung-Fu Master;0.25;;;0.25;Arcade
Mars Matrix: Hyper Solid Shooting;;;2;2;Arcade
Marvel vs. Capcom 2;0.7166666666666667;22;19;7.5;Arcade
Mercs;2;;4.5;3;Arcade
Metal Slug 4;1;3;2.5;1.5;Arcade
Metal Slug 5;0.9666666666666667;2.5;;1;Arcade
Michael Jackson's Moonwalker;1.5;;2;1.5;Arcade
Mortal Kombat (Original);1;12;3;2.5;Arcade
Night Warriors: Darkstalkers' Revenge;0.7333333333333333;;;0.7333333333333333;Arcade
Pac-Man;3;;;3;Arcade
Paperboy;3.5;;3;3.5;Arcade
Progear: Storm of Progia;0.5;;;0.5;Arcade
Puzzle Bobble;6.5;;14.5;7.5;Arcade
R-Type;2;;1.5;2;Arcade
Rastan;3;;2;2.5;Arcade
Robotron: 2084;;;;;Arcade
Samurai Shodown IV: Amakusa's Revenge;0.8833333333333333;2;;1.5;Arcade
Silent Scope;0.3;;0.8666666666666667;0.4;Arcade
Snow Bros;0.7833333333333333;2;3.5;2;Arcade
Splatterhouse;1;;;1;Arcade
Star Wars (1983);;;2;2;Arcade
Star Wars Trilogy Arcade;0.8833333333333333;;6;1.5;Arcade
Street Fighter;0.65;3.5;1;1.5;Arcade
Street Fighter Alpha 2;0.6166666666666667;3;1.5;0.9666666666666667;Arcade
Street Fighter Alpha: Warriors' Dreams;0.9666666666666667;3;1.5;1;Arcade
Street Fighter EX;0.4;3;4.5;2;Arcade
Street Fighter II: Champion Edition;1;17;13.5;4.5;Arcade
Street Fighter III: New Generation;0.5166666666666667;4;7;1;Arcade
Tekken 3;3;15.5;25.5;12;Arcade
Tekken Tag Tournament;2;6.5;10;4.5;Arcade
The House of the Dead;1;3;3;1.5;Arcade
The House of the Dead 4;4.5;;2;4;Arcade
The House of the Dead III;0.75;2;4;1;Arcade
The King of Fighters '95;4;2;16.5;5;Arcade
The King of Fighters '98: The Slugfest;5;5.5;18;7;Arcade
The King of Fighters 2001;0.5166666666666667;2;12;3.5;Arcade
The King of Fighters 2002;0.35;2;;0.6333333333333333;Arcade
The Last Blade;0.9333333333333333;;3;1.5;Arcade
The Lost World: Jurassic Park (Arcade);1.5;;0.8666666666666667;1;Arcade
Time Crisis;2;2;3;2;Arcade
Time Crisis 3;0.55;9;;5;Arcade
Time Crisis 4;1;;;1;Arcade
Time Crisis II;2;;4;2.5;Arcade
Virtua Fighter;0.85;;1.5;1;Arcade
Waku Waku 7;0.8833333333333333;;;0.8833333333333333;Arcade
Zaxxon;;;;;Arcade
1941: Counter Attack;0.43333333333333335;;2;0.7333333333333333;Arcade
Black Tiger;0.85;;0.6166666666666667;0.7833333333333333;Arcade
Midnight Wanderers: Quest for the Chariot;0.35;0.8333333333333334;;0.43333333333333335;Arcade
Chariot: Adventure through the Sky;0.5833333333333334;;;0.5833333333333334;Arcade
Gunblade NY;;0.75;;0.75;Arcade
Bad Dudes Vs. DragonNinja;0.38333333333333336;;;0.38333333333333336;Arcade
DoDonPachi II: Bee Storm;0.5;;;0.5;Arcade
Jurassic Park (Arcade);0.25;;;0.25;Arcade
Bubble Bobble;3;2;;3;Arcade
Dungeons & Dragons: Shadow over Mystara;1;1.5;0.7333333333333333;1;Arcade
Ghosts 'n Goblins;6;5;11.5;6.5;Arcade
Street Fighter II Turbo: Hyper Fighting;1.5;2;13;3;Arcade
Tekken;2.5;8;10.5;4.5;Arcade
19XX: The War Against Destiny;0.5666666666666667;;4;1;Arcade
Aero Fighters;0.9;1;1;0.9833333333333333;Arcade
After Burner;1.5;;2.5;2;Arcade
Blazing Star;2;;;2;Arcade
Captain Commando;2.5;2;0.75;2;Arcade
DoDonPachi;0.26666666666666666;;1;0.6333333333333333;Arcade
Donkey Kong Jr.;0.25;0.25;1;0.38333333333333336;Arcade
Galaga;3;;3;3;Arcade
Joe & Mac;2;;0.95;1;Arcade
JoJo's Bizarre Adventure (1998);0.8166666666666667;5;6;2;Arcade
Magic Sword;1;1;;1;Arcade
Magical Drop III;1;;;1;Arcade
Marvel Super Heroes;1.5;2;2.5;2;Arcade
Mega Man 2: The Power Fighters;1;0.6666666666666666;;0.9666666666666667;Arcade
Mega Man: The Power Battle;0.6333333333333333;;0.7;0.6333333333333333;Arcade
Saturday Night Slam Masters;1;;9;2;Arcade
Smash TV;1;2.5;1.5;1.5;Arcade
SNK vs. Capcom: SVC Chaos;0.26666666666666666;2;;1.5;Arcade
Space Harrier;0.5666666666666667;;3;2;Arcade
Super Breakout;;;;;Arcade
Teenage Mutant Ninja Turtles (1989);2.5;3.5;4;3;Arcade
The King of Dragons;1.5;;2;1.5;Arcade
The Punisher (1993);1;2;2.5;1.5;Arcade
U.N. Squadron;2;;2;2;Arcade
X-Men: Children of the Atom;0.65;10;;5.5;Arcade
Armored Warriors;0.95;;;0.95;Arcade
Battle Circuit;0.8333333333333334;;0.8666666666666667;0.85;Arcade
Ninja Commando;0.7;;;0.7;Arcade
Frogger;1;;0.5;0.75;Atari 2600
Missile Command;;;1;1;Atari 2600
Pitfall II: Lost Caverns;0.2833333333333333;0.6333333333333333;;0.36666666666666664;Atari 2600
Pitfall!;1.5;;;1.5;Atari 2600
River Raid;;;;;Atari 2600
Space Invaders;2.5;5;;4;Atari 2600
Haunted House;;;;;Atari 2600
Centipede;2.5;;;2.5;Atari 2600
Donkey Kong;0.4666666666666667;1;3.5;0.6333333333333333;Atari 2600
Ms. Pac-Man;1.5;3;;2;Atari 2600
Pole Position;;;;;Atari 2600
Adventure (Atari 2600);0.08333333333333333;;0.75;0.26666666666666666;Atari 2600
Asteroids;;;;;Atari 2600
Barnstorming;0.08333333333333333;;;0.08333333333333333;Atari 2600
Combat;;;2.5;2.5;Atari 2600
Demon Attack;0.08333333333333333;;;0.08333333333333333;Atari 2600
Dig Dug;3.5;;7;5.5;Atari 2600
E.T. the Extra-Terrestrial;1;;2.5;2;Atari 2600
H.E.R.O.;0.7166666666666667;;;0.7166666666666667;Atari 2600
Joust;0.9;;;0.9;Atari 2600
Jungle Hunt;0.08333333333333333;;;0.08333333333333333;Atari 2600
Kaboom!;;;;;Atari 2600
Megamania;0.8833333333333333;;;0.8833333333333333;Atari 2600
Pac-Man;3;;;3;Atari 2600
Raiders of the Lost Ark;;;;;Atari 2600
Riddle of the Sphinx;;;;;Atari 2600
Solaris;2;;;2;Atari 2600
Spider Fighter;0.75;;;0.75;Atari 2600
Yars' Revenge;0.35;;;0.35;Atari 2600
Dragster;0.016666666666666666;;;0.016666666666666666;Atari 2600
Grand Prix;0.08333333333333333;;;0.08333333333333333;Atari 2600
Boxing;0.08333333333333333;;;0.08333333333333333;Atari 2600
Enduro;;;;;Atari 2600
Superman (1979);0.08333333333333333;;;0.08333333333333333;Atari 2600
Frostbite;;;;;Atari 2600
Atlantis;;;;;Atari 2600
Keystone Kapers;;;;;Atari 2600
Moon Patrol;0.26666666666666666;;;0.26666666666666666;Atari 2600
Q*bert;;;;;Atari 2600
Super Breakout;;;;;Atari 2600
Defender;;;;;Atari 5200
Joust;0.9;;;0.9;Atari 7800
Xevious;;;6;6;Atari 7800
Dark Chambers;1;;;1;Atari 7800
Galaga;3;;3;3;Atari 7800
Xenophobe;;;;;Atari 7800
Wolfenstein 3D;7;9.5;11;8;Atari Jaguar
Doom;4;5.5;8;5;Atari Jaguar
Alien vs Predator (Jaguar);12.5;;;12.5;Atari Jaguar
Dragon: The Bruce Lee Story;0.8166666666666667;1;3.5;1;Atari Jaguar
Kasumi Ninja;0.5166666666666667;;;0.5166666666666667;Atari Jaguar
California Games;8;2;2;4.5;Atari Lynx
Batman Returns;2;;;2;Atari Lynx
Samorost 2;1;1;1;1;Browser
Card Hunter;27;;;;Browser
Depression Quest;1;1.5;0.6;1;Browser
Knightmare Tower;2.5;3;4;3;Browser
Don't Shit Your Pants;0.08333333333333333;0.08333333333333333;0.08333333333333333;0.08333333333333333;Browser
Every Day the Same Dream;0.25;;0.25;0.25;Browser
Pretentious Game;0.08333333333333333;;0.08333333333333333;0.08333333333333333;Browser
Depict1;;;1;1;Browser
Caesar's Day Off;0.016666666666666666;;0.06666666666666667;0.08333333333333333;Browser
RuneScape;100000;;;;Browser
Samorost;0.26666666666666666;0.2833333333333333;0.3;0.26666666666666666;Browser
The Republia Times;;;;;Browser
Doodle God;10.5;;5.5;5.5;Browser
Where is Cat?;;;0.3333333333333333;0.3333333333333333;Browser
400 Years;0.31666666666666665;;;0.31666666666666665;Browser
A Duck Has An Adventure;;;0.25;0.25;Browser
Abobo's Big Adventure;1.5;2;;2;Browser
Achievement Unlocked;0.31666666666666665;0.6166666666666667;0.35;0.36666666666666664;Browser
Angry Birds;6.5;13.5;9.5;10;Browser
Candy Box!;;15;10;12.5;Browser
Coma;0.4166666666666667;;0.5;0.45;Browser
Don't Look Back;0.31666666666666665;;12;1;Browser
Dys4ia;0.08333333333333333;;0.08333333333333333;0.08333333333333333;Browser
Elephant Quest;;;1;1;Browser
Frog Fractions;1;1.5;1;1;Browser
Give Up;0.6666666666666666;;;0.6666666666666666;Browser
I saw her standing there;0.25;0.3333333333333333;;0.25;Browser
Icy Fishes;;2.5;6;3;Browser
Johnny Upgrade;0.2833333333333333;;0.3333333333333333;0.3;Browser
Meat Boy;0.6666666666666666;2;6.5;3.5;Browser
Musaic Box;2;2;2;2;Browser
Mushroom Madness 3;;;4.5;4.5;Browser
Mystery IQ Test;0.26666666666666666;;;0.26666666666666666;Browser
One and One Story;0.25;;0.4;0.25;Browser
One Chance;0.25;1;;0.31666666666666665;Browser
Pretentious Game 2;0.08333333333333333;;0.25;0.08333333333333333;Browser
Robot Wants Kitty;0.31666666666666665;0.5833333333333334;;0.36666666666666664;Browser
Run Jesus Run a.k.a. The 10 Second Gospel;0.08333333333333333;0.08333333333333333;0.08333333333333333;0.08333333333333333;Browser
Seven Deadly Sins;0.35;;0.4166666666666667;0.38333333333333336;Browser
SHIFT 2;0.4166666666666667;;;0.4166666666666667;Browser
simian.interface;0.25;;;0.25;Browser
Sissy's Magical Ponycorn Adventure;0.08333333333333333;;0.25;0.08333333333333333;Browser
The Company of Myself;0.5666666666666667;;1;0.6166666666666667;Browser
The Visitor;0.25;;0.26666666666666666;0.25;Browser
This is Not a Minimalist Game;0.25;;0.4;0.31666666666666665;Browser
This Is The Only Level;0.55;0.6666666666666666;0.25;0.43333333333333335;Browser
This is the Only Level 3;0.36666666666666664;;;0.36666666666666664;Browser
This Is The Only Level TOO;0.3333333333333333;;;0.3333333333333333;Browser
Tower of Heaven;0.45;;12;2;Browser
Upgrade Complete;0.2833333333333333;;0.6833333333333333;0.5;Browser
You Have To Burn The Rope;0.08333333333333333;0.08333333333333333;0.08333333333333333;0.08333333333333333;Browser
Achievement Unlocked 2;1;2;1;1.5;Browser
Pretentious Game 3;0.25;;0.31666666666666665;0.25;Browser
Icarus Proudbottom Teaches Typing!;0.6;0.95;;0.6666666666666666;Browser
Cookie Clicker;102.5;;;;Browser
Air Pressure;0.08333333333333333;;0.5833333333333334;0.08333333333333333;Browser
Those Darn Nipples!;0.08333333333333333;;0.08333333333333333;0.08333333333333333;Browser
Learn to Fly;1;;;1;Browser
Learn to Fly 2;;2;;2;Browser
Pretentious Game (2014);0.8333333333333334;;0.9166666666666666;0.85;Browser
Dragon Age Journeys: The Deep Roads;1.5;2;;2;Browser
Sushi Cat;0.8333333333333334;;;;Browser
I Saw Her, Too, With Lasers;0.35;0.4166666666666667;;0.36666666666666664;Browser
I saw her across the world;0.4166666666666667;;;;Browser
Vox Populi, Vox Dei;0.36666666666666664;;;0.36666666666666664;Browser
60 Seconds Burger Run;0.08333333333333333;;0.08333333333333333;0.08333333333333333;Browser
:the game:;0.5;;0.4166666666666667;0.43333333333333335;Browser
Dear Esteban;0.08333333333333333;;0.08333333333333333;0.08333333333333333;Browser
Infectonator 2;1.5;;3;2;Browser
Infectonator: World Dominator;;;2;2;Browser
Karoshi: Suicide Salaryman;0.55;;0.75;0.5833333333333334;Browser
Neverending Light: Part 1;0.25;;0.25;0.25;Browser
No-one Has to Die;0.7666666666666667;;0.9166666666666666;0.8333333333333334;Browser
Ode To Pixel Days;0.36666666666666664;;;0.36666666666666664;Browser
On the Flat Field of a Dream;0.25;;;0.25;Browser
One Button Bob;0.08333333333333333;;;0.08333333333333333;Browser
SHIFT;0.25;;16;2;Browser
