"tweets","sentiment"
"young people, naive enough to think the EU represents a liberal utopia of cultural inclusivity, want to be taken seriously? #GTFO #brexit",1
"@JCSendon70 @SusanPickin @TuppenceFervour @SteveLawrence_ @hartley_si Same in the Tory party. We are in the middle of a #brexit mess!",0
".@BGF_team talking #Brexit at @ukcloudltd event: huge optimism for world leading UK businesses to take advantage of new opportunities",1
"UK Kickstarter backers of Pebble Time 2 &amp; Core who are being refunded will likely win on USD currency conversion. A rare #brexit benefit",1
"Still waiting to hear a tangible positive about #Brexit, ie not 'we're taking back control'; 'we're getting our country back' baloney.",1
"Well @LibDems were and are clear that #Brexit is bad, and many of those who voted for it would lose outbid it happeäó_ https://t.co/P5NmlEZjLf",0
"Rail strikes
Airline strikes
Postal strikes
What van driver strikes

It isn't #BRExit which is a threat to the economy. It's Socialism.",1
"Why language learning matters, especially after #Brexit. #MFL #OWRI https://t.co/SBBFJ5nerS",0
"The peddler of fake news @BenPBradshaw suggests that #brexit is because of Russia. What a ridiculous claim. He's aläó_ https://t.co/6IbyaIAyYf",1
"Great by @chakrabortty on coming betrayal of #Brexit voters; promise inevitably fail 2 bring expected fairer society https://t.co/J9Hj5gK1KM",1
"@colingale @LibDems according to the #brexit bunch prices will fall! Proof that Õæ_Õ_€do vote for Õæ_Õ_‹",0
"Bet people didn't realise voting #brexit would result in Poundland becoming 'Poundand10pland'",0
"Honestly who are these people that get voted in.
utterly embarrassing for the @UKParliament a full on opportunist.äó_ https://t.co/xVwP0i0PI7",0
"@Channel4News great deal #Brexit when will the people realise that they've been duped. When their pocket is empty! Blame the Œ£ on the #eu",0
"Prices on the rise - wait until New Year. Inflation hits highest level in more than two years. #Brexit #c4newsäó_ https://t.co/oZiqDvG46e",0
"EY forecast 200,000 job losses due to #Brexit 

https://t.co/JsWK5e0hxq",0
"ha ha!! heard it all now. Remoaners must just get over it &amp; join in making UK getting a great EU Exit deal. Let's täó_ https://t.co/0fh7UQ9nsu",1
"Does neutral reporting by the media give a free platform to those telling outright lies? Thorsten Beck @cassbusiness #Brexit #1913 #2016",0
"When you resign, you still expect to use the canteen, gym, company car, health insurance? What don't the 48% get with #Brexit ?",0
"#Brexit means... giving up Gibraltar if we want WTO.

UK's WTO status 'could be blocked over territorial disputes' https://t.co/HsuHNnRbc0",0
"#Brexit Hits Voters Where It Hurts äóñ Their Wallets äóñ As Majority Reveal They Donäó»t Want to Be Worse Off Leaving #EU https://t.co/8FUZxRDwJn",0
"@BenPBradshaw you are either disconnected from reality or just damn stupid. #brexit #democracy https://t.co/g8O0mWXYFz",1
"'The #brexit vote tended to be driven by emotion and identity, rather than necessarily facts and figures' - @Justine_Roberts #ipsosmorilive",0
"blimey! even the Daily Mail now realising #Brexit is a disaster. #StopFundingHate https://t.co/cZXYoxFIcB",0
"An excellent @gdnlongread diagnosing our present predicament: 'Welcome to the age of anger' https://t.co/90ge8kEIsX #Trump #Brexit @guardian",0
"#chickenfarming looks pretty good compared to some #officeworkers but you decide which sector generated moreäó_ https://t.co/f7rDVk4Lrk",0
"55% of public believe Brits have become nastier to migrants after #Brexit vote says @benatipsosmori #ipsosmorilive https://t.co/EnjyHoPO0L",0
"Controls on #migration will take place when hiring people in the workplace - not defending the borders @jdportes #brexit",0
"The Death of British Business https://t.co/goy3DQNEMh via @nybooks #Brexit - How about a return to the pastoral past &amp; simple village life?",0
"@Clungemobile @HandofGOD7 @BBC That helps explain their stance regarding #brexit. Wouldn't want to loose all that money would they",0
"Terrifying - the madness of applying #Brexit to a foreign firm-dependent land. https://t.co/Ggijklpz3S",0
"Economists have probably overestimated the cost of #Brexit - David Miles",1
"Hammond a disaster as Chancellor. Like a blast of radiation.  Killing economy with his relentless negativity.  #Brexit . @BorisJohnson",0
"@Far_Right_Watch LOL is that the best you have these days? Take a look in the mirror. #TakeBackControl #BRexit
https://t.co/0D0jRBVdjA",1
"@Kelsblells May/Davis would agree this right now if Tusk, Juncker, Merkel, Hollande and the other nations agreed this! EU to blame! #Brexit",1
"Average cost of #Brexit is a 3.5% loss in #GDP by 2030 - David Miles",0
"George Osborne declares his earnings since being evicted and his anti #Brexit stance has proved very lucrative. No coincidence, surely?",0
"Why #Brexit makes me bearish on Sainsburyäó»s growth plan https://t.co/ImMf3YpckJ https://t.co/xMPFWfg2Dh",0
"The 'reconsider' thing would only confirm how far removed we are from the Democracy we 'should' have:Really;Parl biäó_ https://t.co/VxQK0kydju",0
"Let's see what #Brexit supporters say now. Enjoying it? https://t.co/Hg3ivkcnPO",0
"God. #Aleppo #Brexit #Trump #EveryoneDying. This year has been so crap, chemotherapy was a highlight for me.",0
"#GeorgeGalloway slams free movement and blasts 'liberals' for calling #Brexit vote 'RACIST' https://t.co/sNNx4Q1ytE https://t.co/594Prkcavv",1
"""I voted for something everyone told me would make me poorer.  Now I'm angry with the government. Obviously it's noäó_ https://t.co/z7J6ARaoii",0
"It's official: mainstream politicians are now conspiracy theorists. Apparently #brexit was caused by Russia. smh https://t.co/RqNp9VEd5C",1
"@speakoutsodem Apparently EU is going to make TONS of laws, but secretly!  We must get out ASAP!  #Brexit",1
"@SkyNews @theresa_may no free movement. That's all I want. #brexit",1
"If #Brexit were subject to the same rules imposed on #TradeUnions and #Strikes - we wouldn't be in this mess @ChrisDarroch2 @GreenGrounded",0
"Yes:Its something of an elephant in the room even now:I don't wish #Brexit to fizzle-out &amp; leave the Partys to claiäó_ https://t.co/EIsTaAPJmm",0
"EU wants control of YOUR pension: Brussels' secret plan REVEALED https://t.co/m8XC9rgRsi #EU #brexit #referendum #voteleave",1
"Wow another 3 and a bit years of declines like that and we'll get the predicted #brexit drop. https://t.co/6ijSCUOukN",0
"@JinkxMonsoon Best xmas show ever! Sorry the Œ£Œ£ you're taking back will be nearly the same as $$ when u change them! Blame #Brexit!",0
"No more cheap chocolate? Our @cathumphrey from our Food+Drink team looks at the effect of #Brexit on food pricesäó_ https://t.co/5ZeGI00GoZ",0
"Ahem .. At this point I would happily support anyone opposing #Brexit - even the #Loonies @Mancman10 @Mungo_5 @Fifthcolumnblue",0
"#Merkel criticized #brexit but she is using anti-muslim anti-immigration rhetoric to be elected again. #doublespeak #doublestandards",1
"Sorry but I disagree. @jeremycorbyn stood his ground on #Trident but chose to support #Brexit @Mungo_5 @Fifthcolumnblue @Mancman10",1
"Theresa May is not going to give you your fair vote for #BREXIT Democracy in UK is now dead. UK Government will cheat Voters wait and see.",0
"Hammond admits #Brexit will take too long &amp; be too expensive for UK to stick to Article 50 timeline. #projectreality https://t.co/2DwiX5OWmR",0
"#Brexit means lowering #standards on everything! 20 reasons why Brexit will be even trickier than we thought.  https://t.co/50uJArEkJC",0
"It's OK, the brexiters will start making home made Lego from London clay

Another #Brexit victory!! https://t.co/sjNLDeyhJe",0
"Learn how $GBPUSD Drop since #Brexit has resulted in the #UK losing 15% of its #Millionaires, Thanks @easymarketsäó_ https://t.co/xxfV3HoGjd",0
"#magnacarta article 62
We the people not parliament can choose our destination and we voted #brexit https://t.co/hZgZMT2fT2",1
"Excellent piece from #Labour man on why Labour must oppose #Brexit. if it carries on present road, oblivion awaits https://t.co/bJ8qWR5iF7",0
"Hmmm ... I was quite prepared to respect him - until he betrayed us all  by supporting #Brexit @RoyCMalin @jeremycorbyn @acgrayling",0
"and the #Brexit-ers tell us we need to get out of the EU because it's doing so badly https://t.co/FHZlwPIJF0",1
"@InFactsOrg  re #Brexit &amp; Ireland has the key point ""the risks of Brexit outweigh the benefits"" ....by a big margin! https://t.co/vSdnLl5IOT",0
"Why 2017 will bring the #eurozone crisis to a head https://t.co/agkgkwiDxG @MoneyWeek #Brexit https://t.co/MC9f6Q6t9c",0
"Positive news for #AIM on liquidity in 2016 despite #Brexit from @jjpjolly @CityAM. Hopefully this continues in 2017 https://t.co/70mJI1EIvo",1
"@jimwaterson #Putin launched #ProjectFear with Cameron, asked #Remain campaigners to label #Brexit voters racist &amp; put #BobGeldof on boat",1
"@fleetstreetfox @jimwaterson Scratch the #BRexit referendum as invalid.",0
"Just when you thought #Brexit couldn't get any stupider https://t.co/ZAiKvxSvrK",0
"@tcliverpool You are missing the point. If he supports #Brexit I would rather stick needles in my eyes.  @Mancman10",0
"One advantage of #brexit will be less Europeans who have no idea of #TfL escalator etiquette. #standontherightonly #keepmovingontheleft",1
"@Mancman10 I'm not so sure he couldn't have successfully opposed the current ""culture of hatred"" - Until he sided with #UKIP over #Brexit",0
"#Labour on #Brexit: we care about jobs &amp; economy so we want #SingleMarket 
#Labour on #southernstrike: Õæ_ÕŸ‡&amp; Õæ_Õ±è",0
"Our latest report looks at the challenges businesses face following the #Brexit vote https://t.co/6OK3cqk7OB",0
"@Workers4Trump @Coeurdelion87 We appreciate Obamas help in winning #Brexit, we may not have done it without him sticking his nose in.",1
"#Brexit and the Death of British Business https://t.co/PSBFQdecSH via @nybooks",0
"We like a little positivity! Creative Industries could benefit from #Brexit and Trump. #TuesdayMotivation #culture https://t.co/q8U1W2dC6m",1
"An update on the Supreme Court Brexit negotiations https://t.co/kTwKW2mlrX #labour #Brexit https://t.co/vbhusYlgFB",1
"Clothing and fuel prices spark leap in inflation rate https://t.co/UGjwkOmngb #brexit #inflation https://t.co/2GJTnoiEAc",0
"Our #Brexit survey for members closes this Friday. #RIBA members have your say! https://t.co/VancURKSkF",0
"UK universities fear #Brexit brain drain - more than 31,000 academics in country are non-British EU citizens https://t.co/lOzWAlOOvL",0
"Any #Brexit 'transition' deal is nothing more than a way to keep the UK's foot in the door, to bring us back into the #EU at a later stage.",0
"Does  @jeremycorbyn support #Brexit for some kind of perverse personal principle - or is he just another #Populist Politician ?",0
"Why Trump presents an opportunity for traders https://t.co/9WtJ6IE4UT #BoE #BoJ #Brexit https://t.co/W1EBMrMYJP",1
"Õæ_Õ_¢ #BREXIT 
A Brexit betrayal is coming äóñ but who will get the blame? | Aditya Chakrabortty https://t.co/KWRsOU6kx7
#KRTpro #News",0
"The contribution of ICI to society is raised in UK House of Commons https://t.co/G3LvgSQwxE #Hansard #Brexit #IndustrialStrategy",1
"Had the pleasure to spend lunchtime listening to @Keir_Starmer. He was impressive. Has a positive vision of #brexit  https://t.co/Qxel7K41On",1
"#TheresaMay needs to start being honest. have cake &amp; eat it is fantasy. #Brexit will carry heavy price - are UK people prepared to pay?",0
"Good to see @MHRAgovuk engaging patient groups early at their meeting on #Brexit today - sharing and listening to patient views on brexit",0
"#Brexit Welcome to the #BananaRepublic Of #LittleEngland https://t.co/IFpT5uAiMr",0
"#Brexit and #Passporting Our Capco Institute experts shine a light in the darkness. #Banking https://t.co/EH60QdBfIS https://t.co/Sfdu5662xA",0
"#GeorgeGalloway slams free movement and blasts 'liberals' for calling #Brexit vote 'RACIST' https://t.co/sNNx4Q1ytE https://t.co/o3miJsXYYl",1
"Gd to see @Keir_Starmer giving coherent speech on #brexit #Bloomberg uniting the country, ensuring hard fought progäó_ https://t.co/kLncb3VObd",0
"#Brexit - The Death of British Business | by Simon Head Via @solange_lebourg https://t.co/1ZXvlXfCS9",0
"#Brexit gave you a voice, its time you used it #Islam #Muslims #stophate #warheroes #Britain #conservatives https://t.co/HhNTHytWyz",1
"#UKIP is not Labour's phantom menace @UKLabour collaboration with #UKIP &amp; #Brexit signals end of all hope 4 #GE2020 https://t.co/C1g3eu9nbh",1
"@BBCPolitics to win voters? a ""Simple clear message"" NO to #Brexit and be sure Labour will win the next election",0
"Demand for homes as it shrugs off #Brexit uncertainty.

Just saying...
https://t.co/bqZmgRRSA5",0
"#Brexit fears make central London house prices fall. Guess Melvyn will keep on living on his boat in #Hackney though https://t.co/QuioPpH2PJ",0
"Ask #farage when will balance of trade be improved post #brexit &amp; return to defend himself if it is not achieved &amp; not blame remainers #WATO",0
"Eye-opening stats from @CNNMoney

76% of UK CEOs have considered moving headquarters/ parts of their business out of the UK #Brexit #FDIshow",0
"Why is UK inflation rising so quickly? Blame #Brexit and the oil price https://t.co/6luRwwjR3D #Business https://t.co/VKgFjIfIrm",0
"@business &amp; #brexit supporters want the same #hardbrexit not #backsliding by #remain politicians, that was made clear during the run up!",1
"With #Brexit we'll be paying more...in fewer &amp; fewer shops.
#Remain &amp; https://t.co/JpRMFcmgap https://t.co/hiczv1d56h",0
"America Õæ_Õ_‰ at least they're openly racist unlike the UK. When it's only really obvious through #Brexit https://t.co/oyLSmdFyrb",0
"#Brexit will undermine #London's legal standing, barristers warn: https://t.co/116GsnFpur",0
"And those who couldn't grow one or draw one were compelled to tweet abuse at #Remainiacs until their #Brexit was reäó_ https://t.co/YqyXrgqF5b",1
"@WeNeedEU 
We do not!! #Brexit needs to happen and new deals to happen with EU, Canada, US China etc asap . work with EU not be run by them",1
"#Brexit will undermine #London's legal standing, barristers warn: https://t.co/p2LHTMYi8t",0
"https://t.co/7WPXSyuOKc  Hague slams negative Hammond. U need a positive vision for #Brexit!  @borisjohnsonäó_ https://t.co/Vuk16vA7T4",1
"I am not even a remainer anymore. #brexit",1
"Read this #Brexit supporters and know your real enemy https://t.co/C6Ut5gLmjg",0
"H of Lords doing work MPs shd have done mths ago on real cost of leaving EU. Conclusion? Any #Brexit will damage us https://t.co/KmTK2kuNcg",0
"#Brexit helps inflation take off. felling poorer yet? if not, don't worry, u soon will b, unless Brexit called off - https://t.co/14DqDNyHUz",0
"Today's Times hit by #Brexit paper price hike - no space for coverage of Lords scathing reports on Brexit apparently",0
"#Brexit Briefing: the growing confidence of Philip Hammond https://t.co/H4n7rtdXV0 #Business",1
"UK inflation accelerates the to highest in two years...don't list to experts though! #brexit
https://t.co/7lg6PEeRXv https://t.co/yngNgH8fWM",0
"The shocking dishonesty of the #Leave campaign must never be forgotten #Brexit #EUref #Remain #EU MUST WATCH THIS https://t.co/2hkYp9VBQl",0
"https://t.co/zq3k40x6fV The Democratic Duty to Oppose #Brexit",0
"Above all else the sheer arrogance of the Remainers telling US we didn't know what we voted for  hacks me offäó_ https://t.co/o5UiHwZT0B",1
"Please read the whole article

""A #Brexit betrayal is coming äóñ but who will get the blame? ""
https://t.co/hnbYKWlAxH 
#uk #Britans",0
"#Brexit was sold on a portfolio of lies &amp;is being implemented by a govt of liars telling different&amp;inconsistent lies https://t.co/fDWgMKma6J",0
"#Christmasshopping in central London is now even more attractive to overseas visitors post #brexitäó_ https://t.co/fFFhVoP5aT",1
"@Ezquid you wonder why 'people' have had enough of being told what to do or accept ! #brexit #Trump",1
"@William_Dunn #Corbyn has his own beliefs &amp; acts on them, I think #Brexit was always his 1st preference @john1genius @JolyonMaugham @jabdc5",1
"https://t.co/EvusejRsQl #brexit could draw more criminals to the #uk, says police chief | #uk news | The Guardian",0
"",0
"Is Armageddon finally upon us? Travel nightmares, #Brexit, #Trump and every person I pass in the street has a cough.... Argghh!!!",0
"Europe is in no mood to grant our wish for an amicable divorce https://t.co/sakji4aZ4L #Brexit #Brussels #cashflow #finance",0
"@KTHopkins Why can't we call spade a spade? Or is it PC gone mad? Average ""joe public"" #Brexit 'eer is uneducated &amp; ill-informed. @LBC",0
"Love #Brexit joke about brussels!  These are best jokes of 2016 (featuring Brexit, Sports Direct &amp; BHS) https://t.co/iVBOInb95B via @CityAM",1
"Never mind #Brexit trade deals for big #business, itäó»s small businesses we need to be worried about #money #work
https://t.co/jy0TeyU3to",0
"Keir Starmer is Labour's Shadow Minister for #Brexit - by our analysis he's 63% Liberty, 74% Left and voted #Remainäó_ https://t.co/2vRado44nF",0
"'Article 50 is silent on whether a withdrawing member could change its mind' Jan Komarek for @Politics_co_uk https://t.co/8icLJCactp #Brexit",1
"So #Brexit lies sometimes have consequences https://t.co/3NKs7hCOTT",0
"Apparently cruella s #tory party is in #chaos over #brexit.may this derail #Article50 #nobrexit @NewEuropeansäó_ https://t.co/0CnS1aBwcH",0
"My view of what @Keir_Starmer says on #brexit and Freedom of Movement is that our migration system should be based on rules, not prejudice",1
"""If Brexit forces us to challenge the UK's skills gap, that is a good thing"" @Keir_Starmer #Skills #FE #Apprenticeships #Brexit",1
"Some of the corporate brokers say firms are hedged until the start of next year then price rises will pile out #inflation #GBP #brexit",0
"Soaring prices are äóÖa taste of things to comeäó» after #Brexit vote, says Capital Economics  https://t.co/DHrX19Kd5z",0
"'take control' = lose control. Tks to #Brexit whole of UK up for sale. now national grid goes to foreign companies - https://t.co/ujV9HX6Xo4",0
"@AustraliaToon1 @Alexicon83 @RealityUK_2016 The You Gov poll I saw found that 68% were concened about #Brexit not supported it #EU",0
"Which? survey: Half of UK households now worried about #Brexit https://t.co/ZE2OCSgQwl &lt;-- ""Doh!""",0
"Buy now!! Huge range of suppliers preparing to hike prices in 2017 due to #Brexit effect on pound. #Unilever #Apple  https://t.co/e3SCX8PUKA",0
"""No party that only speaks to half the country on #brexit deserves or is fit to lead the country."" - @Keir_Starmer talking sense.",0
"""What do the Lib Dems have to say to the 52%? Absolutely nothing. How can their stance unify the country?"" @Keir_Starmer #brexit",0
"Inflation on the rise - chocolate croissant from @Pret now Œ£1.60 up from Œ£1.50 last month. #inflation #brexit",0
"@VoteLeaveWatch He doesn't have a real argument so he fosters a false one instead. #LeaveWatch #brexit",0
"@Keir_Starmer rightly dealing with 1st things 1st. #brexit result should be respected. If Remain won with 52% it would expect the same",1
".@Keir_Starmer says the result of the referendum result must be accepted #Brexit",1
"Why #Britainäó»s public #finances will suffer if #Brexit reduces #migration, by @EconUCL's @IanPPreston: https://t.co/Ujsi8kwa49 #economy",0
"Despite a brief hiatus around #Brexit, momentum has not stalled in the #facman market, writes @graemejdavies.
https://t.co/cOyyPJh6wS",0
"Anyone in the #msm talking about the income generated from #brexit? Millions of #eu natls having to pay Œ£k's in application fees. #GIABO",0
"Red tape in UK holds back business, not EU regulations #Brexit #EU #Europe #RedTape #Regulations #Businessäó_ https://t.co/t2v7twSAcK",1
"Hard to believe some are not respecting the democratic will of the people #Brexit. If we were in Zimbabwe you could understand it.",0
"#Brexit brings worst year for UK #PrivateEquity mid-market since financial crash
https://t.co/4xmWwhENUn",0
"This year next yr sometime never,@PHammondMP?
Remain by any other means is an insult to voters. Yes,@johnredwood 
#bbcdp #transition #Brexit",1
"New year equals new #job: #Employment in #Britain set to rise despite #Brexit fears https://t.co/1CAXunAq0k https://t.co/zNJlkdldmI",1
"How will #brexit be a success if we can't even get into work! #southernstrike",0
"Survey finds hiring intentions are strong in the #privatesector amid a rush to secure #talent ahead of #Brexit: https://t.co/GONa6ZBBdp",0
"@GigaLiving @Titanic_Britain O.J. is an anti-democratic twat who is still trying to deny the #Brexit vote like so many others.",0
"Inflation hits highest level in more than 2y https://t.co/6sxOwpZb5l
The fall of Œ£ since #Brexit is fuelling a rise in the cost of living",0
"@DavidJo52951945 @abermans The #government have the power to undermine/delay #Brexit, so are they not abusing that power??",1
"With a departure from the EU looming ahead, could we see some of Europeäó»s best bites become #Brexit casualties?äó_ https://t.co/WN9yIS2TzG",0
"The fall in the value of the pound since the #Brexit vote is fuelling a rise in the cost of living https://t.co/cWSzmUOoRy",0
"Turns out #Leave voters don't want to pay, they just want #Brexit like a spoilt child who wants a pony for Christmas https://t.co/KqhKSh4H6k",0
"https://t.co/8kPC7AsWJ6 Norway tells Britain: no #brexit 'silver bullet' over single market access | Politics | The Guardian",0
"""#Brexit is short term pain long term gain"" says @UKIP leader @paulnuttallukip &amp; urges @theresa_may to useäó_ https://t.co/xc9YxLMBrE",1
"@marcuschown I know several health service peeps who voted #brexit 4 same reason.They thought NHS would b funded better. Hoodwinked",0
"They've already done that with plan and #brexit ...although they never did actually put them together... https://t.co/LoKRUTbhcl",0
"@zlata07 Don't worry, Zlata. #Brexit won't happen. You are very welcome here in the UK.",0
"Dec @landreggov survey confirms Central #London house prices plunge amid #Brexit fears #property #prime #EuRef #rbkc https://t.co/db8WCMOxw5",0
"it's the fucking ass fuckers who make up pizza shit i hate. probably what european futures turned into; bullhsit at go time. #brexit",1
"UK small businesses seem calm about #brexit, but 2017 growth plans have been scaled back, reports @smallbusinessuk https://t.co/fnLla1Mnrb",0
"Brexit means Brexit #Brexit https://t.co/tU0tT7yLbW",1
"https://t.co/RAuwxqvC6K #brexit has started the disintegration of the EU, Italy's Europe minister says | The Independent",0
"Keir Starmer is Labour's Shadow Minister for #Brexit, by our analysis he's 63% Liberty, 74% Left and voted #Remainäó_ https://t.co/5Rjjmvk2rC",0
"UK inflation up as weakened GBP continues to hit consumer prices #Brexit https://t.co/Lu1SkpMyqL",0
"@ERC_Research UK tops the table, ERC is critical for maintaining UK's research lead, but for how long given #Brexitäó_ https://t.co/gRagUJJqJL",0
"Õæ_Õ_¢ #BREXIT 
Just 5 per cent of people think they will be financially better off after Brexit https://t.co/7ludI47flc
#KRTpro #News",0
"#Brexit Everything is going to get more expensive https://t.co/Cd1bYsqFgJ",0
"UK naive to expect easy ride in Brexit trade talks, says Lords report #Brexit https://t.co/UgRleGgWNd",0
"Train strike, Post Office strike, delivery drivers strike - it's beginning to look a lot like the 1970s pre-common market. Well done #Brexit",0
"@Andym6769 Don't give up or get downhearted, it will happen!  #Brexit",1
"@Andym6769 We must B strong, keep fighting on #twitter, never give up until the fight is won! #Brexit @BorisJohnson https://t.co/1WoNB869Ut",1
"#Christmasshopping in Central London is now even more attractive to overseas visitors post #brexit https://t.co/w73Uu6liEb",1
"@World_First #Brexit is going to an inflationary catastrophe. It must be stopped. 17 million people can be very wrong.",0
"A Brexit betrayal is coming äóñ but who will get the blame?

https://t.co/p9q6Sx2Od7 #capitalism #politics #ToryParty #UKIP #hatred #Brexit",0
