x,sentiment
Anyone who tbinks labour care about working people are deluded. Tbey took us into EU Political Union &amp; broke refere‰Û_ https://t.co/ACAMd2Bpwf,0
https://t.co/QKLqCw1Htz Ruth Davidson warns against 'divisive #brexit' - BBC News,-1
Crap. I just realised my mum is a Russian spy. She voted #BRExit. Anyone got the MI6 phone number so I can report her?,0
#Norway voted 79% against EU m-ship &amp; opposition say different. They actually follow about 5000 of 22000 EU acquis‰Û_ https://t.co/rpOTy5kZee,-1
You appear to have mentioned experts &amp; then shown a host of MPs making factual inaccuracies of EFTA-EEA ? Erm...‰Û_ https://t.co/KFnZbHYMJV,-1
@BenPBradshaw #brexit #hacking please explain how our manually counted paper voting system got hacked exactly?,1
"LOL Gov't witnesses: ""keeping an open mind about different approaches 2the problem &amp;were confident of a strong nego‰Û_ https://t.co/zHoxlN2m0d",1
https://t.co/B5MF6OOdx0 @BorisJohnson speaks in emergency debate on Aleppo.#borisjohnson #boris #borisjohnson‰Û_ https://t.co/rSyvnnISm3,-1
It was because of #Brexit https://t.co/VG5kAFBflu,-1
"Ooh look, more evidence #Brexit a trading and red tape disaster. We could just hope it'll be ok. Or just #StopBrexit https://t.co/X0frgT8csA",0
"He picked his quarrel with the wrong politician. PM May, are we leaving the Single Market? You're the one in charge‰Û_ https://t.co/MPkOQ2MaMa",-1
"Urgent #Brexit deal needed to avert #banking job losses, warns @UKHouseofLords @lsebrexitvote #finance #forex https://t.co/a2Bx915AL1",0
Liam Fox will be making sure we are on track for #brexit,-1
@We41584304Carol @Blakenburg8 @MichaelGilroy9 - Remainers? You sure that's still a plural!! #brexit,-1
"The EU is a hard negotiator - the Swiss cannot have their cake &amp; eat it
Next in line: #Brexit Britain https://t.co/40bdLWr9ly",0
@LondonNurse2015 @guardian September 2015?? Lots of #Brexit water under the bridge since then!,-1
"Interesting speaking with @theandyhepburn on #Brexit. Honestly, agree with some of his points especially on US/UK t‰Û_ https://t.co/hDeYcRCiFg",-1
#GeorgeGalloway slams free movement and blasts 'liberals' for calling #Brexit vote 'RACIST' https://t.co/sNNx4Q1ytE https://t.co/Zt31HatvmI,1
"Someone has been stealing Eggs from our Chicken Coup, I bet it is them #Russians , no proof but it was them ! they are everywhere #BREXIT",0
U.K. Could Replace Some EU Migrant Workers With Robots After #Brexit - Newsweek  https://t.co/PxgVFcsrTL,-1
"If some MPs blame #Russian #hackers for #Brexit vote, they overestimate Russian influence &amp; underestimate voter passion! #getreal",1
"If some MPs blame #Russian #hackers for #Brexit vote, they overestimate Russian influence &amp; underestimate voter passion! #getreal",1
"Sat with EU Diplomat on flight, had a heartfelt talk about #Brexit. Reinforced UK nationals do want collaboration, equality &amp; are open",0
Wow! How thick are we becoming? #brexit https://t.co/0n45HnXWdg,0
How to Hack an Election in 7 Minutes - University boffins shows us how it's done #Brexit #EUref #leave #remain https://t.co/WrDG8nGpFl,-1
"#Regrexit - Urgent #Brexit deal needed to avert banking job losses, peers to warn https://t.co/ogjQkk9Erd",0
"The Brexit Referendum 
#brexit #forex #forextrading 
 https://t.co/NowWzEX3gM https://t.co/CKywi1d6UT",-1
EU Cmttee report on #Brexit and acquired rights published tomorrow (14 Dec) at 00.01 (GMT). https://t.co/vut8nPyAVJ,-1
#Brexit this is so laughable #BenBradshaw claiming that Russia influenced the EU REF vote. What are these people on‰Û_ https://t.co/GFApqgD41S,1
Warnings about Russian hacking of #EU referendum was ignored back in June before the vote #Brexit #EUref https://t.co/VQhGWKigHA,0
Advice for directors of UK companies struggling due to the #Brexit referendum https://t.co/cdynVY23ub,0
A letter to my MP on the matter of #Brexit https://t.co/rNSuwCSBMk,-1
I really hope Putin makes these libtards in the US &amp; UK pay for thier stupid accusations with no substance #BrexitåÊ#TrumpåÊ#Russia,1
'Highly probable' that Russia interfered in #Brexit referendum #leave #remain https://t.co/znp6AzUnBn,0
"Thanks @ICELTCD and Law Soc of NI for the chance to speak in Belfast today on #Brexit and the Border, at an excellent conference.",-1
"Ouch 
Microsoft to increase 22% Azure costs due to å£ losses.
https://t.co/j2ZeTaVhWT #brexit #startups",0
Watch: Economist says Britain will gain from leaving the #eu https://t.co/Nzyat4d75I #brexit,1
@LBC Get rid of this weak man. He has no desire for #brexit,1
"Used to be #weather... now #Russia? 'Highly probable' that Russia interfered in #Brexit referendum, Labour MP says https://t.co/aqBCIjDpDp",1
"Summary and video of @brickcourt event: #Brexit, security and surveillance, with @cyberbeagle, Yvette Cooper and me https://t.co/0hH4ycf9Jg",-1
"@V_and_A to examine #Brexit by asking 12 artists to imagine how we might look back on modern Europe in 2,000 years https://t.co/yPNaYisJOg",-1
#GuardianLive debate illustrates mess the UK is in post #Brexit referendum. Desperate need for clear honest politic‰Û_ https://t.co/0CdmDwcEIJ,0
"#Brexit the start of our global trade agreements 
https://t.co/8LZs0sLFBf via @MailOnline",-1
The best British - or should we say European? #panto in town! #hackneypanto @HackneyEmpire #onelove #brexit #stillhere,-1
Newsweek - Is the #Brexit vote legitimate if Russia influenced the outcome?https://t.co/IljgEnHAY4,-1
@BenPBradshaw The Russians hacked our pencils at the polling station! You F**king !diot #Brexit,0
"young people, naive enough to think the EU represents a liberal utopia of cultural inclusivity, want to be taken seriously? #GTFO #brexit",1
How will global QE measures change in 2017? https://t.co/dboMKPrxoI #Markets #Brexit https://t.co/LlE38Nlhgj,-1
Ironic looking back at the #bettertogether campaign &amp; thinking where we are at right now with #brexit &amp; the #SNP https://t.co/hXFb2lxeKN,-1
"Ben Bradshaw goes full Ike , never go full Ike #Brexit #Labour https://t.co/AEwvVWASqH",-1
#BenBradshaw blames #Putin and #FakeNews for #Brexit. https://t.co/Q6udMVxfaL https://t.co/LWShaNijHk,-1
‰Û÷Highly probable‰Ûª Russian hackers interfered over #Brexit vote #EUref #Remain #Leave https://t.co/RSwwUmcOkv,-1
"OMFG I've heard it all now , they can't help themselves #Brexit https://t.co/UpVvBOyRSx",-1
@JCSendon70 @SusanPickin @TuppenceFervour @SteveLawrence_ @hartley_si Same in the Tory party. We are in the middle of a #brexit mess!,0
.@BGF_team talking #Brexit at @ukcloudltd event: huge optimism for world leading UK businesses to take advantage of new opportunities,1
UK Kickstarter backers of Pebble Time 2 &amp; Core who are being refunded will likely win on USD currency conversion. A rare #brexit benefit,1
"Oh, good:Trouble is, if Tory-#Brexit fails (by 'if' I mean when) might JC's-#Brexit carry on? Could it do otherwise? https://t.co/Gs9UVtABqO",-1
UK's Supreme Court Hearing on Article 50 Concludes #brexit https://t.co/oaOqz6iZZB,-1
"Still waiting to hear a tangible positive about #Brexit, ie not 'we're taking back control'; 'we're getting our country back' baloney.",1
UK Column 18th August 2016  https://t.co/VCvHlrO4JJ #hillary #clinton #brexit #syria #yemen #named #person,-1
"Well @LibDems were and are clear that #Brexit is bad, and many of those who voted for it would lose outbid it happe‰Û_ https://t.co/P5NmlEZjLf",0
#Brexit Verhofstadt warns against 'eternal' interim deal. You don't know who's swimming naked until the tide's out‰Û_ https://t.co/z47yyBvkKW,-1
"Rail strikes
Airline strikes
Postal strikes
What van driver strikes
It isn't #BRExit which is a threat to the economy. It's Socialism.",1
https://t.co/3PHbVWGUNs Royal prerogative takes centre stage as supreme court #brexit case opens | Politics | The Guardian,-1
"MSM continue to try to:
1 Derail #Brexit for Brits
2 Derail #Trump for Americans
3 Assist #Soros on global migrant crisis
Stooges of Elite.",-1
"Why language learning matters, especially after #Brexit. #MFL #OWRI https://t.co/SBBFJ5nerS",0
The peddler of fake news @BenPBradshaw suggests that #brexit is because of Russia. What a ridiculous claim. He's al‰Û_ https://t.co/6IbyaIAyYf,1
Great by @chakrabortty on coming betrayal of #Brexit voters; promise inevitably fail 2 bring expected fairer society https://t.co/J9Hj5gK1KM,1
Riddle me this. Why is there a #drwho #dalek at offices of @FT in London? Do they know something about #Brexit we d‰Û_ https://t.co/NmOG8OwthB,-1
This is so good @chakrabortty #brexit  https://t.co/GtZXTqG9MJ,-1
"Russian hackers 'probably swayed #Brexit vote', says Ben Bradshaw MP https://t.co/Vr1nQHF28g",-1
@colingale @LibDems according to the #brexit bunch prices will fall! Proof that ’Ê_’_Ädo vote for ’Ê_’_ã,0
Bet people didn't realise voting #brexit would result in Poundland becoming 'Poundand10pland',0
"Honestly who are these people that get voted in.
utterly embarrassing for the @UKParliament a full on opportunist.‰Û_ https://t.co/xVwP0i0PI7",0
@Channel4News great deal #Brexit when will the people realise that they've been duped. When their pocket is empty! Blame the å£ on the #eu,0
"Debating #Brexit at Parliment @ Westminster Palace, Houses Of‰Û_ https://t.co/CB90bWp86l",-1
"The EEA model will be the easiest and most efficient choice for trade, but implies free movement - Thorsten Beck #brexit",-1
Prices on the rise - wait until New Year. Inflation hits highest level in more than two years. #Brexit #c4news‰Û_ https://t.co/oZiqDvG46e,0
"What #Brexit means: UK gas network sold to Oz bank Macquarie, plundering Thames Water &amp; not mending pipes since 2006 https://t.co/8FUZxRDwJn",-1
"EY forecast 200,000 job losses due to #Brexit 
https://t.co/JsWK5e0hxq",0
@BardDave it was brilliant. We thrashed them. Post #brexit who knows if we'll compete?,-1
ha ha!! heard it all now. Remoaners must just get over it &amp; join in making UK getting a great EU Exit deal. Let's t‰Û_ https://t.co/0fh7UQ9nsu,1
"Theresa May asked ""What are British people saying about #brexit?"" answer was ""we don't know"". Proper listening not set up #UTSAlumniLondon",-1
"BREAKING: Russian hackers 'probably swayed #Brexit vote', says Ben Bradshaw MP https://t.co/hBcQ1PBNTP",-1
Does neutral reporting by the media give a free platform to those telling outright lies? Thorsten Beck @cassbusiness #Brexit #1913 #2016,0
"When you resign, you still expect to use the canteen, gym, company car, health insurance? What don't the 48% get with #Brexit ?",0
"#Brexit means... giving up Gibraltar if we want WTO.
UK's WTO status 'could be blocked over territorial disputes' https://t.co/HsuHNnRbc0",0
#Brexit Hits Voters Where It Hurts ‰ÛÒ Their Wallets ‰ÛÒ As Majority Reveal They Don‰Ûªt Want to Be Worse Off Leaving #EU https://t.co/8FUZxRDwJn,0
"Loss of #manufacturing jobs and decrease in Government services may have caused #brexit over past decade, not #migration  - Thorsten Beck",-1
"""it would take as long to negotiate a temporary agreement as it would a permanent agreement""-@LilleyPeter @ 7PM on #Brexit transitional deal",-1
"@David_Goodhart giving a fantastic typology of 2016, the impacts of ascribed and achieved identities on #Brexit #perfectlydecentpopulists",-1
@BenPBradshaw you are either disconnected from reality or just damn stupid. #brexit #democracy https://t.co/g8O0mWXYFz,1
"#London may not be replaced as financial sector of the world due to, for example, language barriers and job markets - Thorsten Beck #Brexit",-1
@JamesBlunt I'm sure there are other families like yours who feel the same way #Brexit,-1
"'The #brexit vote tended to be driven by emotion and identity, rather than necessarily facts and figures' - @Justine_Roberts #ipsosmorilive",0
I wouldn't  mind at all ... ‰ù_•üèMadrid ... #brexit https://t.co/C01ZrI0hE7,-1
The UK's relative negotiating strength: Average UK&gt;EU export is ~45% but EU&gt;UK exports are less than 7% - Alan Winters #brexit,-1
"#Brexit fix #Farage is considering leaving Britain for Maine, Mainer's aim to shun him  https://t.co/veV8KQcFj7",-1
PM says there  will be no 'cliff edge'  #Brexit https://t.co/GoaBLd7bis,-1
"This is a #Joke ,..#ArtificialIntelligence #Brexit https://t.co/vpOGtOpyVC",-1
Despite Obamas best efforts to sway it the other way!? #brexit https://t.co/o0VLQ00WcV,-1
The 4 key post #Brexit issues: https://t.co/IpDCCTaKW1 @fsb_policy https://t.co/2BlqkfeBrg,-1
#Brexit and #EU privacy rules https://t.co/BUW6bwURna https://t.co/VdhDRJEZRJ,-1
No 'they' should not:Not even IF referendums magically became regulated &amp; lies whispers:Parliament bins-#Brexit or‰Û_ https://t.co/8AXYSH3swL,-1
blimey! even the Daily Mail now realising #Brexit is a disaster. #StopFundingHate https://t.co/cZXYoxFIcB,0
An excellent @gdnlongread diagnosing our present predicament: 'Welcome to the age of anger' https://t.co/90ge8kEIsX #Trump #Brexit @guardian,0
#chickenfarming looks pretty good compared to some #officeworkers but you decide which sector generated more‰Û_ https://t.co/f7rDVk4Lrk,0
55% of public believe Brits have become nastier to migrants after #Brexit vote says @benatipsosmori #ipsosmorilive https://t.co/EnjyHoPO0L,0
Controls on #migration will take place when hiring people in the workplace - not defending the borders @jdportes #brexit,0
The Death of British Business https://t.co/goy3DQNEMh via @nybooks #Brexit - How about a return to the pastoral past &amp; simple village life?,0
@jdportes hard #brexit  could mean treating EU nationals the same as non-EU. Soft brexit could be quotas/restrictions on employment/benefits,-1
@Clungemobile @HandofGOD7 @BBC That helps explain their stance regarding #brexit. Wouldn't want to loose all that money would they,0
https://t.co/rQW2ihOJt4 #brexit: Theresa May 'ambitious' over deal with EU - BBC News,-1
Terrifying - the madness of applying #Brexit to a foreign firm-dependent land. https://t.co/Ggijklpz3S,0
Economists have probably overestimated the cost of #Brexit - David Miles,1
Hammond a disaster as Chancellor. Like a blast of radiation.  Killing economy with his relentless negativity.  #Brexit . @BorisJohnson,0
"@Far_Right_Watch LOL is that the best you have these days? Take a look in the mirror. #TakeBackControl #BRexit
https://t.co/0D0jRBVdjA",1
"Populism's victim
Movement of unhappiness
Ex PM's excuse
#BrexitHaiku #brexit #haiku #politics #democracy",-1
"@Kelsblells May/Davis would agree this right now if Tusk, Juncker, Merkel, Hollande and the other nations agreed this! EU to blame! #Brexit",1
Average cost of #Brexit is a 3.5% loss in #GDP by 2030 - David Miles,0
Post #Brexit looking forward to the return of DUTY FREE. No analysis done on the tourism boost from the biased experts?,-1
Stop comparing Italy‰Ûªs referendum to #Brexit &amp; #Trump. Here‰Ûªs what it‰Ûªs really about: https://t.co/jMo7DuTSmk https://t.co/HnWcutKuPr,-1
@timothy_stanley doubt Russian hackers would even touch #brexit with a barge pole #disaster brought on entirely tory tragedy made in England,-1
Looking forward to chairing a panel on '#Brexit and Trade' tomorrow afternoon @UCL_EI @UCLLaws https://t.co/KVGAUjC7y0,-1
"George Osborne declares his earnings since being evicted and his anti #Brexit stance has proved very lucrative. No coincidence, surely?",0
"Your Tuesday evening headlines: #Aleppo ceasefire and the Syrian crisis, Labour's #Brexit threat and the #Supermoon https://t.co/AFogPs9Hby",-1
#Brexit and arbitration seminar underway!!!,-1
#Brexit Beckons: Thinking Ahead by Leading Economists @cassbusiness https://t.co/iKEh3xwEuY,-1
'STOP this language' #AnnaSoubry SNAPS on Radio 4 over #Brexit transition deal https://t.co/TO8dnscZe2 https://t.co/ngjDd9iDUJ,-1
@tomphelan21 @StillYesScot @HubPolitic Sare Leaver #brexit,-1
Why #Brexit makes me bearish on Sainsbury‰Ûªs growth plan https://t.co/ImMf3YpckJ https://t.co/xMPFWfg2Dh,0
TUC boss @FrancesOGrady calls for an end to the public sector pay cap and a #Brexit that delivers on jobs and right‰Û_ https://t.co/WroUBUnuaB,-1
What should the UK's Industrial Strategy look like? 4 leading industrialists answered https://t.co/za5N1dU0FX‰Û_ https://t.co/qwpoh5pJPX,-1
The 'reconsider' thing would only confirm how far removed we are from the Democracy we 'should' have:Really;Parl bi‰Û_ https://t.co/VxQK0kydju,0
"The question of whether #Brexit implodes or explodes, might now be considered. Do we have a stink bomb, or a quiet‰Û_ https://t.co/TAkR9UVxNu",-1
Let's see what #Brexit supporters say now. Enjoying it? https://t.co/Hg3ivkcnPO,0
https://t.co/7WPXSyuOKc  Funereal Phil totally wrong for Chancellor. Never stops WRECKING #Brexit. WHY DOES MAY LET HIM? @BorisJohnson,-1
In my seat for evening panel session on #Brexit #economic implications from @cepr_org at @CassBusiness. Let us listen to the expertise‰Û_,-1
"God. #Aleppo #Brexit #Trump #EveryoneDying. This year has been so crap, chemotherapy was a highlight for me.",0
#GeorgeGalloway slams free movement and blasts 'liberals' for calling #Brexit vote 'RACIST' https://t.co/sNNx4Q1ytE https://t.co/594Prkcavv,1
"""I voted for something everyone told me would make me poorer.  Now I'm angry with the government. Obviously it's no‰Û_ https://t.co/z7J6ARaoii",0
"Transition in America, #Brexit, EU country elections, Syria, Iraq, #Gambia will be least of priority on the global front, Jammeh knows this",-1
POLITICO #Brexit Files: (Transitional) deal or no deal ‰ÛÓ Data-driven BrexitåÊ‰ÛÓåÊAvoid #UKIP punch https://t.co/upYIZN8TQ4 via @POLITICOEurope,-1
Gets popcorn. #Brexit https://t.co/VB8vRb4b6U,-1
MPs failure to debate #Brexit referendum result utter scandal https://t.co/5mpgEUepMv,-1
It's official: mainstream politicians are now conspiracy theorists. Apparently #brexit was caused by Russia. smh https://t.co/RqNp9VEd5C,1
Pleasure to host @Keir_Starmer at @business today for speech on #Brexit  https://t.co/soNdPkqiFt,-1
"No Need for a Transitional #Brexit Deal, France‰Ûªs Mestrallet Says https://t.co/xGpLaTK0de via @business",-1
"@speakoutsodem Apparently EU is going to make TONS of laws, but secretly!  We must get out ASAP!  #Brexit",1
"""misunderstanding the nature of free #trade"" - Lord Whitty from 7pm @RTUKnews on Lords #Brexit report",-1
@SkyNews @theresa_may no free movement. That's all I want. #brexit,1
BCC forecasts UK economy to grow at 1.1% in 2017 https://t.co/ZHvlp7nnr8 via @IBTimesUK #UKeconomy #finance #cashfow #BCC #Brexit #recession,-1
"We need a clear plan for #Brexit that gets the best for Britain, writes @BethFarhatTUC  https://t.co/mSAy72iSAQ",-1
New #LSE Podcast: Conor Gearty on '#HumanRights after #Brexit: Still on Fantasy Island?' https://t.co/5rxN7GlEde https://t.co/JW2II0NX1Q,-1
"#Argentina or #Spain could block the UK's new WTO schedule to force territorial concessions #brexit
https://t.co/sLdcRT4e9s",-1
Wonder if there is a #Brexit Whatsapp group the politicians are in #bigbantz,-1
"Well, Did You Evah (High Society) ... a chat in London about #Brexit often has shades of this. https://t.co/GbrnYyEJCT",-1
Watch EU Cmttee ask @FabianPicardo about implications of #Brexit for Gibraltar https://t.co/QQbnTBkYzO https://t.co/p9rLpBDHN2,-1
If #Brexit were subject to the same rules imposed on #TradeUnions and #Strikes - we wouldn't be in this mess @ChrisDarroch2 @GreenGrounded,0
Yes:Its something of an elephant in the room even now:I don't wish #Brexit to fizzle-out &amp; leave the Partys to clai‰Û_ https://t.co/EIsTaAPJmm,0
EU wants control of YOUR pension: Brussels' secret plan REVEALED https://t.co/m8XC9rgRsi #EU #brexit #referendum #voteleave,1
Wow another 3 and a bit years of declines like that and we'll get the predicted #brexit drop. https://t.co/6ijSCUOukN,0
@JinkxMonsoon Best xmas show ever! Sorry the å£å£ you're taking back will be nearly the same as $$ when u change them! Blame #Brexit!,0
"House of Lords accuse ministers of misunderstanding nature of free trade and overestimating negotiating position. About time, init!? #brexit",-1
This is great news @Keir_Starmer but it cant be achieved with free movement of people. Controlled immigration is th‰Û_ https://t.co/x0apsJYmek,-1
@natalieben @theresa_may cunning plan on the lines of the #Brexit committee?,-1
Crowdfunded #Brexit legal challenge through #Ireland court passes first hurdle https://t.co/5pHEKgK7Tg https://t.co/8rtuvfXCT5,-1
@jonworth The EU can agree to extend the schedule. Reversing Article 50 is about scuppering #BRExit not delaying it.,-1
Regulators in #France announce measures designed to woo British businesses looking for European base after #Brexit https://t.co/f2QcZy3ZyX,-1
TMRW Will Britain's Parliament get the final say on #BREXIT? We speak to Tony Blair's fmr Attorney-General Lord Mor‰Û_ https://t.co/g9ncCAoIbt,-1
UK Column News - 13th Dec 2016 https://t.co/80qYHv2m78 #melanie #shaw #russia #ukraine #brexit #global #warming,-1
"In which case #Brexit loses @jeremycorbyn kudos of being ""A man of principle"" and with it his stand on #Trident @Fifthcolumnblue @Mancman10",-1
"Download our free review on #Brexit for our initial thoughts on path to Brexit, potential options and complications‰Û_ https://t.co/dIG4Qh4BSX",-1
No more cheap chocolate? Our @cathumphrey from our Food+Drink team looks at the effect of #Brexit on food prices‰Û_ https://t.co/5ZeGI00GoZ,0
"Thanks to #brexit 
https://t.co/HVbDywx6L6",-1
Ahem .. At this point I would happily support anyone opposing #Brexit - even the #Loonies @Mancman10 @Mungo_5 @Fifthcolumnblue,0
"#InternationalStudentSurvey2017 - the biggest yet, exploring #TNE, #Brexit and the latest US Elections. Take part: https://t.co/gbF1eP464A",-1
@speakoutsodem It's like they have to accept being raped becos have benefits of single market &amp; U can't cherrypick. @BorisJohnson #brexit,-1
To continue to see him as a man of principle - we have to accept he was pro #Brexit @jeremycorbyn @Mungo_5 @Fifthcolumnblue @Mancman10,-1
#Merkel criticized #brexit but she is using anti-muslim anti-immigration rhetoric to be elected again. #doublespeak #doublestandards,1
Sorry but I disagree. @jeremycorbyn stood his ground on #Trident but chose to support #Brexit @Mungo_5 @Fifthcolumnblue @Mancman10,1
Theresa May is not going to give you your fair vote for #BREXIT Democracy in UK is now dead. UK Government will cheat Voters wait and see.,0
Now 68% of voters just want us to get on with #Brexit  https://t.co/7FEbNeRdlb,-1
EU Cmttee report on #Brexit and acquired rights published tomorrow (14 Dec) at 00.001(GMT). Read the evidence here: https://t.co/rcncMdB4TZ,-1
Excited to be on @BBCFreeThinking tonight on @BBCRadio3 to discuss books for #Brexit. https://t.co/nVfbn1qP5E,-1
‰ù_•üè Not surprised this is happening @derbysilkmill. I wish I could teleport #brexit #museums https://t.co/f1POen7f2F,-1
Hammond admits #Brexit will take too long &amp; be too expensive for UK to stick to Article 50 timeline. #projectreality https://t.co/2DwiX5OWmR,0
#Brexit means lowering #standards on everything! 20 reasons why Brexit will be even trickier than we thought.  https://t.co/50uJArEkJC,0
"It's OK, the brexiters will start making home made Lego from London clay
Another #Brexit victory!! https://t.co/sjNLDeyhJe",0
"Learn how $GBPUSD Drop since #Brexit has resulted in the #UK losing 15% of its #Millionaires, Thanks @easymarkets‰Û_ https://t.co/xxfV3HoGjd",0
