"Year.","party","Selection","variable","value"
1969,"Republican","PostE","Forcible.Rape.Ratio",0.005
1970,"Republican",NA,"Forcible.Rape.Ratio",0.005
1971,"Republican","PREE","Forcible.Rape.Ratio",0.005
1972,"Republican","E","Forcible.Rape.Ratio",0.006
1973,"Republican","PostE","Forcible.Rape.Ratio",0.006
1974,"Republican",NA,"Forcible.Rape.Ratio",0.005
1975,"Republican","PREE","Forcible.Rape.Ratio",0.005
1976,"Republican","E","Forcible.Rape.Ratio",0.005
1977,"Democratic","PostE","Forcible.Rape.Ratio",0.006
1978,"Democratic",NA,"Forcible.Rape.Ratio",0.006
1979,"Democratic","PREE","Forcible.Rape.Ratio",0.006
1980,"Democratic","E","Forcible.Rape.Ratio",0.006
1981,"Republican","PostE","Forcible.Rape.Ratio",0.006
1982,"Republican",NA,"Forcible.Rape.Ratio",0.006
1983,"Republican","PREE","Forcible.Rape.Ratio",0.007
1984,"Republican","E","Forcible.Rape.Ratio",0.007
1985,"Republican","PostE","Forcible.Rape.Ratio",0.007
1986,"Republican",NA,"Forcible.Rape.Ratio",0.007
1987,"Republican","PREE","Forcible.Rape.Ratio",0.007
1988,"Republican","E","Forcible.Rape.Ratio",0.007
1989,"Republican","PostE","Forcible.Rape.Ratio",0.007
1990,"Republican",NA,"Forcible.Rape.Ratio",0.007
1991,"Republican","PREE","Forcible.Rape.Ratio",0.007
1992,"Republican","E","Forcible.Rape.Ratio",0.008
1993,"Democratic","PostE","Forcible.Rape.Ratio",0.007
1994,"Democratic",NA,"Forcible.Rape.Ratio",0.007
1995,"Democratic","PREE","Forcible.Rape.Ratio",0.007
1996,"Democratic","E","Forcible.Rape.Ratio",0.007
1997,"Democratic","PostE","Forcible.Rape.Ratio",0.007
1998,"Democratic",NA,"Forcible.Rape.Ratio",0.007
1999,"Democratic","PREE","Forcible.Rape.Ratio",0.008
2000,"Democratic","E","Forcible.Rape.Ratio",0.008
2001,"Republican","PostE","Forcible.Rape.Ratio",0.008
2002,"Republican",NA,"Forcible.Rape.Ratio",0.008
2003,"Republican","PREE","Forcible.Rape.Ratio",0.008
2004,"Republican","E","Forcible.Rape.Ratio",0.008
2005,"Republican","PostE","Forcible.Rape.Ratio",0.008
2006,"Republican",NA,"Forcible.Rape.Ratio",0.008
2007,"Republican","PREE","Forcible.Rape.Ratio",0.008
2008,"Republican","E","Forcible.Rape.Ratio",0.008
2009,"Democratic","PostE","Forcible.Rape.Ratio",0.008
2010,"Democratic",NA,"Forcible.Rape.Ratio",0.008
2011,"Democratic","PREE","Forcible.Rape.Ratio",0.008
2012,"Democratic","E","Forcible.Rape.Ratio",0.008
2013,"Democratic","PostE","Forcible.Rape.Ratio",0.008
2014,"Democratic",NA,"Forcible.Rape.Ratio",0.009
2015,"Democratic","PREE","Forcible.Rape.Ratio",0.01
1960,"Republican","E","Robbery.Ratio",0.032
1961,"Democratic","PostE","Robbery.Ratio",0.031
1962,"Democratic",NA,"Robbery.Ratio",0.03
1963,"Democratic","PREE","Robbery.Ratio",0.028
1964,"Democratic","E","Robbery.Ratio",0.029
1965,"Democratic","PostE","Robbery.Ratio",0.029
1966,"Democratic",NA,"Robbery.Ratio",0.03
1967,"Democratic","PREE","Robbery.Ratio",0.034
1968,"Democratic","E","Robbery.Ratio",0.039
1969,"Republican","PostE","Robbery.Ratio",0.04
1970,"Republican",NA,"Robbery.Ratio",0.043
1971,"Republican","PREE","Robbery.Ratio",0.045
1972,"Republican","E","Robbery.Ratio",0.046
1973,"Republican","PostE","Robbery.Ratio",0.044
1974,"Republican",NA,"Robbery.Ratio",0.043
1975,"Republican","PREE","Robbery.Ratio",0.042
1976,"Republican","E","Robbery.Ratio",0.038
1977,"Democratic","PostE","Robbery.Ratio",0.038
1978,"Democratic",NA,"Robbery.Ratio",0.038
1979,"Democratic","PREE","Robbery.Ratio",0.039
1980,"Democratic","E","Robbery.Ratio",0.042
1981,"Republican","PostE","Robbery.Ratio",0.044
1982,"Republican",NA,"Robbery.Ratio",0.043
1983,"Republican","PREE","Robbery.Ratio",0.042
1984,"Republican","E","Robbery.Ratio",0.041
1985,"Republican","PostE","Robbery.Ratio",0.04
1986,"Republican",NA,"Robbery.Ratio",0.041
1987,"Republican","PREE","Robbery.Ratio",0.038
1988,"Republican","E","Robbery.Ratio",0.039
1989,"Republican","PostE","Robbery.Ratio",0.041
1990,"Republican",NA,"Robbery.Ratio",0.044
1991,"Republican","PREE","Robbery.Ratio",0.046
1992,"Republican","E","Robbery.Ratio",0.047
1993,"Democratic","PostE","Robbery.Ratio",0.047
1994,"Democratic",NA,"Robbery.Ratio",0.044
1995,"Democratic","PREE","Robbery.Ratio",0.042
1996,"Democratic","E","Robbery.Ratio",0.04
1997,"Democratic","PostE","Robbery.Ratio",0.038
1998,"Democratic",NA,"Robbery.Ratio",0.036
1999,"Democratic","PREE","Robbery.Ratio",0.035
2000,"Democratic","E","Robbery.Ratio",0.035
2001,"Republican","PostE","Robbery.Ratio",0.036
2002,"Republican",NA,"Robbery.Ratio",0.035
2003,"Republican","PREE","Robbery.Ratio",0.035
2004,"Republican","E","Robbery.Ratio",0.034
2005,"Republican","PostE","Robbery.Ratio",0.036
2006,"Republican",NA,"Robbery.Ratio",0.039
2007,"Republican","PREE","Robbery.Ratio",0.04
2008,"Republican","E","Robbery.Ratio",0.04
2009,"Democratic","PostE","Robbery.Ratio",0.038
2010,"Democratic",NA,"Robbery.Ratio",0.036
2011,"Democratic","PREE","Robbery.Ratio",0.035
2012,"Democratic","E","Robbery.Ratio",0.035
2013,"Democratic","PostE","Robbery.Ratio",0.035
2014,"Democratic",NA,"Robbery.Ratio",0.034
2015,"Democratic","PREE","Robbery.Ratio",0.035
1960,"Republican","E","Aggravated.assault.Ratio",0.046
1961,"Democratic","PostE","Aggravated.assault.Ratio",0.045
1962,"Democratic",NA,"Aggravated.assault.Ratio",0.044
1963,"Democratic","PREE","Aggravated.assault.Ratio",0.042
1964,"Democratic","E","Aggravated.assault.Ratio",0.044
1965,"Democratic","PostE","Aggravated.assault.Ratio",0.045
1966,"Democratic",NA,"Aggravated.assault.Ratio",0.045
1967,"Democratic","PREE","Aggravated.assault.Ratio",0.044
1968,"Democratic","E","Aggravated.assault.Ratio",0.043
1969,"Republican","PostE","Aggravated.assault.Ratio",0.042
1970,"Republican",NA,"Aggravated.assault.Ratio",0.041
1971,"Republican","PREE","Aggravated.assault.Ratio",0.043
1972,"Republican","E","Aggravated.assault.Ratio",0.048
1973,"Republican","PostE","Aggravated.assault.Ratio",0.048
1974,"Republican",NA,"Aggravated.assault.Ratio",0.044
1975,"Republican","PREE","Aggravated.assault.Ratio",0.044
1976,"Republican","E","Aggravated.assault.Ratio",0.044
1977,"Democratic","PostE","Aggravated.assault.Ratio",0.049
1978,"Democratic",NA,"Aggravated.assault.Ratio",0.051
1979,"Democratic","PREE","Aggravated.assault.Ratio",0.051
1980,"Democratic","E","Aggravated.assault.Ratio",0.05
1981,"Republican","PostE","Aggravated.assault.Ratio",0.049
1982,"Republican",NA,"Aggravated.assault.Ratio",0.052
1983,"Republican","PREE","Aggravated.assault.Ratio",0.054
1984,"Republican","E","Aggravated.assault.Ratio",0.058
1985,"Republican","PostE","Aggravated.assault.Ratio",0.058
1986,"Republican",NA,"Aggravated.assault.Ratio",0.063
1987,"Republican","PREE","Aggravated.assault.Ratio",0.063
1988,"Republican","E","Aggravated.assault.Ratio",0.065
1989,"Republican","PostE","Aggravated.assault.Ratio",0.067
1990,"Republican",NA,"Aggravated.assault.Ratio",0.073
1991,"Republican","PREE","Aggravated.assault.Ratio",0.073
1992,"Republican","E","Aggravated.assault.Ratio",0.078
1993,"Democratic","PostE","Aggravated.assault.Ratio",0.08
1994,"Democratic",NA,"Aggravated.assault.Ratio",0.08
1995,"Democratic","PREE","Aggravated.assault.Ratio",0.079
1996,"Democratic","E","Aggravated.assault.Ratio",0.077
1997,"Democratic","PostE","Aggravated.assault.Ratio",0.078
1998,"Democratic",NA,"Aggravated.assault.Ratio",0.078
1999,"Democratic","PREE","Aggravated.assault.Ratio",0.078
2000,"Democratic","E","Aggravated.assault.Ratio",0.079
2001,"Republican","PostE","Aggravated.assault.Ratio",0.077
2002,"Republican",NA,"Aggravated.assault.Ratio",0.075
2003,"Republican","PREE","Aggravated.assault.Ratio",0.073
2004,"Republican","E","Aggravated.assault.Ratio",0.073
2005,"Republican","PostE","Aggravated.assault.Ratio",0.075
2006,"Republican",NA,"Aggravated.assault.Ratio",0.076
2007,"Republican","PREE","Aggravated.assault.Ratio",0.076
2008,"Republican","E","Aggravated.assault.Ratio",0.075
2009,"Democratic","PostE","Aggravated.assault.Ratio",0.075
2010,"Democratic",NA,"Aggravated.assault.Ratio",0.075
2011,"Democratic","PREE","Aggravated.assault.Ratio",0.073
2012,"Democratic","E","Aggravated.assault.Ratio",0.075
2013,"Democratic","PostE","Aggravated.assault.Ratio",0.074
2014,"Democratic",NA,"Aggravated.assault.Ratio",0.078
2015,"Democratic","PREE","Aggravated.assault.Ratio",0.083
1960,"Republican","E","Burglary.Ratio",0.27
1961,"Democratic","PostE","Burglary.Ratio",0.272
1962,"Democratic",NA,"Burglary.Ratio",0.265
1963,"Democratic","PREE","Burglary.Ratio",0.264
1964,"Democratic","E","Burglary.Ratio",0.266
1965,"Democratic","PostE","Burglary.Ratio",0.271
1966,"Democratic",NA,"Burglary.Ratio",0.27
1967,"Democratic","PREE","Burglary.Ratio",0.276
1968,"Democratic","E","Burglary.Ratio",0.277
1969,"Republican","PostE","Burglary.Ratio",0.267
1970,"Republican",NA,"Burglary.Ratio",0.272
1971,"Republican","PREE","Burglary.Ratio",0.279
1972,"Republican","E","Burglary.Ratio",0.288
1973,"Republican","PostE","Burglary.Ratio",0.294
1974,"Republican",NA,"Burglary.Ratio",0.296
1975,"Republican","PREE","Burglary.Ratio",0.289
1976,"Republican","E","Burglary.Ratio",0.274
1977,"Democratic","PostE","Burglary.Ratio",0.28
1978,"Democratic",NA,"Burglary.Ratio",0.279
1979,"Democratic","PREE","Burglary.Ratio",0.272
1980,"Democratic","E","Burglary.Ratio",0.283
1981,"Republican","PostE","Burglary.Ratio",0.282
1982,"Republican",NA,"Burglary.Ratio",0.266
1983,"Republican","PREE","Burglary.Ratio",0.258
1984,"Republican","E","Burglary.Ratio",0.251
1985,"Republican","PostE","Burglary.Ratio",0.247
1986,"Republican",NA,"Burglary.Ratio",0.245
1987,"Republican","PREE","Burglary.Ratio",0.24
1988,"Republican","E","Burglary.Ratio",0.231
1989,"Republican","PostE","Burglary.Ratio",0.222
1990,"Republican",NA,"Burglary.Ratio",0.212
1991,"Republican","PREE","Burglary.Ratio",0.212
1992,"Republican","E","Burglary.Ratio",0.206
1993,"Democratic","PostE","Burglary.Ratio",0.2
1994,"Democratic",NA,"Burglary.Ratio",0.194
1995,"Democratic","PREE","Burglary.Ratio",0.187
1996,"Democratic","E","Burglary.Ratio",0.186
1997,"Democratic","PostE","Burglary.Ratio",0.186
1998,"Democratic",NA,"Burglary.Ratio",0.187
1999,"Democratic","PREE","Burglary.Ratio",0.181
2000,"Democratic","E","Burglary.Ratio",0.177
2001,"Republican","PostE","Burglary.Ratio",0.178
2002,"Republican",NA,"Burglary.Ratio",0.181
2003,"Republican","PREE","Burglary.Ratio",0.182
2004,"Republican","E","Burglary.Ratio",0.184
2005,"Republican","PostE","Burglary.Ratio",0.186
2006,"Republican",NA,"Burglary.Ratio",0.192
2007,"Republican","PREE","Burglary.Ratio",0.193
2008,"Republican","E","Burglary.Ratio",0.2
2009,"Democratic","PostE","Burglary.Ratio",0.205
2010,"Democratic",NA,"Burglary.Ratio",0.209
2011,"Democratic","PREE","Burglary.Ratio",0.213
2012,"Democratic","E","Burglary.Ratio",0.206
2013,"Democratic","PostE","Burglary.Ratio",0.196
2014,"Democratic",NA,"Burglary.Ratio",0.182
2015,"Democratic","PREE","Burglary.Ratio",0.171
1960,"Republican","E","Larceny..Theft.Ratio",0.548
1961,"Democratic","PostE","Larceny..Theft.Ratio",0.548
1962,"Democratic",NA,"Larceny..Theft.Ratio",0.557
1963,"Democratic","PREE","Larceny..Theft.Ratio",0.559
1964,"Democratic","E","Larceny..Theft.Ratio",0.551
1965,"Democratic","PostE","Larceny..Theft.Ratio",0.543
1966,"Democratic",NA,"Larceny..Theft.Ratio",0.54
1967,"Democratic","PREE","Larceny..Theft.Ratio",0.527
1968,"Democratic","E","Larceny..Theft.Ratio",0.518
1969,"Republican","PostE","Larceny..Theft.Ratio",0.525
1970,"Republican",NA,"Larceny..Theft.Ratio",0.522
1971,"Republican","PREE","Larceny..Theft.Ratio",0.515
1972,"Republican","E","Larceny..Theft.Ratio",0.503
1973,"Republican","PostE","Larceny..Theft.Ratio",0.499
1974,"Republican",NA,"Larceny..Theft.Ratio",0.513
1975,"Republican","PREE","Larceny..Theft.Ratio",0.529
1976,"Republican","E","Larceny..Theft.Ratio",0.553
1977,"Democratic","PostE","Larceny..Theft.Ratio",0.538
1978,"Democratic",NA,"Larceny..Theft.Ratio",0.534
1979,"Democratic","PREE","Larceny..Theft.Ratio",0.539
1980,"Democratic","E","Larceny..Theft.Ratio",0.532
1981,"Republican","PostE","Larceny..Theft.Ratio",0.536
1982,"Republican",NA,"Larceny..Theft.Ratio",0.551
1983,"Republican","PREE","Larceny..Theft.Ratio",0.554
1984,"Republican","E","Larceny..Theft.Ratio",0.555
1985,"Republican","PostE","Larceny..Theft.Ratio",0.557
1986,"Republican",NA,"Larceny..Theft.Ratio",0.549
1987,"Republican","PREE","Larceny..Theft.Ratio",0.555
1988,"Republican","E","Larceny..Theft.Ratio",0.553
1989,"Republican","PostE","Larceny..Theft.Ratio",0.552
1990,"Republican",NA,"Larceny..Theft.Ratio",0.549
1991,"Republican","PREE","Larceny..Theft.Ratio",0.547
1992,"Republican","E","Larceny..Theft.Ratio",0.548
1993,"Democratic","PostE","Larceny..Theft.Ratio",0.553
1994,"Democratic",NA,"Larceny..Theft.Ratio",0.563
1995,"Democratic","PREE","Larceny..Theft.Ratio",0.577
1996,"Democratic","E","Larceny..Theft.Ratio",0.586
1997,"Democratic","PostE","Larceny..Theft.Ratio",0.587
1998,"Democratic",NA,"Larceny..Theft.Ratio",0.591
1999,"Democratic","PREE","Larceny..Theft.Ratio",0.598
2000,"Democratic","E","Larceny..Theft.Ratio",0.601
2001,"Republican","PostE","Larceny..Theft.Ratio",0.597
2002,"Republican",NA,"Larceny..Theft.Ratio",0.594
2003,"Republican","PREE","Larceny..Theft.Ratio",0.594
2004,"Republican","E","Larceny..Theft.Ratio",0.594
2005,"Republican","PostE","Larceny..Theft.Ratio",0.587
2006,"Republican",NA,"Larceny..Theft.Ratio",0.579
2007,"Republican","PREE","Larceny..Theft.Ratio",0.584
2008,"Republican","E","Larceny..Theft.Ratio",0.59
2009,"Democratic","PostE","Larceny..Theft.Ratio",0.589
2010,"Democratic",NA,"Larceny..Theft.Ratio",0.599
2011,"Democratic","PREE","Larceny..Theft.Ratio",0.6
2012,"Democratic","E","Larceny..Theft.Ratio",0.604
2013,"Democratic","PostE","Larceny..Theft.Ratio",0.611
2014,"Democratic",NA,"Larceny..Theft.Ratio",0.618
2015,"Democratic","PREE","Larceny..Theft.Ratio",0.619
1960,"Republican","E","Vehicle.Theft.Ratio",0.097
1961,"Democratic","PostE","Vehicle.Theft.Ratio",0.096
1962,"Democratic",NA,"Vehicle.Theft.Ratio",0.098
1963,"Democratic","PREE","Vehicle.Theft.Ratio",0.099
1964,"Democratic","E","Vehicle.Theft.Ratio",0.104
1965,"Democratic","PostE","Vehicle.Theft.Ratio",0.105
1966,"Democratic",NA,"Vehicle.Theft.Ratio",0.107
1967,"Democratic","PREE","Vehicle.Theft.Ratio",0.112
1968,"Democratic","E","Vehicle.Theft.Ratio",0.117
1969,"Republican","PostE","Vehicle.Theft.Ratio",0.119
1970,"Republican",NA,"Vehicle.Theft.Ratio",0.115
1971,"Republican","PREE","Vehicle.Theft.Ratio",0.11
1972,"Republican","E","Vehicle.Theft.Ratio",0.108
1973,"Republican","PostE","Vehicle.Theft.Ratio",0.107
1974,"Republican",NA,"Vehicle.Theft.Ratio",0.095
1975,"Republican","PREE","Vehicle.Theft.Ratio",0.089
1976,"Republican","E","Vehicle.Theft.Ratio",0.085
1977,"Democratic","PostE","Vehicle.Theft.Ratio",0.089
1978,"Democratic",NA,"Vehicle.Theft.Ratio",0.09
1979,"Democratic","PREE","Vehicle.Theft.Ratio",0.091
1980,"Democratic","E","Vehicle.Theft.Ratio",0.084
1981,"Republican","PostE","Vehicle.Theft.Ratio",0.081
1982,"Republican",NA,"Vehicle.Theft.Ratio",0.082
1983,"Republican","PREE","Vehicle.Theft.Ratio",0.083
1984,"Republican","E","Vehicle.Theft.Ratio",0.087
1985,"Republican","PostE","Vehicle.Theft.Ratio",0.089
1986,"Republican",NA,"Vehicle.Theft.Ratio",0.093
1987,"Republican","PREE","Vehicle.Theft.Ratio",0.095
1988,"Republican","E","Vehicle.Theft.Ratio",0.103
1989,"Republican","PostE","Vehicle.Theft.Ratio",0.11
1990,"Republican",NA,"Vehicle.Theft.Ratio",0.113
1991,"Republican","PREE","Vehicle.Theft.Ratio",0.112
1992,"Republican","E","Vehicle.Theft.Ratio",0.112
1993,"Democratic","PostE","Vehicle.Theft.Ratio",0.111
1994,"Democratic",NA,"Vehicle.Theft.Ratio",0.11
1995,"Democratic","PREE","Vehicle.Theft.Ratio",0.106
1996,"Democratic","E","Vehicle.Theft.Ratio",0.103
1997,"Democratic","PostE","Vehicle.Theft.Ratio",0.103
1998,"Democratic",NA,"Vehicle.Theft.Ratio",0.099
1999,"Democratic","PREE","Vehicle.Theft.Ratio",0.099
2000,"Democratic","E","Vehicle.Theft.Ratio",0.1
2001,"Republican","PostE","Vehicle.Theft.Ratio",0.103
2002,"Republican",NA,"Vehicle.Theft.Ratio",0.105
2003,"Republican","PREE","Vehicle.Theft.Ratio",0.107
2004,"Republican","E","Vehicle.Theft.Ratio",0.106
2005,"Republican","PostE","Vehicle.Theft.Ratio",0.107
2006,"Republican",NA,"Vehicle.Theft.Ratio",0.105
2007,"Republican","PREE","Vehicle.Theft.Ratio",0.097
2008,"Republican","E","Vehicle.Theft.Ratio",0.086
2009,"Democratic","PostE","Vehicle.Theft.Ratio",0.074
2010,"Democratic",NA,"Vehicle.Theft.Ratio",0.071
2011,"Democratic","PREE","Vehicle.Theft.Ratio",0.07
2012,"Democratic","E","Vehicle.Theft.Ratio",0.071
2013,"Democratic","PostE","Vehicle.Theft.Ratio",0.071
2014,"Democratic",NA,"Vehicle.Theft.Ratio",0.073
2015,"Democratic","PREE","Vehicle.Theft.Ratio",0.077
