DATE,DCOILBRENTEU
2010-08-01,75.51
2010-09-01,80.77
2010-10-01,82.47
2010-11-01,86.02
2010-12-01,93.23
2011-01-01,98.97
2011-02-01,112.27
2011-03-01,116.94
2011-04-01,126.59
2011-05-01,117.18
2011-06-01,111.71
2011-07-01,115.93
2011-08-01,116.48
2011-09-01,105.42
2011-10-01,108.43
2011-11-01,111.22
2011-12-01,108.09
2012-01-01,110.26
2012-02-01,122.23
2012-03-01,123.41
2012-04-01,118.66
2012-05-01,103.86
2012-06-01,94.17
2012-07-01,105.93
2012-08-01,113.93
2012-09-01,111.36
2012-10-01,109.89
2012-11-01,110.84
2012-12-01,110.80
2013-01-01,115.55
2013-02-01,112.20
2013-03-01,108.46
2013-04-01,101.53
2013-05-01,100.43
2013-06-01,102.49
2013-07-01,107.89
2013-08-01,115.97
2013-09-01,107.85
2013-10-01,107.53
2013-11-01,111.07
2013-12-01,109.95
2014-01-01,108.16
2014-02-01,108.98
2014-03-01,105.95
2014-04-01,108.63
2014-05-01,109.21
2014-06-01,111.03
2014-07-01,104.94
2014-08-01,101.12
2014-09-01,94.67
2014-10-01,84.17
2014-11-01,71.89
2014-12-01,55.27
2015-01-01,47.52
2015-02-01,61.89
2015-03-01,53.69
2015-04-01,63.90
2015-05-01,63.16
2015-06-01,60.31
2015-07-01,53.29
2015-08-01,47.97
2015-09-01,47.29
2015-10-01,48.00
2015-11-01,43.73
2015-12-01,36.61
2016-01-01,33.14
2016-02-01,35.92
2016-03-01,36.75
2016-04-01,45.64
2016-05-01,49.26
2016-06-01,48.05
2016-07-01,40.76
2016-08-01,47.94
2016-09-01,48.24
2016-10-01,46.20
