Country Code,Region,IncomeGroup
NAC,,
NAM,Sub-Saharan Africa,Upper middle income
NCL,East Asia & Pacific,High income
NER,Sub-Saharan Africa,Low income
NGA,Sub-Saharan Africa,Lower middle income
NIC,Latin America & Caribbean,Lower middle income
NLD,Europe & Central Asia,High income
NOR,Europe & Central Asia,High income
NPL,South Asia,Low income
NRU,East Asia & Pacific,High income
NZL,East Asia & Pacific,High income
OED,,
OMN,Middle East & North Africa,High income
OSS,,
PAK,South Asia,Lower middle income
PAN,Latin America & Caribbean,Upper middle income
PER,Latin America & Caribbean,Upper middle income
PHL,East Asia & Pacific,Lower middle income
PLW,East Asia & Pacific,Upper middle income
PNG,East Asia & Pacific,Lower middle income
POL,Europe & Central Asia,High income
PRE,,
PRI,Latin America & Caribbean,High income
PRK,East Asia & Pacific,Low income
PRT,Europe & Central Asia,High income
PRY,Latin America & Caribbean,Upper middle income
PSE,Middle East & North Africa,Lower middle income
PSS,,
PST,,
PYF,East Asia & Pacific,High income
QAT,Middle East & North Africa,High income
ROU,Europe & Central Asia,Upper middle income
RUS,Europe & Central Asia,Upper middle income
RWA,Sub-Saharan Africa,Low income
SAS,,
SAU,Middle East & North Africa,High income
SDN,Sub-Saharan Africa,Lower middle income
SEN,Sub-Saharan Africa,Low income
SGP,East Asia & Pacific,High income
SLB,East Asia & Pacific,Lower middle income
SLE,Sub-Saharan Africa,Low income
SLV,Latin America & Caribbean,Lower middle income
SMR,Europe & Central Asia,High income
SOM,Sub-Saharan Africa,Low income
SRB,Europe & Central Asia,Upper middle income
SSA,,
SSD,Sub-Saharan Africa,Low income
SSF,,
SST,,
STP,Sub-Saharan Africa,Lower middle income
SUR,Latin America & Caribbean,Upper middle income
SVK,Europe & Central Asia,High income
SVN,Europe & Central Asia,High income
SWE,Europe & Central Asia,High income
SWZ,Sub-Saharan Africa,Lower middle income
SXM,Latin America & Caribbean,High income
SYC,Sub-Saharan Africa,High income
SYR,Middle East & North Africa,Lower middle income
TCA,Latin America & Caribbean,High income
TCD,Sub-Saharan Africa,Low income
TEA,,
TEC,,
TGO,Sub-Saharan Africa,Low income
THA,East Asia & Pacific,Upper middle income
TJK,Europe & Central Asia,Lower middle income
TKM,Europe & Central Asia,Upper middle income
TLA,,
TLS,East Asia & Pacific,Lower middle income
TMN,,
TON,East Asia & Pacific,Lower middle income
TSA,,
TSS,,
TTO,Latin America & Caribbean,High income
TUN,Middle East & North Africa,Lower middle income
TUR,Europe & Central Asia,Upper middle income
TUV,East Asia & Pacific,Upper middle income
TZA,Sub-Saharan Africa,Low income
UGA,Sub-Saharan Africa,Low income
UKR,Europe & Central Asia,Lower middle income
UMC,,
URY,Latin America & Caribbean,High income
USA,North America,High income
UZB,Europe & Central Asia,Lower middle income
VCT,Latin America & Caribbean,Upper middle income
VEN,Latin America & Caribbean,Upper middle income
VGB,Latin America & Caribbean,High income
VIR,Latin America & Caribbean,High income
VNM,East Asia & Pacific,Lower middle income
VUT,East Asia & Pacific,Lower middle income
WLD,,
WSM,East Asia & Pacific,Lower middle income
YEM,Middle East & North Africa,Lower middle income
ZAF,Sub-Saharan Africa,Upper middle income
ZMB,Sub-Saharan Africa,Lower middle income
ZWE,Sub-Saharan Africa,Low income
