Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,AverageGINI
Central African Republic,CAF,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.33,,,,,,,,,,,43.61,,,,,56.24,,,,,,,,,49.925
Canada,CAN,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,32.6,,,,,,31.6,,,,31.15,,,31.39,,,31.77,33.59,,33.65,,,,33.88,,,33.9,,,33.68,,,,,,,33.7775
Central Europe and the Baltics,CEB,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
Switzerland,CHE,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.47,33.96,32.96,32.72,31.83,31.64,,,,,32.93
Channel Islands,CHI,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
Chile,CHL,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.21,,,57.25,,54.81,,56.43,,54.87,,55.52,,55.59,,,54.61,,,51.79,,,52,,50.84,,50.45,,,,52.54666667
China,CHN,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.83,,,,42.16,,,,,42.495
Cote d'Ivoire,CIV,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,45.53,37.97,40.51,36.89,,,,39.39,,,40.56,,,38.96,,,,41.34,,,,,,43.18,,,,,,,,,42.26
Cameroon,CMR,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.45,,,,,42.14,,,,,,42.82,,,,,,,46.54,,,43.83333333
"Congo, Rep.",COG,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.33,,,,,,48.94,,,,,,48.135
Colombia,COL,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.11,53.59,,51.32,51.45,,,,56.93,,,58.74,58.68,57.76,58.25,54.41,56.11,55.04,,,56.04,55.92,55.5,54.18,53.54,53.49,53.5,,,55.57076923
Comoros,COM,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.93,,,,,,,,,,,,,55.93
Cabo Verde,CPV,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.5,,,,,,47.19,,,,,,,,,,49.845
Costa Rica,CRI,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,47.49,,,,,34.42,,,46.69,45.3,46.65,45.71,46,46.75,45.71,46.54,45.62,45.67,47.67,47.44,51.1,50.89,49.93,48.92,47.77,49.31,49.49,49.14,50.97,48.1,48.6,48.61,49.18,48.53,,,49.19866667
Caribbean small states,CSS,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
Cuba,CUB,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
Curacao,CUW,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
Cayman Islands,CYM,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
Cyprus,CYP,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.09,30.26,31.13,31.11,31.71,32.11,31.46,32.63,34.31,,,,,31.64555556
Czech Republic,CZE,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.4,,,,,26.6,,,25.82,,,,,,,,27.53,26.95,26.74,26,26.29,26.18,26.63,26.39,26.13,,,,,26.53777778
Germany,DEU,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.78,32.4,31.29,31.51,31.14,30.13,,,,,,31.54166667
Djibouti,DJI,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,45.13,44.13,,,,43.08666667
Dominica,DMA,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
Denmark,DNK,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.89,25.94,27.08,26.85,28.89,28.84,29.02,29.54,29.08,,,,,27.90333333
Dominican Republic,DOM,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,47.78,,,50.46,,,51.36,,,,47.43,48.92,,,52.01,50.43,50.12,52.09,51.95,49.96,51.9,48.69,49,48.86,47.2,47.4,45.68,47.07,,,,49.45428571
Algeria,DZA,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
East Asia & Pacific (excluding high income),EAP,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
Early-demographic dividend,EAR,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
East Asia & Pacific,EAS,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
Europe & Central Asia (excluding high income),ECA,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
Europe & Central Asia,ECS,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
Ecuador,ECU,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.49,,,,,,,53.37,50.97,,,49.66,58.6,56.38,,,54.99,54.12,54.12,53.2,54.33,50.61,49.28,49.25,46.21,46.57,47.29,45.38,,,50.90230769
"Egypt, Arab Rep.",EGY,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
Euro area,EMU,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
Eritrea,ERI,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
Spain,ESP,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.38,32.5,32.67,33.86,34.8,35.39,35.79,36.1,35.89,,,,,34.48666667
Estonia,EST,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.97,,,,,39.5,,30.06,,,37.64,,35.78,36.01,35.79,34.91,33.96,33.63,33.75,31.25,32,31.59,32.16,32.69,33.15,,,,,33.59
Ethiopia,ETH,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,32.42,,,,,,,,,,,,,,44.56,,,,29.98,,,,,29.81,,,,,,33.17,,,,,,,31.49
European Union,EUU,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
Fragile and conflict affected situations,FCS,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
Finland,FIN,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.92,27.64,28.02,28.29,27.85,27.47,27.74,27.66,27.12,,,,,27.74555556
Fiji,FJI,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.62,,,,,,42.78,,,,,,,,,41.2
France,FRA,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.8,29.93,29.92,32.63,33.08,,33.78,33.35,33.1,,,,,32.07375
Faroe Islands,FRO,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
"Micronesia, Fed. Sts.",FSM,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.26,,,,,43.1,,,,,,,,42.46,,,,49.60666667
Gabon,GAB,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.18,,,,,,,,,,,,42.18
United Kingdom,GBR,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.22,34.56,34.84,35.93,34.37,34.67,34.81,33.71,32.57,,,,,34.63111111
Georgia,GEO,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.13,41.95,41.25,40.15,40.48,39.57,39.63,39.53,39.78,40.34,39.71,40.6,40.57,41.74,42.13,41.58,41.35,40.03,40.09,,,40.47533333
Ghana,GHA,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.35,35.99,,,38.44,,,,,,,40.07,,,,,,,42.77,,,,,,,,,,,,42.77
Gibraltar,GIB,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
Guinea,GIN,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.84,,,46.08,,,,,,,,43,,,,,39.36,,,,,33.73,,,,,38.69666667
"Gambia, The",GMB,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.52,,,,,47.33,,,,,,,,,,,,,,47.33
Guinea-Bissau,GNB,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.61,,,,,,,,,35.57,,,,,,,,50.66,,,,,,,43.115
Equatorial Guinea,GNQ,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
Greece,GRC,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.97,35.1,35.41,34.61,34.22,33.82,34.48,35.69,36.68,,,,,34.88666667
Grenada,GRD,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
Greenland,GRL,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
Guatemala,GTM,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,58.26,,,59.6,,,,,,,,,,,54.84,,,,,,54.89,,,,,52.35,,,48.66,,,52.685
Guam,GUM,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
Guyana,GUY,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.55,,,,,,,,,,,,,,,,,,,#DIV/0!
High income,HIC,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
"Hong Kong SAR, China",HKG,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
Honduras,HND,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,55.09,,,59.49,57.36,51.85,51.83,53.47,55.01,55.49,55.72,52.73,57.43,55.35,,54.08,58.78,58.66,58.41,59.51,57.42,56.16,55.74,51.56,53.39,57.4,57.4,53.67,50.64,,,55.91571429
Heavily indebted poor countries (HIPC),HPC,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
Croatia,HRV,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.78,,,,,,,,,,28.75,27.71,31.33,31.1,,,29.68,,,,33.71,33.18,27.35,32.32,32.51,,,,,31.3975
Haiti,HTI,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.48,,,,,,,,,,,60.79,,,,,60.135
Hungary,HUN,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.96,,25.05,,,,27.94,,,,,26.38,27.64,27.22,26.92,26.84,30.93,30.02,29.98,,27.94,27.53,26.97,29.37,28.94,30.55,,,,,28.60083333
IBRD only,IBD,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
IDA & IBRD total,IBT,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
IDA total,IDA,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
IDA blend,IDB,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
Indonesia,IDN,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.47,,,,39.47
IDA only,IDX,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
Isle of Man,IMN,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
India,IND,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.15,,,,,,35.15
Not classified,INX,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
Ireland,IRL,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.72,33.76,32.73,31.96,30.91,32.84,32.3,32.33,32.52,,,,,32.56333333
"Iran, Islamic Rep.",IRN,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,47.42,,,,43.6,,,,43,,,,44.1,,,,,,,38.35,,,,42.02,,,,37.35,,,,39.24
Iraq,IRQ,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
Iceland,ISL,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.11,29.38,30.25,29.58,31.89,28.74,26.43,27.03,26.94,,,,,28.70555556
Israel,ISR,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,36.49,,,,,,35.5,,,,,38.1,,,,39.2,,,,41.86,,41.18,,,42.78,,,,,,,41.255
Italy,ITA,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.53,34.07,34.26,33.19,33.74,33.66,34.41,34.52,35.16,,,,,34.17111111
Jamaica,JAM,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.16,,41.11,,,35.67,,,40.39,,,44.08,,,48.32,,45.46,,,,,,,,,,,,,46.89
Jordan,JOR,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
Japan,JPN,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.11,,,,,,,,,32.11
Kazakhstan,KAZ,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.74,,,,,32.67,,,35.38,,,,,35.39,34.05,32.99,31.42,29.65,29.98,28.54,29.07,28.79,28.56,27.42,27.46,26.33,,,,29.97307692
Kenya,KEN,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.46,,43.86,,,46.3,,,,,,,,48.51,,,,,,,,,,,,48.51
Kyrgyz Republic,KGZ,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.01,,,,,53.7,,,,,46.4,,31.04,30.16,30.3,28.71,34.77,32.56,37.38,33.91,31.45,29.87,30.13,27.84,27.36,28.82,26.82,,,30.74133333
