Region,Causes, Both sexes (2012), Female (2012), Male (2012), Both sexes (2000), Female (2000), Male (2000),Group
Europe and Central Asia, Iron-deficiency anaemia,561,308,253,699,350,349,NutritionalDeficiency
Europe and Central Asia, Other nutritional deficiencies,70,44,26,58,32,26,NutritionalDeficiency
Europe and Central Asia, Noncommunicable diseases,2 268 227,1 136 662,1 131 565,2 169 148,1 086 173,1 082 975,LargeSubgroup
Europe and Central Asia, Malignant neoplasms,420 758,176 927,243 831,381 983,161 906,220 077,Subgroup
Europe and Central Asia, Mouth and oropharynx cancers,13 508,2 524,10 984,11 790,2 114,9 676,Cancer
Europe and Central Asia, Oesophagus cancer,10 909,3 571,7 338,10 994,3 812,7 182,Cancer
Europe and Central Asia, Stomach cancer,39 820,15 494,24 326,45 123,17 765,27 358,Cancer
Europe and Central Asia, Colon and rectum cancers,46 200,20 948,25 252,38 481,18 519,19 962,Cancer
Europe and Central Asia, Liver cancer,15 334,6 001,9 333,13 214,5 338,7 876,Cancer
Europe and Central Asia, Pancreas cancer,18 830,8 374,10 456,14 974,6 603,8 371,Cancer
Europe and Central Asia," Trachea, bronchus, lung cancers",83 688,16 592,67 096,78 075,13 687,64 388,Cancer
Europe and Central Asia, Melanoma and other skin cancers,6 284,3 058,3 226,5 211,2 605,2 606,Cancer
Europe and Central Asia, Breast cancer,31 023,31 023,0,28 183,28 183,0,Cancer
Europe and Central Asia, Cervix uteri cancer,10 102,10 102,0,10 586,10 586,0,Cancer
Europe and Central Asia, Corpus uteri cancer,6 138,6 138,0,6 286,6 286,0,Cancer
Europe and Central Asia, Ovary cancer,8 709,8 709,0,7 661,7 661,0,Cancer
Europe and Central Asia, Prostate cancer,19 985,0,19 985,13 692,0,13 692,Cancer
Europe and Central Asia, Bladder cancer,13 216,2 340,10 876,11 276,2 092,9 184,Cancer
Europe and Central Asia," Lymphomas, multiple myeloma",13 801,6 100,7 701,11 716,5 108,6 608,Cancer
Europe and Central Asia, Leukaemia,12 765,5 611,7 154,12 965,5 823,7 142,Cancer
Europe and Central Asia, Other malignant neoplasms,70 454,30 348,40 106,61 755,25 723,36 032,Cancer
Europe and Central Asia, Other neoplasms,4 014,1 975,2 039,3 588,1 686,1 902,Cancer
Europe and Central Asia, Diabetes mellitus,34 803,20 095,14 708,31 974,19 081,12 893,Diabetes
Europe and Central Asia," Endocrine, blood, immune disorders",5 752,2 947,2 805,5 485,2 691,2 794,Endocrine.blood.immunedisorders
Europe and Central Asia, Mental and behavioral disorders,19 309,5 143,14 166,16 844,4 154,12 690,Subgroup
Europe and Central Asia, Unipolar depressive disorders,38,26,12,16,11,5,Men.Behav
Europe and Central Asia, Bipolar disorder,5,3,2,3,2,1,Men.Behav
Europe and Central Asia, Schizophrenia,812,427,385,775,363,412,Men.Behav
Europe and Central Asia, Alcohol use disorders,12 496,2 648,9 848,12 707,2 704,10 003,Men.Behav
Europe and Central Asia, Drug use disorders,4 308,1 131,3 177,2 344,600,1 744,Men.Behav
Europe and Central Asia, Anxiety disorders,0,0,0,1,0,1,Men.Behav
Europe and Central Asia, Eating disorders,486,316,170,329,193,136,Men.Behav
Europe and Central Asia, Pervasive developmental disorders,0,0,0,0,0,0,Men.Behav
Europe and Central Asia, Childhood behavioural disorders,0,0,0,0,0,0,Men.Behav
Europe and Central Asia, Idiopathic intellectual disability,118,58,60,55,33,22,Men.Behav
Europe and Central Asia, Other mental and behavioural disorders,1 048,535,513,611,247,364,Men.Behav
Europe and Central Asia, Neurological conditions,28 783,15 063,13 720,20 196,9 556,10 640,Subgroup
Europe and Central Asia, Alzheimer's disease and other dementias,9 891,6 095,3 796,3 364,1 873,1 491,Neurological
Europe and Central Asia, Parkinson's disease,3 002,1 459,1 543,1 707,810,897,Neurological
Europe and Central Asia, Epilepsy,5 370,2 200,3 170,6 495,2 661,3 834,Neurological
Europe and Central Asia, Multiple sclerosis,992,577,415,1 082,601,481,Neurological
Europe and Central Asia, Migraine,0,0,0,0,0,0,Neurological
Europe and Central Asia, Non-migraine headache,0,0,0,0,0,0,Neurological
Europe and Central Asia, Other neurological conditions,9 526,4 730,4 796,7 553,3 614,3 939,Neurological
Europe and Central Asia, Sense organ diseases,0,0,0,0,0,0,Neurological
Europe and Central Asia, Glaucoma,0,0,0,0,0,0,Neurological
Europe and Central Asia, Cataracts,0,0,0,0,0,0,Neurological
Europe and Central Asia, Refractive errors,0,0,0,0,0,0,Neurological
Europe and Central Asia, Macular degeneration,0,0,0,0,0,0,Neurological
Europe and Central Asia, Other vision loss,0,0,0,0,0,0,Neurological
Europe and Central Asia, Other hearing loss,0,0,0,0,0,0,Neurological
Europe and Central Asia, other sense organ disorders,0,0,0,0,0,0,Neurological
Europe and Central Asia, Cardiovascular diseases,1 489 805,803 977,685 828,1 444 742,780 000,664 742,Subgroup
Europe and Central Asia, Rheumatic heart disease,21 824,11 707,10 117,25 989,13 209,12 780,Cardiovascular
Europe and Central Asia, Hypertensive heart disease,78 428,44 788,33 640,52 700,30 611,22 089,Cardiovascular
Europe and Central Asia, Ischaemic heart disease,850 695,446 573,404 122,806 588,423 337,383 251,Cardiovascular
Europe and Central Asia, Stroke,427 821,245 202,182 619,446 163,255 970,190 193,Cardiovascular
Europe and Central Asia," Cardiomyopathy, myocarditis, endocarditis",46 459,21 375,25 084,42 531,19 308,23 223,Cardiovascular
Europe and Central Asia, Other circulatory diseases,64 580,34 334,30 246,70 775,37 568,33 207,Cardiovascular
Europe and Central Asia, Respiratory diseases,98 877,39 334,59 543,111 342,43 411,67 931,Subgroup
Europe and Central Asia, Chronic obstructive pulmonary disease,69 965,26 200,43 765,80 372,29 336,51 036,Respiratory
Europe and Central Asia, Asthma,12 577,6 053,6 524,15 525,7 392,8 133,Respiratory
Europe and Central Asia, Other respiratory diseases,16 339,7 083,9 256,15 448,6 684,8 764,Respiratory
Europe and Central Asia, Digestive diseases,111 977,45 618,66 359,96 791,37 667,59 124,Subgroup
Europe and Central Asia, Peptic ulcer disease,9 209,3 311,5 898,10 422,3 192,7 230,Digestive
Europe and Central Asia, Cirrhosis of the liver,69 936,27 346,42 590,59 524,22 661,36 863,Digestive
Europe and Central Asia, Appendicitis,870,384,486,712,285,427,Digestive
Europe and Central Asia, Other digestive diseases,31 963,14 576,17 387,26 136,11 529,14 607,Digestive
Europe and Central Asia, Genitourinary diseases,27 077,12 375,14 702,24 759,11 161,13 598,Subgroup
Europe and Central Asia, Kidney diseases,19 084,8 616,10 468,16 405,7 530,8 875,Genitourinary
Europe and Central Asia, Hyperplasia of prostate,298,0,298,580,0,580,Genitourinary
Europe and Central Asia, Urolithiasis,447,223,224,678,301,377,Genitourinary
Europe and Central Asia, Other genitourinary diseases,7 088,3 377,3 711,6 913,3 147,3 766,Genitourinary
Europe and Central Asia, Infertility,0,0,0,0,0,0,Infertility
Europe and Central Asia, Gynecological diseases,158,158,0,184,184,0,
Europe and Central Asia, Skin diseases,1 352,807,545,1 993,981,1 012,
Europe and Central Asia, Musculoskeletal diseases,4 929,2 947,1 982,3 526,2 111,1 415,Subgroup
Europe and Central Asia, Rheumatoid arthritis,1 618,1 107,511,1 380,878,502,musc.skelet
Europe and Central Asia, Osteoarthritis,59,40,19,38,25,13,musc.skelet
Europe and Central Asia, Gout,11,4,7,1,0,1,musc.skelet
Europe and Central Asia, Back and neck pain,34,14,20,27,15,12,musc.skelet
Europe and Central Asia, Other musculoskeletal disorders,3 212,1 785,1 427,2 078,1 190,888,musc.skelet
Europe and Central Asia, Congenital anomalies,20 793,9 460,11 333,25 928,11 772,14 156,Subgroup
Europe and Central Asia, Neural tube defects,1 018,470,548,1 481,678,803,Congenital
Europe and Central Asia, Cleft lip and cleft palate,79,37,42,90,41,49,Congenital
Europe and Central Asia, Down's syndrome,593,295,298,710,364,346,Congenital
Europe and Central Asia, Congenital heart anomalies,11 932,5 417,6 515,14 662,6 575,8 087,Congenital
Europe and Central Asia, Other chromosomal anomalies,673,335,338,731,377,354,Congenital
Europe and Central Asia, Other congenital anomalies,6 502,2 908,3 594,8 259,3 741,4 518,Congenital
Europe and Central Asia, Oral conditions,6,2,4,11,5,6,Subgroup
Europe and Central Asia, Dental caries,6,2,4,11,5,6,Oral
Europe and Central Asia, Periodontal disease,0,0,0,0,0,0,Oral
Europe and Central Asia, Edentulism,0,0,0,0,0,0,Oral
Europe and Central Asia, Injuries,156 717,38 283,118 434,214 229,51 784,162 445,LargeSubgroup
Europe and Central Asia, Unintentional injuries,108 614,27 819,80 795,142 575,35 321,107 254,Subgroup
Europe and Central Asia, Road injury,33 713,8 106,25 607,32 753,8 080,24 673,Accident
Europe and Central Asia, Poisonings,6 620,1 898,4 722,15 940,4 282,11 658,Accident
Europe and Central Asia, Falls,12 985,3 906,9 079,15 851,4 840,11 011,Accident
Europe and Central Asia," Fire, heat and hot substances",7 183,2 577,4 606,9 098,3 091,6 007,Accident
Europe and Central Asia, Drowning,11 122,2 341,8 781,19 584,3 891,15 693,Accident
Europe and Central Asia, Exposure to forces of nature,0,0,0,0,0,0,Accident
Europe and Central Asia, Other unintentional injuries,36 989,8 990,27 999,49 352,11 139,38 213,Accident
Europe and Central Asia, Intentional injuries,48 103,10 463,37 640,71 658,16 465,55 193,Subgroup
Europe and Central Asia, Self-harm,34 968,7 618,27 350,50 129,11 039,39 090,Intentional
Europe and Central Asia, Interpersonal violence,11 153,2 605,8 548,20 511,5 306,15 205,Intentional
Europe and Central Asia, Collective violence and legal intervention,1 982,240,1 742,1 019,120,899,Intentional
