body,tags,author
"I have visited the cities and towns across America and seen the devastation caused by the trade policies of Bill and Hillary Clinton. Hillary Clinton supported Bill Clinton's disastrous NAFTA, just like she supported China's entrance into the World Trade Organization.","America,World,Organization",Donald Tump
I love Wingfoot; I'm a member of Wingfoot. It's a great course.,"Love,Great,Course",Donald Tump
I shake hands very gladly politically. I don't think you could be a politician if you didn't shake hands.,"Hands,Think,Politician",Donald Tump
"The USGA is terrific. I've designed my course in Bedminster to the highest standards of the USGA, and it's a very special course.","Special,Standards,Course",Donald Tump
The way I run my business seems to be easier than the way I run my life.,"Life,Business,My Life",Donald Tump
"If I was the governor of New Jersey, the George Washington Bridge would not have been shut.","Bridge,Washington,New",Donald Tump
"Speeches are much easier if you read them. I just find when I do that, it's harder to fire up the crowd.","Fire,Find,You",Donald Tump
"Together, we will lead our party back to the White House, and we will lead our country back to safety, prosperity, and peace.","Peace,Together,Safety",Donald Tump
We will be a country of generosity and warmth. But we will also be a country of law and order.,"Law,Country,Generosity",Donald Tump
"I could never have imagined that firing 67 people on national television would actually make me more popular, especially with the younger generation.","Generation,People,Me",Donald Tump
Sometimes by losing a battle you find a new way to win the war.,"War,Failure,Battle",Donald Tump
"I like thinking big. If you're going to be thinking anything, you might as well think big.","Thinking,Think,Big",Donald Tump
"You know that ISIS wants to go in and take over the Vatican? You have heard that. You know, that's a dream of theirs, to go into Italy.","Dream,Know,Italy",Donald Tump
"I am very, very proud to say that I am pro-life.","Proud,Say,Very",Donald Tump
"We can't let people down when they can't get any medical care, when they're sick and don't have money to go to a doctor. You help them.","Money,Medical,Help",Donald Tump
"I have women working in high positions. I was one of the first people to put women in charge of big construction jobs. And, you know, I've had a great relationship with women.","Relationship,Women,Great",Donald Tump
"I saw a report yesterday. There's so much oil, all over the world, they don't know where to dump it. And Saudi Arabia says, 'Oh, there's too much oil.' They - they came back yesterday. Did you see the report? They want to reduce oil production. Do you think they're our friends? They're not our friends.","World,Friends,Know",Donald Tump
"The Veterans Administration is a scandal. It's corrupt, and what's going on is a disgrace. And, believe me, if I win, if I become president, that will end. The veterans will be treated properly.","Veterans,End,Win",Donald Tump
"National character is only another name for the particular form which the littleness, perversity and baseness of mankind take in every country. Every nation mocks at other nations, and all are right.","Character,Name,Country",Arthur Schopenhauer
The greatest of follies is to sacrifice health for any other kind of happiness.,"Happiness,Health,Greatest",Arthur Schopenhauer
We forfeit three-quarters of ourselves in order to be like other people.,"People,Brainy,Ourselves",Arthur Schopenhauer
"A man's delight in looking forward to and hoping for some particular satisfaction is a part of the pleasure flowing out of it, enjoyed in advance. But this is afterward deducted, for the more we look forward to anything the less we enjoy it when it comes.","Man,Looking Forward",Arthur Schopenhauer
"A man's face as a rule says more, and more interesting things, than his mouth, for it is a compendium of everything his mouth will ever say, in that it is the monogram of all this man's thoughts and aspirations.","Man,Thoughts,Face",Arthur Schopenhauer
"All truth passes through three stages. First, it is ridiculed. Second, it is violently opposed. Third, it is accepted as being self-evident.","Truth,Three,Through",Arthur Schopenhauer
Obstinacy is the result of the will forcing itself into the place of the intellect.,"Will,Place,Result",Arthur Schopenhauer
"Opinion is like a pendulum and obeys the same law. If it goes past the centre of gravity on one side, it must go a like distance on the other; and it is only after a certain time that it finds the true point at which it can remain at rest.","Time,Law,Past",Arthur Schopenhauer
"Every parting gives a foretaste of death, every reunion a hint of the resurrection.","Death,Reunion,Parting",Arthur Schopenhauer
"At the Super Bowl, when Beyonce was thrusting her hips forward in a very suggestive manner, if someone else had done that, it would've been a national scandal. I thought it was ridiculous.","Thought,Forward,Done",Donald Tump
"Come November, the American people will have the chance to re-declare their independence. Americans will have a chance to vote for trade, immigration and foreign policies that put our citizens first. They will have the chance to reject today's rule by the global elite, and to embrace real change that delivers a government of, by and for the people.","Change,Today,Government",Donald Tump
"Every day, I wake up determined to deliver a better life for the people all across this nation that have been neglected, ignored, and abandoned. I have visited the laid-off factory workers and the communities crushed by our horrible and unfair trade deals. These are the forgotten men and women of our country.","Life,Women,Men",Donald Tump
I think I will be a great president having to do with the military and also having to do with taking care of our vets.,"Great,Care,Military",Donald Tump
I want to be a fair trader. I want to be a firm and fair trader.,"Want,Fair,Firm",Donald Tump
"I want trade deals, but they have to be great for the United States and our workers. We don't make great deals anymore, but we will once I become president.","Great,Want,Will",Donald Tump
"Do not be anxious about tomorrow, for tomorrow will be anxious for itself. Let the day's own trouble be sufficient for the day.","Day,Tomorrow,Trouble",Jesus Christ
"There's always opposition when you do something big. I do many things that are controversial. When people see it, they love it!","Love,People,See",Donald Tump
We've had soldiers that were so badly hurt and killed. I want their families to get something.,"Hurt,Soldiers,Want",Donald Tump
"Years ago, I predicted that Iran would take over Iraq. Iran and Iraq used to fight back and forth.","Fight,Years,Back",Donald Tump
"We need a president with tremendous intelligence, smarts, cunning, strength and stamina.","Strength,Intelligence,Need",Donald Tump
Obama and his attack dogs have nothing but hate and anger in their hearts and spew it whenever possible.,"Anger,Hate,Nothing",Donald Tump
A lot of people feel very good about Mitt Romney and I think he's going to do a great job.,"Good,Great,Job",Donald Tump
"What my father gave me more than anything else is great tutoring and a great brain, frankly. You know, my father's brother was a top person at MIT, went to MIT, graduated from MIT, was a teacher at MIT, a professor at MIT, a great engineer. I mean, you know, I have very good genes.","Teacher,Good,Father",Donald Tump
"You don't get a standing ovation and get boos, by the way. They don't go hand in hand.","Way,Hand,You",Donald Tump
"You learn their honesty, you learn their competitiveness. You learn a lot about a person. It's not that they have to sink the putt and there's a great deal of talent involved - but you do learn about how competitive a person is on the golf course, and frankly, how honest.","Great,Honesty,Golf",Donald Tump
"I mean, there's no arguing. There is no anything. There is no beating around the bush. 'You're fired' is a very strong term.","Strong,Mean,Arguing",Donald Tump
"Mitt - what I speak to Mitt Romney about is jobs. What I speak to Mitt Romney about is China, because he's got a great view on China and how they're trying to destroy our country by taking our jobs and making our product and manipulating their currency, so that it makes it almost impossible for our companies to compete.","Great,Speak,Impossible",Donald Tump
"Money was never a big motivation for me, except as a way to keep score. The real excitement is playing the game.","Money,Finance,Motivation",Donald Tump
"Our politicians are stupid. And the Mexican government is much smarter, much sharper, much more cunning. And they send the bad ones over because they don't want to pay for them. They don't want to take care of them. Why should they when the stupid leaders of the United States will do it for them?","Government,Stupid,Care",Donald Tump
My whole life is about winning. I don't lose often. I almost never lose.,"Life,Winning,Lose",Donald Tump
"People are so shocked when they find... out I am Protestant. I am Presbyterian. And I go to church, and I love God, and I love my church.","Love,God,People",Donald Tump
"You know the funny thing, I don't get along with rich people. I get along with the middle class and the poor people better than I get along with the rich people.","Funny,People,Rich",Donald Tump
"It's not like I'm anti-China. I just think it's ridiculous that we allow them to do what they're doing to this country, with the manipulation of the currency, that you write about and understand, and all of the other things that they do.","Doing,Country,Think",Donald Tump
I always want to think of myself as an underdog.,"Myself,Underdog,Want",Donald Tump
Mexico's making a fortune off the United States.,"Fortune,Mexico,United",Donald Tump
I understand the military. I know the military.,"Know,Military,Understand",Donald Tump
"If I were a liberal Democrat, people would say I'm the super genius of all time. The super genius of all time. If you're a conservative Republican, you've got to fight for your life. It's really an amazing thing.","Life,Time,Amazing",Donald Tump
"The pact we have with Japan is interesting. Because if somebody attacks us, Japan does not have to help. If somebody attacks Japan, we have to help Japan.","Help,Interesting,Japan",Donald Tump
It is only at the first encounter that a face makes its full impression on us.,"Face,Impression,First",Arthur Schopenhauer
"Nature shows that with the growth of intelligence comes increased capacity for pain, and it is only with the highest degree of intelligence that suffering reaches its supreme point.","Nature,Growth,Intelligence",Arthur Schopenhauer
Buying books would be a good thing if one could also buy the time to read them in: but as a rule the purchase of books is mistaken for the appropriation of their contents.,"Time,Good,Rule",Arthur Schopenhauer
"Sleep is the interest we have to pay on the capital which is called in at death; and the higher the rate of interest and the more regularly it is paid, the further the date of redemption is postponed.","Death,Sleep,Redemption",Arthur Schopenhauer
It is a clear gain to sacrifice pleasure in order to avoid pain.,"Pain,Sacrifice,Gain",Arthur Schopenhauer
Every person takes the limits of their own field of vision for the limits of the world.,"Vision,World,Limits",Arthur Schopenhauer
"In action a great heart is the chief qualification. In work, a great head.","Work,Wisdom,Great",Arthur Schopenhauer
"Wicked thoughts and worthless efforts gradually set their mark on the face, especially the eyes.","Eyes,Thoughts,Face",Arthur Schopenhauer
"Everybody has their detractors. Some people say arrogance, or whatever they may say. I only have one thing in mind, and that's doing a great job for the country.","Great,Job,Mind",Donald Tump
"Hillary Clinton is not going to be able to create jobs, I will tell you right now.","Will,Right,Create",Donald Tump
"I get a lot of credit for comb-overs. But it's not really a comb-over. It's sort of a little bit forward and back. I've combed it the same way for years. Same thing, every time.","Time,Forward,Credit",Donald Tump
I would say that I bought the land under which Trump Tower sits while playing golf.,"Golf,Land,Say",Donald Tump
"I'm gonna keep Social Security without change, except I'm going to get rid of the waste, fraud, and abuse; same thing with Medicare.","Change,Security,Fraud",Donald Tump
I've always been covered by a press that's mostly financial press.,"Financial,Press,Always",Donald Tump
"For what shall it profit a man, if he gain the whole world, and suffer the loss of his soul?","Soul,Man,World",Jesus Christ
"I am He who lives, and was dead, and behold, I am alive forevermore. Amen. And I have the keys of Hades and of Death.","Death,Dead,Alive",Jesus Christ
"I think George Will is somebody that said recently that the Republicans will not lose, as a Republican, that the Republicans will not win the election. I think it was a terrible statement.","Election,Win,Said",Donald Tump
"Hillary Clinton has perfected the politics of personal profit and theft. She ran the State Department like her own personal hedge fund - doing favors for oppressive regimes, and many others, in exchange for cash. ","Politics,Doing,Cash",Donald Tump
I deal with foreign countries. I made a lot of money dealing against China. I've made a lot of money dealing against many other countries.,"Money,China,Dealing",Donald Tump
"You've seen my statements; I do very well. I don't mind paying some taxes. The middle class is getting clobbered in this country. You know the middle class built this country, not the hedge fund guys, but I know people in hedge funds that pay almost nothing, and it's ridiculous, OK?","Mind,People,Know",Donald Tump
"I went to the Wharton School of Finance, the toughest place to get into. I was a great student.","Great,School,Finance",Donald Tump
"The interesting thing is that everyone in golf is just nice. You learn a lot about people playing golf: their integrity, how they play under pressure.","Integrity,Golf,People",Donald Tump
"A new command I give you: Love one another. As I have loved you, so you must love one another.","Love,Loved,New",Jesus Christ
Sometimes your best investments are the ones you don't make.,"Best,Money,Sometimes",Donald Tump
The point is that you can't be too greedy.,"Point,You,Greedy",Donald Tump
Anyone who thinks my story is anywhere near over is sadly mistaken.,"Story,Over,Anyone",Donald Tump
I actually don't have a bad hairline.,"Bad,Actually",Donald Tump
"You have to think anyway, so why not think big?","Leadership,Think,Why",Donald Tump
"One thing about television, it brings out personality. People are able to watch me in action. They hear my voice and see my eyes. There's nothing I can hide. That's me. Television brings out your flaws, your weaknesses, your strengths, and you truths. The audience either likes you or it doesn't.","Eyes,Personality,Action",Donald Tump
"So Bush certainly wasn't the greatest, and Obama has not done the job. And he's created a lot of disincentive. He's created a lot of great dissatisfaction. Regulations and regulatory is going through the roof. It's almost impossible to get anything done in the country.","Great,Greatest,Job",Donald Tump
"Obama has no solutions. Obama has failed the country and its great citizens, and they don't like it when somebody such as myself speaks the truth about this - it hurts too much.","Truth,Myself,Great",Donald Tump
"Our military has to be strengthened. Our vets have to be taken care of. We have to end Obamacare, and we have to make our country great again, and I will do that.","Great,End,Country",Donald Tump
"Today, and I'm very strongly against tax increases.","Today,Tax,Against",Donald Tump
"As your president, I will do everything in my power to protect our LGBTQ citizens from the violence and oppression of a hateful foreign ideology.","Power,Violence,Oppression",Donald Tump
"Decades of record immigration have produced lower wages and higher unemployment for our citizens, especially for African-American and Latino workers. We are going to have an immigration system that works, but one that works for the American people.","American,People",Donald Tump
"I grew up in New York City, a town with different races, religions, and peoples. It breeds tolerance.","City,Tolerance,Religions",Donald Tump
"The problems we face now - poverty and violence at home, war and destruction abroad - will last only as long as we continue relying on the same politicians who created them in the first place.","Home,War,Poverty",Donald Tump
"If you're interested in 'balancing' work and pleasure, stop trying to balance them. Instead make your work more pleasurable.","Work,Balance,Trying",Donald Tump
"Rascals are always sociable, more's the pity! and the chief sign that a man has any nobility in his character is the little pleasure he takes in others' company.","Character,Man,Company",Arthur Schopenhauer
"It is with trifles, and when he is off guard, that a man best reveals his character.","Best,Character,Man",Arthur Schopenhauer
Politeness is to human nature what warmth is to wax.,"Nature,Human Nature,Human",Arthur Schopenhauer
The two enemies of human happiness are pain and boredom.,"Happiness,Pain,Boredom",Arthur Schopenhauer
"A man can do what he wants, but not want what he wants.","Man,Want,He",Arthur Schopenhauer
"As the biggest library if it is in disorder is not as useful as a small but well-arranged one, so you may accumulate a vast amount of knowledge but it will be of far less value than a much smaller amount if you have not thought it over for yourself.","Knowledge,Yourself,Thought",Arthur Schopenhauer
I have great respect for the Pope. I like the Pope. I actually like him.,"Respect,Great,Him",Donald Tump
I have respect for Senator McCain. I used to like him a lot. I supported him. I raised a lot of money for his campaign against President Obama.,"Respect,Money,President",Donald Tump
I love Neil Young. And he loves me! We have a great relationship.,"Love,Relationship,Great",Donald Tump
I've always felt comfortable in front of a camera. Either you're good at it or you're not good at it.,"Good,Camera,You",Donald Tump
I've created tens of thousands of jobs over the years.,"Years,Jobs,Over",Donald Tump
"I have a great, great company. I employ thousands of people. And I'm very proud of the job I did.","Great,Job,People",Donald Tump
I have very good executives and great children. They're very good.,"Children,Good,Great",Donald Tump
"I played golf with my friends, and then I started to play with the hustlers. And I learned a lot. I learned about golf; I learned about gambling. I learned about everything.","Golf,Friends,Gambling",Donald Tump
Colonel Jack Jacobs is a good guy. And I see him on occasion.,"Good,See,Good Guy",Donald Tump
"Ever since 'The Apprentice,' my life has gotten so much busier.","Life,My Life,Apprentice",Donald Tump
Do not let your hearts be troubled. Trust in God; trust also in me.,"Trust,God,Me",Jesus Christ
"And know that I am with you always; yes, to the end of time.","Time,Christmas,End",Jesus Christ
"But I believe in fair trade, and I will tell you, I have many, many friends heading up corporations, and people that do just business in China, they say it's virtually impossible. It's very, very hard to come into China. And yet, we welcome them with open arms.","Business,Welcome,People",Donald Tump
"I get called all these horrible names by Lindsey Graham, who I don't even know.","Know,Names,Even",Donald Tump
Obama does not like the issue of where he was born.,"Born,Like,He",Donald Tump
"I think the big problem this country has is being politically correct. I've been challenged by so many people, and I don't frankly have time for total political correctness. And to be honest with you, this country doesn't have time either.","Time,Political,People",Donald Tump
"With out passion you don't have energy, with out energy you have nothing.","Passion,Energy,Nothing",Donald Tump
"In the end, you're measured not by how much you undertake but by what you finally accomplish.","End,Accomplish,You",Donald Tump
We will make America strong again. We will make America proud again. We will make America safe again. And we will make America great again.,"America,Great,Strong",Donald Tump
"I judge people based on their capability, honesty, and merit.","Honesty,People,Judge",Donald Tump
"Every time you walk down the street people are screaming, 'You're fired!'","Time,People,Walk",Donald Tump
"First and foremost, I'm a real estate person. And that's what I love the most.","Love,Real Estate,Real",Donald Tump
I apologize when I'm wrong.,"Wrong,Apologize",Donald Tump
I love Wisconsin. It's a great place.,"Love,Great,Place",Donald Tump
Hillary Clinton may be the most corrupt person ever to seek the presidency.,"Corrupt,Person,Presidency",Donald Tump
"I'm the No. 1 developer in New York, I'm the biggest in Atlantic City, and maybe we'll keep it that way.","City,Way,New",Donald Tump
"Honor means that a man is not exceptional; fame, that he is. Fame is something which must be won; honor, only something which must not be lost.","Man,Honor,Lost",Arthur Schopenhauer
"If we were not all so interested in ourselves, life would be so uninteresting that none of us would be able to endure it.","Life,Ourselves,Able",Arthur Schopenhauer
"Each day is a little life: every waking and rising a little birth, every fresh morning a little youth, every going to rest and sleep a little death.","Life,Death,Morning",Arthur Schopenhauer
Every man takes the limits of his own field of vision for the limits of the world.,"Vision,Man,World",Arthur Schopenhauer
"Great men are like eagles, and build their nest on some lofty solitude.","Great,Men,Solitude",Arthur Schopenhauer
"I think that when you get right down to it, people do evolve on different issues. And, you know, I'm pro-life. And I was begrudgingly the other way.","People,Know,Down",Donald Tump
"I was a great student at a great school, Wharton School of Finance.","Great,School,Finance",Donald Tump
I win at golf. I'm a club champion many times at different clubs. I win at golf. I can sink the three-footer on the 18th hole when others can't.,"Golf,Champion,Win",Donald Tump
"In 2009, pre-Hillary, ISIS was not even on the map. Libya was stable. Egypt was peaceful. Iraq was seeing a really big, big reduction in violence. Iran was being choked by sanctions. Syria was somewhat under control.","Violence,Control,Seeing",Donald Tump
"In July of 2004, I came out strongly against the war with Iraq because it was going to destabilize the Middle East.","War,Going,Against",Donald Tump
I rely on myself very much. I just think that you have an instinct and you go with it. Especially when it comes to deal-making and buying things.,"Myself,Think,You",Donald Tump
I want to lower taxes for the middle class.,"Want,Class,Taxes",Donald Tump
"Everything I do in life is framed through the view of a businessman. That's my instinct. If I go into a pharmacy to buy shaving cream, then I'm going to look for the best deal on shaving cream.","Life,Best,Look",Donald Tump
I always look at it that I work with my employees as opposed to them working for me.,"Work,Employees,Me",Donald Tump
"I describe Jeb Bush as a 'low-energy' individual, and unfortunately for him, that stuck. And it's true: he's a low-energy person. That doesn't make him a bad person.","True,Individual,Bad",Donald Tump
"But I say to you, Love your enemies and pray for those who persecute you, so that you may be sons of your Father who is in heaven; for he makes his sun rise on the evil and on the good, and sends rain on the just and on the unjust.","Love,Good,Father",Jesus Christ
Let the one among you who is without sin be the first to cast a stone.,"Stone,Sin,You",Jesus Christ
Private jets cost a lot of money.,"Money,Cost,Jets",Donald Tump
"When somebody challenges you, fight back. Be brutal, be tough.","Challenges,Fight,Tough",Donald Tump
I have a great relationship with the Mexican people.,"Relationship,Great,People",Donald Tump
"When I am president, I will work to ensure that all of our kids are treated equally and protected equally. Every action I take, I will ask myself, 'Does this make life better for young Americans in Baltimore, Chicago, Detroit, Ferguson, who have as much of a right to live out their dreams as any other child America?'","Life,Work,Dreams",Donald Tump
"If you look - look at - I mean, look at what's going on with your gasoline prices. They're going to go to $5, $6, $7 and we don't have anybody in Washington that calls OPEC and says, 'Fellas, it's time. It's over. You're not going to do it anymore.'","Time,Look,Mean",Donald Tump
"It's tangible, it's solid, it's beautiful. It's artistic, from my standpoint, and I just love real estate.","Love,Beautiful,Real Estate",Donald Tump
