,neighborhoods,price,sqft,title,,,,
501,NA,"$330,000 ","
                    1br -
                ",🔳🔲🔳 WE CAN HELP YOU FIND YOUR HOLIDAY APARTMENT,,,,
511,NA,"$330,000 ","
                    1br -
                ",🔆🔅🔆BRAND NEW APARTMENTS AVAILABLE TO SEE UNTIL 9PM DAILY,,,,
1047,NA,"$330,000 ","
                    1br -
                ",🔆🔅🔆BRAND NEW APARTMENTS AVAILABLE TO SEE UNTIL 9PM DAILY,,,,
77,NA,"$336,900 ","
                    2br -
                ",★★★★ ALL WELCOME TO SEE OUR DREAM APARTMENTS,,,,
81,NA,"$336,900 ","
                    2br -
                ",★★★★ ALL WELCOME TO SEE OUR DREAM APARTMENTS,,,,
96,NA,"$336,900 ","
                    2br -
                ",★★★★ ALL WELCOME TO SEE OUR DREAM APARTMENTS,,,,
109,NA,"$336,900 ","
                    2br -
                ",★★★★ ALL WELCOME TO SEE OUR DREAM APARTMENTS,,,,
114,NA,"$336,900 ","
                    2br -
                ",★★★★ ALL WELCOME TO SEE OUR DREAM APARTMENTS,,,,
118,NA,"$336,900 ","
                    2br -
                ",★★★★ ALL WELCOME TO SEE OUR DREAM APARTMENTS,,,,
78,NA,"$360,000 ","
                    2br -
                    1000ft2 -
                ",🔺🔼🔺SEE TODAY!  MOVE ASAP!  ALL INCOMES....ALL WELCOME!,,,,
82,NA,"$360,000 ","
                    2br -
                    1000ft2 -
                ",🔺🔼🔺SEE TODAY!  MOVE ASAP!  ALL INCOMES....ALL WELCOME!,,,,
85,NA,"$360,000 ","
                    2br -
                    1000ft2 -
                ",🔺🔼🔺SEE TODAY!  MOVE ASAP!  ALL INCOMES....ALL WELCOME!,,,,
87,NA,"$360,000 ","
                    2br -
                    1000ft2 -
                ",🔺🔼🔺SEE TODAY!  MOVE ASAP!  ALL INCOMES....ALL WELCOME!,,,,
92,NA,"$360,000 ","
                    2br -
                    1000ft2 -
                ",🔺🔼🔺SEE TODAY!  MOVE ASAP!  ALL INCOMES....ALL WELCOME!,,,,
94,NA,"$360,000 ","
                    2br -
                    1000ft2 -
                ",🔺🔼🔺SEE TODAY!  MOVE ASAP!  ALL INCOMES....ALL WELCOME!,,,,
100,NA,"$360,000 ","
                    2br -
                    1000ft2 -
                ",🔺🔼🔺SEE TODAY!  MOVE ASAP!  ALL INCOMES....ALL WELCOME!,,,,
105,NA,"$360,000 ","
                    2br -
                    1000ft2 -
                ",🔺🔼🔺SEE TODAY!  MOVE ASAP!  ALL INCOMES....ALL WELCOME!,,,,
107,NA,"$360,000 ","
                    2br -
                    1000ft2 -
                ",🔺🔼🔺SEE TODAY!  MOVE ASAP!  ALL INCOMES....ALL WELCOME!,,,,
116,NA,"$360,000 ","
                    2br -
                    1000ft2 -
                ",🔺🔼🔺SEE TODAY!  MOVE ASAP!  ALL INCOMES....ALL WELCOME!,,,,
173,NA,"$360,000 ","
                    1br -
                ",renovated apartments great price $1200,,,,
221,NA,"$360,000 ","
                    1br -
                ",renovated apartments great price $1200,,,,
483,NA,"$360,000 ","
                    2br -
                ",⚃⚂⚁Open House today until 9pm!!!! Great New Place...,,,,
484,NA,"$360,000 ","
                    2br -
                ",⚃⚂⚁Open House today until 9pm!!!! Great New Place...,,,,
486,NA,"$360,000 ","
                    2br -
                ",🔆🔅🔆Open House today until 9pm!!!! Great New Place...,,,,
492,NA,"$360,000 ","
                    2br -
                ",Open House today until 9pm!!!! Great New Place...,,,,
498,NA,"$360,000 ","
                    2br -
                ",Open House today until 9pm!!!! Great New Place...,,,,
499,NA,"$360,000 ","
                    2br -
                ",🔆🔅🔆Open House today until 9pm!!!! Great New Place...,,,,
509,NA,"$360,000 ","
                    2br -
                ",■■■ Open House today until 9pm!!!! Great New Place...,,,,
514,NA,"$360,000 ","
                    2br -
                ",Open House today until 9pm!!!! Great New Place...,,,,
515,NA,"$360,000 ","
                    2br -
                ",Open House today until 9pm!!!! Great New Place...,,,,
756, (norwood),"$360,000 ","
                    2br -
                ",1 bedroom  apartments great price $1200,,,,
942, (115 Edgewood Ave.),"$360,000 ",NA,Dwight Gardens - Renovated Apartments!,,,,
1037,NA,"$360,000 ","
                    2br -
                ",Open House today until 9pm!!!! Great New Place...,,,,
2043, (Brooklyn),"$360,000 ","
                    2br -
                ",Vintage Bushwick Brownstone!!,,,,
123,NA,"$373,500 ","
                    2br -
                ",🔆🔅OPEN HOUSE TODAY UNTIL 9PM - DREAM APARTMENTS ALL OVER,,,,
134,NA,"$373,500 ","
                    2br -
                ",🔆🔅OPEN HOUSE TODAY UNTIL 9PM - DREAM APARTMENTS ALL OVER,,,,
145,NA,"$373,500 ","
                    2br -
                ",🔆🔅OPEN HOUSE TODAY UNTIL 9PM - DREAM APARTMENTS ALL OVER,,,,
147,NA,"$373,500 ","
                    2br -
                ",🔆🔅OPEN HOUSE TODAY UNTIL 9PM - DREAM APARTMENTS ALL OVER,,,,
149,NA,"$373,500 ","
                    2br -
                ",⚃⚃⚃⚃THIS IS YOUR NEW APARTMENT! SEE TODAY TILL 9PM,,,,
266,NA,"$375,000 ","
                    1br -
                ",renovated apartments great price 1250,,,,
494,NA,"$375,000 ","
                    8br -
                ",3 family home for rent. Completely BRAND NEW,,,,
749, (norwood),"$375,000 ","
                    1br -
                ",renovated apartments great price $1250,,,,
835,NA,"$375,000 ","
                    1br -
                ","special offer $1,250 one bedroom available",,,,
951, (Central Florida),"$375,000 ","
                    3br -
                ",LEASE TO OWN ~ Waterfront!,,,,
1620, (near Boston Ave),"$375,000 ",NA,Newly renovated 2 bedroom 1 bathroom with dining room,,,,
2287, (Olinville avenue),"$375,000 ","
                    1br -
                ",Studio apartment,,,,
2261, (northeast bronx area),"$382,500 ",NA,LARGE studio fuul bath for rent all included,,,,
2266, (north east bronx),"$382,500 ",NA,large studio  one bath for rent all included,,,,
2019, (Flushing),"$384,000 ",NA,Walk In Studio With Granite Floor in Flushing,,,,
991, (east 94th),"$390,000 ","
                    1br -
                ",one bedroom,,,,
1222,NA,"$390,000 ","
                    1br -
                ",Rento Apartamento en Manhattan,,,,
1845, (Cypress Hills),"$390,000 ","
                    2br -
                    700ft2 -
                ",2 Bedrooms Apt for rent,,,,
1857, (Ditmas Park / Kensington),"$390,000 ",NA,"Big L-Shaped Studio, Direct By-Owner, Great Doorman Building, Quiet",,,,
2260, (northeast bronx area),"$390,000 ","
                    1br -
                ",One bedroom  one bath for rent,,,,
2262, (northeast bronx area),"$390,000 ","
                    1br -
                ",One bedroom  one bath for rent,,,,
2268, (northeast bronx area),"$390,000 ","
                    1br -
                ",One bedroom  one bath for rent,,,,
135,NA,"$403,500 ","
                    2br -
                ",《▊▆▆▃▂ 》THIS IS YOUR NEW APARTMENT!&,,,,
136,NA,"$403,500 ","
                    2br -
                ",《▊▆▆▃▂ 》THIS IS YOUR NEW APARTMENT!&,,,,
141,NA,"$403,500 ","
                    2br -
                ",《▊▆▆▃▂ 》THIS IS YOUR NEW APARTMENT!&,,,,
333,NA,"$405,000 ",NA,renovated apartments great price 1350,,,,
606,NA,"$405,000 ","
                    2br -
                ",renovated1 apartment great price 1350,,,,
2285, (Carpenter avenue),"$405,000 ",NA,One bedroom apartment,,,,
68, (FOREST HILLS/REGO PARK/KEW GARDENS),"$412,500 ","
                    650ft2 -
                ",LARGE STUDIO ON BOOTH /66TH 1 BLOCK Q/BLVD MALL R/M ALL INCLUSIVE,,,,
2086, (BRIARWOOD),"$418,500 ","
                    425ft2 -
                ",STUDIO - ELEVATOR BUILDING - PRIME QUIET & GREEN,,,,
621,NA,"$420,000 ",NA,apartamento de 2 dormitorio,,,,
837, (norwood),"$420,000 ","
                    2br -
                ",renovated apartments great price $1525,,,,
855, (Maspeth),"$420,000 ","
                    2br -
                    700ft2 -
                ",2 bedroom apt for rent,,,,
1906, (SOUNDVIEW),"$420,000 ",NA,ONE BEDRM FOR RENT SEC8 OK,,,,
2297, (knox Place),"$420,000 ","
                    1br -
                ",One apartment,,,,
2306, (knox Place),"$420,000 ","
                    1br -
                ",One apartment,,,,
1456, (Rego Park),"$435,000 ",NA,Spacious Studio For Rent In Rego Park,,,,
1860, (Bayonne),"$435,000 ","
                    3br -
                ",347 Kennedy Blvd (rental ),,,,
2286, (Olinville avenue),"$435,000 ","
                    1br -
                ",One bedroom apartment,,,,
2298, (Matthews Avenue),"$435,000 ","
                    1br -
                ",One bedroom apartment,,,,
2307, (Matthews Avenue),"$435,000 ","
                    1br -
                ",One bedroom apartment,,,,
91,NA,"$439,800 ","
                    2br -
                    1000ft2 -
                ",🔺🔼🔻🔺🔼RENOVATED APARTMENTS,,,,
104,NA,"$439,800 ","
                    2br -
                    1000ft2 -
                ",🔺🔼🔻🔺🔼RENOVATED APARTMENTS,,,,
115,NA,"$439,800 ","
                    2br -
                    1000ft2 -
                ",🔺🔼🔻🔺🔼RENOVATED APARTMENTS,,,,
584,NA,"$444,000 ","
                    2br -
                ",■■■OPEN HOUSE TODAY UNTIL 9PM - DREAM APARTMENTS ALL OVER,,,,
586,NA,"$444,000 ","
                    2br -
                ",🔺🔻🔺BRAND NEW APARTMENTS AVAILABLE TO SEE UNTIL 9PM DAILY,,,,
587,NA,"$444,000 ","
                    2br -
                ",🔺🔻🔺BRAND NEW APARTMENTS AVAILABLE TO SEE UNTIL 9PM DAILY,,,,
592,NA,"$444,000 ","
                    2br -
                ",■■■OPEN HOUSE TODAY UNTIL 9PM - DREAM APARTMENTS ALL OVER,,,,
593,NA,"$444,000 ","
                    2br -
                ",■■■OPEN HOUSE TODAY UNTIL 9PM - DREAM APARTMENTS ALL OVER,,,,
594,NA,"$444,000 ","
                    2br -
                ",■■■OPEN HOUSE TODAY UNTIL 9PM - DREAM APARTMENTS ALL OVER,,,,
595,NA,"$444,000 ","
                    2br -
                ",🔺🔻🔺BRAND NEW APARTMENTS AVAILABLE TO SEE UNTIL 9PM DAILY,,,,
599,NA,"$444,000 ","
                    2br -
                ",■■■OPEN HOUSE TODAY UNTIL 9PM - DREAM APARTMENTS ALL OVER,,,,
600,NA,"$444,000 ","
                    2br -
                ",🔺🔻🔺BRAND NEW APARTMENTS AVAILABLE TO SEE UNTIL 9PM DAILY,,,,
601,NA,"$444,000 ","
                    2br -
                ",■■■OPEN HOUSE TODAY UNTIL 9PM - DREAM APARTMENTS ALL OVER,,,,
602,NA,"$444,000 ","
                    2br -
                ",🔺🔻🔺BRAND NEW APARTMENTS AVAILABLE TO SEE UNTIL 9PM DAILY,,,,
28, (Inwood / Wash Hts),"$450,000 ",NA,"must see huge studio apt next train A,1",,,,
31, (Inwood / Wash Hts),"$450,000 ",NA,"must see huge studio apt next train A,1",,,,
216, (ROCHDALE 52271),"$450,000 ","
                    4br -
                ","* WITH ONLY $1,500 A MONTH YOU CAN OWN THIS HOME *",,,,
346, (ocean hill),"$450,000 ","
                    1br -
                ",newly renovated with washer/dryer near broadway junction/LIRR!no fee!,,,,
931, (Inwood / Wash Hts),"$450,000 ",NA,"must see huge studio apt next train A,1",,,,
1427, (ocean hill),"$450,000 ","
                    1br -
                ",newly renovated with washer/dryer near broadway junction/LIRR!no fee!,,,,
1535, (ocean hill),"$450,000 ","
                    1br -
                ",newly renovated with washer/dryer near broadway junction/LIRR!no fee!,,,,
1868, (Inwood / Wash Hts),"$450,000 ",NA,"must see huge studio apt next train A,1",,,,
1881, (Bayonne),"$450,000 ","
                    2br -
                ",717 Ave A ( rental),,,,
1925, (Staten Island),"$450,000 ","
                    2br -
                ",2 Bedroom Apartment,,,,
1929,NA,"$450,000 ",NA,2 Bedroom Apartment,,,,
2248, (Inwood / Wash Hts),"$450,000 ",NA,"must see huge studio apt next train A,1",,,,
86,NA,"$456,900 ","
                    2br -
                ",★★★★ ALL WELCOME TO SEE OUR DREAM APARTMENTS,,,,
271, (Inwood / Wash Hts),"$457,500 ","
                    2br -
                ",2 Dormitorio Washington Heights Area,,,,
1429, (norwood),"$457,500 ","
                    2br -
                ",2 Bedroom Apartment $1525,,,,
1588, (Inwood / Wash Hts),"$457,500 ","
                    2br -
                ",Apartamento de 2 dormitorio es,,,,
2003, (Norwalk),"$462,000 ","
                    1br -
                    800ft2 -
                ","Location, Location, Location = Dreamy Hollow",,,,
128, (FOREST HILLS),"$465,000 ","
                    1br -
                    700ft2 -
                ",QUEENS MALL/BLVD R/M 63RD HUB 1 BDRM ALL INCLUDED 2 BLOCKS PRIME IMMED,,,,
189, (CROWN HEIGHTS),"$465,000 ","
                    1br -
                ","BRAND NEW APARTMENT CLOSE TO PROSPECT PARK, TRAINS, SHOPS AND CAFES",,,,
278, (DITMAS PARK),"$465,000 ",NA,BRAND NEW*STUDIO W/ SEPARATE KITCHEN CLOSE TO B/Q TRAIN*SHOPS & CAFES,,,,
1192, (Flushing),"$465,000 ",NA,~*~*~BRAND NEW be the 1st to live in BIGGEST STUDIO in Flushing RENT,,,,
1921,NA,"$465,000 ","
                    2br -
                ",Two Bedroom Apartment,,,,
2065, (Rego Park),"$465,000 ",NA,studio all utilities  including,,,,
502,NA,"$468,000 ","
                    4br -
                ",🔆🔅400 NEW APARTMENTS SEE UNTIL 9Pm    🔅,,,,
508,NA,"$468,000 ","
                    3br -
                ",🔆🔅400 NEW APARTMENTS SEE UNTIL 9Pm    🔅,,,,
1052,NA,"$468,000 ","
                    3br -
                ",🔆🔅400 NEW APARTMENTS SEE UNTIL 9Pm    🔅,,,,
56, (PROSPECT LEFFERTS GARDENS),"$472,500 ",NA,"BRAND NEW APARTMENT CLOSE TO PROSPECT PARK, TRAINS, SHOPS AND CAFES",,,,
95, (FOREST HILLS),"$472,500 ","
                    1br -
                    700ft2 -
                ",DUPLEX 1 BDRM TERRACE W/DRYER IN UNIT E/F NEW BUILDING Q/BLVD,,,,
108, (FOREST HILLS),"$472,500 ","
                    1br -
                    700ft2 -
                ",DUPLEX 1 BDRM TERRACE W/DRYER IN UNIT E/F NEW BUILDING Q/BLVD,,,,
140, (REGO PARK/FOREST HILLS/KEW GARDENS),"$472,500 ","
                    1br -
                    700ft2 -
                ",NEW 1 BDRM QUEENS MALL/BLVD COSTCO 63RD ALL INCLUDED BNV AAA,,,,
268, (crown heights),"$472,500 ",NA,studio close to shops & trains*easy commute to the city,,,,
301, (DITMAS PARK),"$472,500 ",NA,GREAT LOCATION~CHARMING LAYOUT~NEWLY RENOVATED~CLOSE TO SHOPS,,,,
303, (DITMAS PARK),"$472,500 ",NA,TONS OF SUNLIGHT*NEWLY RENOVATED*CLOSE TO SHOPS & TRAINS,,,,
1700, (Port Richmond),"$477,000 ","
                    4br -
                    1000ft2 -
                ",Port Richmond,,,,
2316, (LONG ISLAND CITY),"$477,000 ","
                    1br -
                ",LRGE 1 BEDROOM/ GAR &PKG AVAIL /WASHER/DRYER,,,,
297, (DITMAS PARK),"$479,700 ",NA,STUDIO W/ SEPARATE KITCHEN*LAUNDRY*ELEVATOR*CLOSE TO SHOPS & TRAINS,,,,
299, (DITMAS PARK),"$479,700 ",NA,"CLOSE TO CORTELYOU RD'S SHOPS, TRAINS & CAFES*NEWLY RENOVATED",,,,
300, (DITMAS PARK),"$479,700 ",NA,UNDER-MARKET*NEWLY RENOVATED*STEPS TO SHOPS & TRAINS*,,,,
306, (DITMAS PARK),"$479,700 ",NA,BRAND NEW*STUDIO W/ SEPARATE KITCHEN CLOSE TO B/Q TRAIN*SHOPS & CAFES,,,,
307, (DITMAS PARK),"$479,700 ",NA,"STUDIO W/ SEPARATE KITCHEN*CLOSE TO CORTELYOU RD TRAIN, SHOPS & CAFES",,,,
65, (prospect Lefferts Gardens),"$480,000 ","
                    1br -
                ",VERY SPACIOUS*NEWLY RENOVATED APARTMENT CLOSE TO BARS*SHOPS & CAFES,,,,
99, (REGO PARK/FOREST HILLS/KEW GARDENS),"$480,000 ","
                    1br -
                    720ft2 -
                ",720 SF ELEVATOR LAUNDRY GARAGE TOP NOTCH BUILDING ALL INCLUDED AAA,,,,
112, (REGO PARK/FOREST HILLS/KEW GARDENS),"$480,000 ","
                    1br -
                    720ft2 -
                ",720 SF ELEVATOR LAUNDRY GARAGE TOP NOTCH BUILDING ALL INCLUDED AAA,,,,
120, (ROCHDALE 9522719),"$480,000 ","
                    4br -
                ",** 15 A MONTH TO LIVE IN THIS HOME? CAN'T GO WRONG **,,,,
269, (crown heights),"$480,000 ",NA,great location*easy commute to manhattan*newly renovated studio,,,,
270, (crown heights),"$480,000 ",NA,studio apartment in prime location*close to shops & trains,,,,
298, (DITMAS PARK),"$480,000 ",NA,SEPARATE KITCHEN STUDIO*CLOSE TO SHOPS & TRAINS,,,,
305, (DITMAS PARK),"$480,000 ",NA,UNDER MARKET~SPACIOUS~CLOSE TO SHOPS & TRAINS*EASY COMMUTE TO THE CITY,,,,
858, (115 Edgewood Ave. New Haven),"$480,000 ","
                    3br -
                ",Dwight Gardens - Renovated Apartments!,,,,
2293, (Perry avenue),"$480,000 ",NA,One bedroom apartment,,,,
2302, (Perry avenue),"$480,000 ",NA,One bedroom apartment,,,,
1807, (Williamsbridge),"$487,500 ","
                    5br -
                ",Two separate units 4BR  ~*~ DUPEX ~*~Amazing 2FM call R-O,,,,
74, (BRIARWOOD),"$493,500 ","
                    1br -
                    700ft2 -
                ",QUEENS MALL/BLVD R/M 63RD HUB 1 BDRM ALL INCLUDED 2 BLOCKS PRIME IMMED,,,,
32, (Inwood / Wash Hts),"$495,000 ","
                    1br -
                ","must see huge 1 bedroom apt next train A,1",,,,
162, (CROWN HEIGHTS),"$495,000 ","
                    1br -
                ",EASY COMMUTE TO MANHATTAN* CLOSE TO SHOPS AND TRAINS,,,,
243, (PROSPECT LEFFERTSGARDENS),"$495,000 ","
                    1br -
                ",CLOSE TO THE 2/5 STERLING STREET STATION*NEWLY RENOVATED APARTMENT,,,,
623, (East Village),"$495,000 ","
                    1br -
                ",(all incl) LARGE full bedroom-awesome views of Empire State Building,,,,
799, (Jackson heights),"$495,000 ","
                    2br -
                    700ft2 -
                ",2 bedroom apt for rent,,,,
802, (Jackson heights),"$495,000 ","
                    2br -
                    700ft2 -
                ",2 bedroom apt for rent,,,,
932, (Inwood / Wash Hts),"$495,000 ","
                    1br -
                ","must see huge 1 bedroom apt next train A,1",,,,
1869, (Inwood / Wash Hts),"$495,000 ","
                    1br -
                ","must see huge 1 bedroom apt next train A,1",,,,
1804, (Inwood / Wash Hts),"$499,500 ",NA,Stunning Apartment + No Fee,,,,
160, (PROSPECT LEFFERS GARDENS),"$502,500 ","
                    1br -
                ",eASY COMMUNTE TO MANHATTAN~CLOSE TO CAFES AND SHOPS~PROSPECT PARK,,,,
207, (CROWN HEIGHTS),"$502,500 ","
                    1br -
                ",NEWLY RENOVATED*SPACIOUS* 1 BEDROOM APARTMENT*CLOSE TO SHOPS & TRAINS,,,,
1887, (Upper East Side),"$502,500 ",NA,New Listing - Excellent Value ! No Fee,,,,
2150,NA,"$502,500 ","
                    3br -
                ",💙💚💙💚THIS IS YOUR NEW APARTMENT! SEE TODAY TILL,,,,
510,NA,"$506,400 ","
                    3br -
                ",🔆🔅🔆Open House today until 9pm!!!! Great New Place...,,,,
97, (BRIARWOOD/KEW GARDENS/FOREST HILLS),"$508,500 ","
                    1br -
                    700ft2 -
                ",BRAND NEW BUILDING LUXURY 5 MINUTES E/F Q/ BLVD RENT STABZ ALL GRANITE,,,,
110, (BRIARWOOD/KEW GARDENS/FOREST HILLS),"$508,500 ","
                    1br -
                    700ft2 -
                ",BRAND NEW BUILDING LUXURY 5 MINUTES E/F Q/ BLVD RENT STABZ ALL GRANITE,,,,
119, (FOREST HILLS),"$508,500 ","
                    1br -
                    700ft2 -
                ",LUXURY 1 BDRM TERRACE NEW BUILDING WASHER /D IN UNIT GARAGE E/F AAA,,,,
964, (Clinton Hill),"$508,500 ","
                    1br -
                ",Marvelous Newly renovated Spacious One Bedroom Near Express Trains,,,,
986, (Prospect Heights),"$508,500 ",NA,Marvelous Newly renovated Spaciouse Studio Near Grand Army Plaza,,,,
1876, (Clinton Hill),"$508,500 ","
                    1br -
                ",Marvelous Newly renovated Spacious One Bedroom Near Express Trains,,,,
1879, (Prospect Heights),"$508,500 ","
                    1br -
                ",Marvelous Newly renovated Spacious Studio Near Grand Army Plaza,,,,
154, (PROSPECT LEFFERTS GARDENS),"$510,000 ","
                    1br -
                ",CLOSE TO THE 2/5 STERLING STREET STATION*NEWLY RENOVATED APARTMENT,,,,
166, (CROWN HEIGHTS),"$510,000 ","
                    1br -
                ","NEWLY RENOVATED,SPACIOUS,A LOT OF NATURAL LIGHT~CLOSE TO TRAINS & SHOP",,,,
279, (DITMAS PARK),"$510,000 ","
                    1br -
                ",B/Q TRAIN LINE*EASY COMMUTE TO MANHATTAN*NEWLY RENOVATED,,,,
468,NA,"$510,000 ","
                    2br -
                ",renovated apartments great price $1700,,,,
686,NA,"$510,000 ","
                    2br -
                ",renovated apartments great price $1700,,,,
1867, (Inwood / Wash Hts),"$510,000 ","
                    2br -
                ","MUST SEE 2 BR APT NEXT TRAIN A,C,1.dish washer",,,,
2234, (Inwood / Wash Hts),"$510,000 ","
                    2br -
                ","MUST SEE 2 BR APT NEXT TRAIN A,C,1.dish washer",,,,
2290, (Ditmas park),"$510,000 ","
                    1br -
                    800ft2 -
                ",1 bedroom,,,,
276, (DITMAS PARK),"$525,000 ","
                    1br -
                ",EASY COMMUTE TO MANHATTAN* CLOSE TO SHOPS AND TRAINS,,,,
280, (DITMAS PARK),"$525,000 ","
                    1br -
                ",CLOSE TO NEWKIRK PLAZA' SHOPS TRAINS & CAFES,,,,
735, (Astoria),"$525,000 ",NA,HUGE STUDIO IN AMAZING LOCATION -- 5MIN TO M/R,,,,
811, (Astoria),"$525,000 ",NA,Large Studio With Separate Kitchen close to M/R!!,,,,
1449, (Rego Park),"$525,000 ","
                    2br -
                ",Spacious Jr-4 Apartment For Rent In Rego Park,,,,
1818, (Forest Hills),"$528,000 ","
                    1br -
                ",1 Bath Apartment,,,,
19, (Bronx),"$532,500 ","
                    2br -
                ",Large 2.5bd 2bth apt for rent in Bronxdale section,,,,
83, (REGO PARK/FOREST HILLS/KEW GARDENS),"$532,500 ","
                    1br -
                    780ft2 -
                ",HUGE 1 BDRM 1 BATH 2 MINUTES QUEENS BLVD E/F EXPRESS LIRR,,,,
